onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	1	1	0.9	1
15	1	1	2	2	1	2	1.073	1
18	1	1	3	2	2	2	1.293	3
21	1	1	4	2	2	2	0.991	3
24	1	1	5	2	1	1	0.851	1
27	1	1	6	2	1	2	0.78	1
30	1	1	7	2	2	2	0.771	3
33	1	1	8	2	2	1	0.826	4
36	1	1	9	2	2	1	0.762	3
39	1	1	10	2	2	1	0.782	3
42	1	1	11	2	1	2	0.904	2
45	1	1	12	2	1	1	1.326	2
63	1	2	1	1	2	1	0.916	2
66	1	2	2	1	2	1	1.259	2
69	1	2	3	1	1	1	0.991	3
72	1	2	4	1	1	2	0.861	1
75	1	2	5	1	2	2	0.92	2
78	1	2	6	1	2	2	1.068	1
81	1	2	7	1	1	2	1.072	2
84	1	2	8	1	2	1	1.52	2
87	1	2	9	1	1	2	0.791	1
90	1	2	10	1	1	1	0.849	1
93	1	2	11	1	2	2	1.028	2
96	1	2	12	1	1	1	1.214	2
114	1	3	1	3	1	2	1.229	4
117	1	3	2	3	2	2	0.918	1
120	1	3	3	3	2	1	1.156	1
123	1	3	4	3	1	1	1.091	4
126	1	3	5	3	1	2	0.994	4
129	1	3	6	3	2	2	0.922	1
132	1	3	7	3	1	1	1.216	4
135	1	3	8	3	1	1	0.769	4
138	1	3	9	3	2	2	1.415	1
141	1	3	10	3	2	1	0.879	1
144	1	3	11	3	2	1	1.568	1
147	1	3	12	3	1	2	1.086	4
165	1	4	1	1	1	1	1.083	2
168	1	4	2	1	1	2	1.031	1
171	1	4	3	1	2	2	1.031	3
174	1	4	4	1	2	1	1.259	2
177	1	4	5	1	1	2	1.021	3
180	1	4	6	1	1	1	1.157	1
183	1	4	7	1	2	2	1.017	2
186	1	4	8	1	1	2	1.173	2
189	1	4	9	1	2	2	1.818	3
192	1	4	10	1	2	1	1.096	1
195	1	4	11	1	2	1	0.968	1
198	1	4	12	1	1	1	0.901	2
216	1	5	1	2	1	1	1.113	1
219	1	5	2	2	2	2	1.106	2
222	1	5	3	2	1	1	0.785	1
225	1	5	4	2	2	2	1.017	3
228	1	5	5	2	2	1	1.317	3
231	1	5	6	2	2	1	1.349	2
234	1	5	7	2	1	1	1.347	1
237	1	5	8	2	2	2	1.635	2
240	1	5	9	2	2	1	0.95	3
243	1	5	10	2	1	2	1.481	1
246	1	5	11	2	1	2	0.834	1
249	1	5	12	2	1	2	1.018	1
267	1	6	1	3	2	1	1.262	2
270	1	6	2	3	1	1	0.926	4
273	1	6	3	3	1	1	1.091	3
276	1	6	4	3	2	1	 NaN	 NaN
279	1	6	5	3	1	1	0.82	1
282	1	6	6	3	2	1	0.742	1
285	1	6	7	3	1	2	1.101	4
288	1	6	8	3	2	2	0.767	1
291	1	6	9	3	2	2	1.262	1
294	1	6	10	3	1	2	0.682	4
297	1	6	11	3	2	2	0.595	1
300	1	6	12	3	1	2	0.721	4
