onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	2	 n/a	 n/a
15	1	1	2	1	1	1	0.391	2
18	1	1	3	1	2	2	0.852	1
21	1	1	4	1	1	1	1.22	2
24	1	1	5	1	2	1	0.911	1
27	1	1	6	1	2	2	0.84	1
30	1	1	7	1	2	2	0.802	4
33	1	1	8	1	1	2	0.863	2
36	1	1	9	1	1	2	0.882	3
39	1	1	10	1	1	1	0.794	4
42	1	1	11	1	2	1	1.191	3
45	1	1	12	1	2	1	0.792	4
63	1	2	1	2	1	2	1.617	2
66	1	2	2	2	2	1	1.686	3
69	1	2	3	2	1	1	1.126	4
72	1	2	4	2	1	2	0.919	3
75	1	2	5	2	2	2	0.892	1
78	1	2	6	2	2	2	1.018	2
81	1	2	7	2	2	1	1.09	3
84	1	2	8	2	1	2	0.815	3
87	1	2	9	2	2	1	0.873	2
90	1	2	10	2	2	2	1.436	3
93	1	2	11	2	1	1	1.018	2
96	1	2	12	2	1	1	0.795	2
114	1	3	1	1	2	2	0.887	3
117	1	3	2	1	1	1	1.051	4
120	1	3	3	1	1	1	0.794	3
123	1	3	4	1	2	1	0.774	2
126	1	3	5	1	2	1	1.038	2
129	1	3	6	1	2	2	1.018	1
132	1	3	7	1	1	1	0.975	2
135	1	3	8	1	1	2	1	4
138	1	3	9	1	2	1	0.972	3
141	1	3	10	1	1	2	0.783	2
144	1	3	11	1	2	2	0.849	2
147	1	3	12	1	1	2	0.821	2
165	1	4	1	2	2	2	0.883	2
168	1	4	2	2	2	1	0.85	2
171	1	4	3	2	1	2	1.018	1
174	1	4	4	2	2	2	0.793	1
177	1	4	5	2	2	1	0.883	4
180	1	4	6	2	1	2	0.992	1
183	1	4	7	2	1	1	0.956	1
186	1	4	8	2	2	1	0.614	3
189	1	4	9	2	2	2	0.927	1
192	1	4	10	2	1	1	0.739	1
195	1	4	11	2	1	1	0.712	2
198	1	4	12	2	1	2	1.515	1
