onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	1	1	1	2.195	1	1	4	0.329
21	6	1	2	1	2	2	1.374	2	0	2	1.105
27	6	1	3	2	1	2	2.289	2	1	4	0.677
33	6	1	4	1	1	2	2.998	2	0	2	0.372
39	6	1	5	1	2	1	1.615	1	1	4	0.22
45	6	1	6	2	2	1	1.708	2	1	4	0.5
51	6	1	7	1	2	2	1.39	1	1	4	0.116
57	6	1	8	1	2	2	1.642	2	0	4	0.105
63	6	1	9	1	1	2	1.283	1	1	4	0.4
69	6	1	10	2	1	1	1.577	2	1	3	0.54
75	6	1	11	2	2	1	2.136	2	1	4	0.428
81	6	1	12	1	2	1	2.104	2	0	4	0.979
87	6	1	13	2	2	2	3.474	2	1	3	0.487
93	6	1	14	1	1	2	2.022	2	0	3	0.395
99	6	1	15	1	1	1	2.566	1	1	3	0.481
105	6	1	16	2	1	2	3.557	1	0	2	0.255
111	6	1	17	2	2	2	2.347	2	1	3	1.333
117	6	1	18	1	1	1	3.545	1	1	3	0.657
123	6	1	19	2	2	1	3.134	2	1	3	1.423
129	6	1	20	1	2	2	2.595	1	1	4	0.104
135	6	1	21	1	1	1	3.794	2	0	3	0.786
141	6	1	22	1	2	2	2.514	1	1	4	0.638
147	6	1	23	2	1	1	2.715	2	1	2	0.852
153	6	1	24	2	1	2	3.975	1	0	3	0.289
159	6	1	25	2	1	2	2.969	2	1	2	0.666
165	6	1	26	2	2	2	2.963	2	1	4	0.155
171	6	1	27	1	2	2	4.404	1	1	 n/a	 n/a
177	6	1	28	2	2	1	1.664	2	1	4	1.1
183	6	1	29	2	1	1	1.466	2	1	4	0.351
189	6	1	30	2	1	2	2.42	2	1	3	0.165
195	6	1	31	1	2	1	1.724	1	1	4	0.396
201	6	1	32	2	1	1	1.578	2	1	2	0.82
207	6	1	33	2	2	1	3.791	2	1	3	0.882
213	6	1	34	2	2	2	1.541	2	1	4	0.184
219	6	1	35	1	1	1	2.303	1	1	3	0.802
225	6	1	36	1	1	2	1.457	2	0	3	0.391
231	6	1	37	1	1	1	4.241	1	1	 n/a	 n/a
237	6	1	38	1	2	2	1.724	2	0	2	1.446
243	6	1	39	1	1	2	2.563	1	1	3	0.646
249	6	1	40	2	2	2	1.724	2	1	3	0.763
255	6	1	41	2	2	1	2.469	2	1	4	0.684
261	6	1	42	1	1	2	2.604	2	0	3	0.291
267	6	1	43	1	2	2	2.905	2	0	2	0.976
273	6	1	44	2	1	1	3.038	2	1	3	0.339
279	6	1	45	2	1	1	3.763	1	0	 n/a	 n/a
285	6	1	46	1	1	1	1.845	1	1	3	0.492
291	6	1	47	1	1	1	2.546	2	0	3	0.82
297	6	1	48	1	1	2	1.395	1	1	3	0.511
303	6	1	49	1	2	1	3.231	2	0	3	0.302
309	6	1	50	1	1	2	2.66	2	0	2	0.42
315	6	1	51	1	2	2	2.142	1	1	4	0.467
321	6	1	52	1	1	2	2.141	2	0	4	0.946
327	6	1	53	2	1	1	2.988	1	0	3	0.409
333	6	1	54	2	2	2	1.766	2	1	3	1.361
339	6	1	55	1	1	2	1.202	2	0	2	1.072
345	6	1	56	1	1	2	2.792	1	1	3	1.292
351	6	1	57	1	2	2	1.75	2	0	4	0.59
357	6	1	58	2	2	1	1.717	2	1	4	0.233
363	6	1	59	1	2	1	1.705	2	0	2	2.262
369	6	1	60	2	1	2	4.374	2	1	 n/a	 n/a
375	6	1	61	2	1	1	1.65	1	0	3	0.545
381	6	1	62	2	2	2	1.778	2	1	4	1.344
387	6	1	63	1	2	1	3.937	2	0	 n/a	 n/a
393	6	1	64	2	1	2	1.151	1	0	3	0.839
399	6	1	65	2	1	1	2.374	1	0	3	0.623
405	6	1	66	1	2	2	1.725	2	0	3	0.702
411	6	1	67	2	2	2	3.133	1	0	2	0.651
417	6	1	68	2	2	2	1.637	2	1	4	0.107
423	6	1	69	1	1	1	4.439	1	1	 n/a	 n/a
429	6	1	70	1	2	1	1.132	2	0	4	0.599
435	6	1	71	1	2	1	2.266	1	1	3	0.657
441	6	1	72	2	2	2	1.093	2	1	4	0.229
447	6	1	73	2	1	1	1.871	2	1	4	0.144
453	6	1	74	2	2	1	2.699	2	1	4	0.467
459	6	1	75	2	2	1	1.583	2	1	3	0.302
465	6	1	76	2	2	2	1.228	2	1	4	0.552
471	6	1	77	1	1	1	1.392	1	1	4	0.688
477	6	1	78	2	1	2	2.18	2	1	3	0.369
483	6	1	79	2	1	1	2.643	2	1	4	0.194
489	6	1	80	1	2	1	2.261	2	0	3	0.485
495	6	1	81	1	2	1	2.605	2	0	3	0.799
501	6	1	82	2	2	1	2.219	2	1	3	0.404
507	6	1	83	2	1	2	2.43	2	1	3	0.931
513	6	1	84	1	1	2	2.034	1	1	2	0.984
519	6	1	85	2	2	1	2.49	2	1	3	0.425
525	6	1	86	2	1	2	2.789	2	1	2	0.957
531	6	1	87	1	2	1	2.622	1	1	4	0.495
537	6	1	88	1	1	1	3.44	2	0	2	0.794
543	6	1	89	2	1	1	2.69	2	1	3	0.374
549	6	1	90	2	2	1	2.658	2	1	3	0.286
555	6	1	91	2	1	2	1.299	2	1	2	0.868
561	6	1	92	1	2	2	2.973	1	1	3	0.689
567	6	1	93	2	2	2	2.412	2	1	3	0.535
573	6	1	94	2	1	2	1.754	2	1	3	0.667
579	6	1	95	1	2	1	2.077	1	1	2	0.661
585	6	1	96	1	1	1	2.43	2	0	3	0.724
