onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	2	0.889	2
15	1	1	2	1	1	2	0.749	3
18	1	1	3	1	2	1	0.768	1
21	1	1	4	1	2	2	0.658	1
24	1	1	5	1	1	1	0.814	2
27	1	1	6	1	2	1	0.666	1
30	1	1	7	1	2	2	0.677	1
33	1	1	8	1	1	2	0.758	1
36	1	1	9	1	2	1	0.827	1
39	1	1	10	1	1	1	1.402	2
42	1	1	11	1	2	2	0.788	3
45	1	1	12	1	1	1	0.821	1
63	1	2	1	2	2	1	1.141	2
66	1	2	2	2	1	2	0.886	1
69	1	2	3	2	2	2	1.11	3
72	1	2	4	2	2	1	0.815	4
75	1	2	5	2	2	2	0.875	3
78	1	2	6	2	1	1	1.091	2
81	1	2	7	2	2	2	0.833	1
84	1	2	8	2	2	1	0.899	2
87	1	2	9	2	1	2	0.762	1
90	1	2	10	2	1	1	0.881	1
93	1	2	11	2	1	1	1.384	1
96	1	2	12	2	1	2	0.756	1
114	1	3	1	1	1	1	0.815	2
117	1	3	2	1	1	1	1.045	2
120	1	3	3	1	1	2	0.941	2
123	1	3	4	1	2	1	0.869	1
126	1	3	5	1	1	2	0.904	2
129	1	3	6	1	1	2	0.825	3
132	1	3	7	1	2	2	1.055	3
135	1	3	8	1	2	2	0.777	4
138	1	3	9	1	2	1	0.963	2
141	1	3	10	1	1	1	0.771	1
144	1	3	11	1	2	2	1.205	1
147	1	3	12	1	2	1	0.976	1
165	1	4	1	2	2	1	1.209	2
168	1	4	2	2	1	2	0.889	1
171	1	4	3	2	2	2	1.018	3
174	1	4	4	2	1	1	1.151	2
177	1	4	5	2	1	2	1.044	1
180	1	4	6	2	2	2	1.451	3
183	1	4	7	2	2	1	0.944	3
186	1	4	8	2	1	2	0.868	1
189	1	4	9	2	1	1	0.98	2
192	1	4	10	2	2	1	0.982	1
195	1	4	11	2	1	1	0.908	1
198	1	4	12	2	2	2	0.879	4
