onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	1	 n/a	 n/a
15	1	1	2	1	2	2	1.156	3
18	1	1	3	1	1	1	0.855	2
21	1	1	4	1	2	1	0.555	1
24	1	1	5	1	1	2	0.752	1
27	1	1	6	1	2	2	0.609	1
30	1	1	7	1	2	1	1.634	3
33	1	1	8	1	2	1	1.153	2
36	1	1	9	1	1	2	0.658	1
39	1	1	10	1	1	2	0.969	1
42	1	1	11	1	1	1	0.921	3
45	1	1	12	1	2	2	1.561	3
63	1	2	1	2	1	1	1.126	1
66	1	2	2	2	2	1	1.485	3
69	1	2	3	2	2	1	1.493	2
72	1	2	4	2	1	2	1.555	2
75	1	2	5	2	2	2	1.339	1
78	1	2	6	2	2	1	1.343	2
81	1	2	7	2	1	2	1.301	1
84	1	2	8	2	2	2	1.731	2
87	1	2	9	2	1	2	1.255	1
90	1	2	10	2	2	2	1.44	2
93	1	2	11	2	1	1	1.098	1
96	1	2	12	2	1	1	0.645	1
114	1	3	1	1	2	2	0.93	2
117	1	3	2	1	2	1	1.21	2
120	1	3	3	1	1	1	0.672	1
123	1	3	4	1	2	1	1.045	1
126	1	3	5	1	1	2	1.141	2
129	1	3	6	1	2	2	1.093	1
132	1	3	7	1	1	1	0.907	3
135	1	3	8	1	1	2	1.578	2
138	1	3	9	1	1	2	1.3	3
141	1	3	10	1	2	2	1.687	3
144	1	3	11	1	1	1	 n/a	 n/a
147	1	3	12	1	2	1	0.004	3
165	1	4	1	2	2	1	1.697	2
168	1	4	2	2	1	1	1.034	1
171	1	4	3	2	2	1	1.095	3
174	1	4	4	2	1	1	0.869	1
177	1	4	5	2	2	2	1.139	2
180	1	4	6	2	1	2	1.228	1
183	1	4	7	2	2	2	1.143	1
186	1	4	8	2	1	2	0.875	1
189	1	4	9	2	1	2	0.835	1
192	1	4	10	2	1	1	1.05	2
195	1	4	11	2	2	2	1.444	3
198	1	4	12	2	2	1	1.487	1
