onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	1	0.973	1
15	1	1	2	1	1	2	0.638	1
18	1	1	3	1	2	2	0.601	2
21	1	1	4	1	1	1	0.769	3
24	1	1	5	1	1	2	1.228	2
27	1	1	6	1	2	1	0.763	1
30	1	1	7	1	1	1	0.612	1
33	1	1	8	1	2	2	0.987	4
36	1	1	9	1	2	1	0.814	1
39	1	1	10	1	1	1	0.683	1
42	1	1	11	1	2	2	0.8	2
45	1	1	12	1	1	2	0.954	3
63	1	2	1	2	1	2	1.109	1
66	1	2	2	2	1	2	1.231	1
69	1	2	3	2	1	1	1.091	3
72	1	2	4	2	2	1	1.191	2
75	1	2	5	2	2	1	1.182	3
78	1	2	6	2	2	1	 n/a	 n/a
81	1	2	7	2	1	1	0.76	3
84	1	2	8	2	1	1	1.021	1
87	1	2	9	2	2	2	0.944	3
90	1	2	10	2	2	2	0.69	1
93	1	2	11	2	2	2	0.928	3
96	1	2	12	2	1	2	0.768	1
114	1	3	1	1	2	2	1.366	1
117	1	3	2	1	1	2	1.213	2
120	1	3	3	1	1	1	1.864	2
123	1	3	4	1	1	2	1.408	3
126	1	3	5	1	1	1	1.239	4
129	1	3	6	1	2	2	1.211	3
132	1	3	7	1	1	1	0.998	1
135	1	3	8	1	2	1	1.541	2
138	1	3	9	1	1	2	1.296	1
141	1	3	10	1	2	1	0.808	1
144	1	3	11	1	2	1	0.95	1
147	1	3	12	1	2	2	0.903	1
165	1	4	1	2	1	2	1.234	3
168	1	4	2	2	2	1	1.32	4
171	1	4	3	2	1	1	0.919	1
174	1	4	4	2	2	2	0.893	3
177	1	4	5	2	1	1	 n/a	 n/a
180	1	4	6	2	2	2	1.546	1
183	1	4	7	2	2	2	1.6	3
186	1	4	8	2	1	1	1.194	1
189	1	4	9	2	1	2	1.26	1
192	1	4	10	2	2	1	1.183	1
195	1	4	11	2	1	2	1.348	1
198	1	4	12	2	2	1	1.314	2
