onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	2	1.172	4
15	1	1	2	1	2	2	0.969	2
18	1	1	3	1	2	1	0.805	2
21	1	1	4	1	1	2	0.624	4
24	1	1	5	1	2	2	0.555	1
27	1	1	6	1	1	1	0.776	3
30	1	1	7	1	2	1	0.902	2
33	1	1	8	1	1	1	0.879	3
36	1	1	9	1	1	1	0.933	2
39	1	1	10	1	1	2	0.844	3
42	1	1	11	1	2	1	0.821	1
45	1	1	12	1	1	2	0.999	3
63	1	2	1	3	2	1	1.218	2
66	1	2	2	3	2	1	1.022	1
69	1	2	3	3	1	2	0.654	4
72	1	2	4	3	1	2	0.716	4
75	1	2	5	3	2	2	0.624	1
78	1	2	6	3	1	1	0.858	4
81	1	2	7	3	2	2	0.749	1
84	1	2	8	3	1	1	0.635	4
87	1	2	9	3	2	2	0.703	1
90	1	2	10	3	1	1	0.675	4
93	1	2	11	3	1	2	0.771	4
96	1	2	12	3	2	1	1.352	3
114	1	3	1	2	2	2	1.192	3
117	1	3	2	2	1	1	1.076	1
120	1	3	3	2	1	2	1.118	3
123	1	3	4	2	2	2	0.954	4
126	1	3	5	2	1	2	1.018	2
129	1	3	6	2	2	1	1.069	2
132	1	3	7	2	2	1	0.931	3
135	1	3	8	2	2	2	0.984	2
138	1	3	9	2	1	1	0.876	2
141	1	3	10	2	2	1	1.313	1
144	1	3	11	2	1	1	0.973	3
147	1	3	12	2	1	2	1.017	2
165	1	4	1	3	2	2	1.06	2
168	1	4	2	3	1	2	0.792	4
171	1	4	3	3	2	1	0.962	2
174	1	4	4	3	1	2	0.56	4
177	1	4	5	3	2	2	0.85	1
180	1	4	6	3	2	1	1.075	1
183	1	4	7	3	1	1	0.726	4
186	1	4	8	3	2	2	0.85	1
189	1	4	9	3	1	2	0.757	4
192	1	4	10	3	1	1	0.739	4
195	1	4	11	3	1	1	0.726	4
198	1	4	12	3	2	1	0.802	1
216	1	5	1	1	1	1	0.718	4
219	1	5	2	1	1	1	0.839	3
222	1	5	3	1	1	1	1.04	2
225	1	5	4	1	2	1	0.923	2
228	1	5	5	1	2	2	0.868	3
231	1	5	6	1	1	2	0.851	4
234	1	5	7	1	2	1	1.076	1
237	1	5	8	1	1	2	0.915	3
240	1	5	9	1	2	2	0.911	3
243	1	5	10	1	2	1	0.922	3
246	1	5	11	1	2	2	0.919	3
249	1	5	12	1	1	2	0.524	4
267	1	6	1	2	2	1	0.974	4
270	1	6	2	2	1	2	1.24	1
273	1	6	3	2	1	1	1.059	3
276	1	6	4	2	2	2	1.086	2
279	1	6	5	2	2	2	1.017	2
282	1	6	6	2	1	2	0.765	1
285	1	6	7	2	1	1	0.976	1
288	1	6	8	2	2	2	1.018	2
291	1	6	9	2	2	1	0.95	3
294	1	6	10	2	1	2	0.969	1
297	1	6	11	2	1	1	0.849	1
300	1	6	12	2	2	1	0.955	3
