onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	1	2	1.271	1
15	1	1	2	2	2	2	0.878	2
18	1	1	3	2	1	2	0.783	1
21	1	1	4	2	2	2	1.139	2
24	1	1	5	2	1	1	0.921	1
27	1	1	6	2	1	1	0.777	1
30	1	1	7	2	1	2	0.892	2
33	1	1	8	2	2	1	0.904	3
36	1	1	9	2	2	1	1	3
39	1	1	10	2	2	1	0.813	3
42	1	1	11	2	1	1	0.992	2
45	1	1	12	2	2	2	1.035	1
63	1	2	1	1	2	1	0.878	1
66	1	2	2	1	2	1	0.954	2
69	1	2	3	1	2	2	1.018	2
72	1	2	4	1	2	2	0.911	3
75	1	2	5	1	2	1	1.203	3
78	1	2	6	1	1	1	1.1	3
81	1	2	7	1	1	1	0.842	2
84	1	2	8	1	2	2	1.235	2
87	1	2	9	1	1	2	1.028	2
90	1	2	10	1	1	1	0.838	3
93	1	2	11	1	1	2	0.55	4
96	1	2	12	1	1	2	0.92	1
114	1	3	1	2	1	2	0.904	1
117	1	3	2	2	1	2	0.77	1
120	1	3	3	2	2	1	1.232	2
123	1	3	4	2	2	1	1.107	3
126	1	3	5	2	2	2	0.887	3
129	1	3	6	2	2	2	1.084	2
132	1	3	7	2	1	1	0.817	2
135	1	3	8	2	1	1	0.818	1
138	1	3	9	2	2	2	0.96	3
141	1	3	10	2	2	1	0.922	3
144	1	3	11	2	1	1	0.678	1
147	1	3	12	2	1	2	0.721	1
165	1	4	1	1	2	2	0.844	3
168	1	4	2	1	2	1	1.094	2
171	1	4	3	1	1	1	1.018	3
174	1	4	4	1	2	2	1.11	2
177	1	4	5	1	2	1	0.716	3
180	1	4	6	1	2	1	0.85	2
183	1	4	7	1	1	2	1.218	2
186	1	4	8	1	1	1	1.019	2
189	1	4	9	1	1	1	0.825	2
192	1	4	10	1	1	2	0.924	3
195	1	4	11	1	2	2	0.753	4
198	1	4	12	1	1	2	0.878	1
