onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	1	1	1	1.722	1	1	2	2.117
21	6	1	2	2	2	1	2.192	1	0	1	1.793
27	6	1	3	1	2	1	1.698	1	1	3	1.364
33	6	1	4	2	2	2	1.986	2	1	4	0.7
39	6	1	5	2	2	2	1.739	2	1	4	2.007
45	6	1	6	2	2	1	1.672	2	1	3	0.83
51	6	1	7	1	1	1	1.456	1	1	3	1.548
57	6	1	8	1	2	1	2.422	1	1	2	1.516
63	6	1	9	1	1	2	1.582	1	1	3	1.092
69	6	1	10	1	2	2	1.266	1	1	4	0.623
75	6	1	11	1	2	2	1.259	1	1	4	0.618
81	6	1	12	1	2	1	1.282	1	1	4	0.363
87	6	1	13	1	2	2	0.88	1	1	4	0.546
93	6	1	14	2	2	1	3.637	2	1	3	0.861
99	6	1	15	1	1	2	1.312	1	1	3	0.634
105	6	1	16	2	2	1	1.424	2	1	3	0.72
111	6	1	17	1	1	1	1.356	1	1	4	0.429
117	6	1	18	1	1	2	1.757	1	1	3	0.496
123	6	1	19	2	2	2	0.933	2	1	4	0.307
129	6	1	20	1	2	2	1.34	1	1	4	0.834
135	6	1	21	2	1	1	1.729	2	1	3	0.37
141	6	1	22	2	2	2	1.592	2	1	4	0.471
147	6	1	23	2	1	2	1.341	2	1	4	0.262
153	6	1	24	2	1	2	1.176	2	1	4	0.296
159	6	1	25	2	2	1	2.532	2	1	2	0.925
165	6	1	26	2	1	2	1.576	2	1	3	0.823
171	6	1	27	2	1	2	1.146	2	1	4	0.264
177	6	1	28	2	1	2	1.817	2	1	3	0.643
183	6	1	29	2	1	1	1.057	2	1	2	1.161
189	6	1	30	1	1	2	1.913	1	1	4	1.487
195	6	1	31	1	1	1	2.238	1	1	4	0.69
201	6	1	32	2	2	1	3.588	2	1	3	0.724
207	6	1	33	2	1	2	1.594	1	0	3	0.925
213	6	1	34	2	1	1	1.622	2	1	3	0.677
219	6	1	35	2	1	1	3.542	2	1	3	0.695
225	6	1	36	1	2	2	1.751	2	0	3	0.65
231	6	1	37	1	2	2	1.541	1	1	4	0.613
237	6	1	38	2	1	1	1.943	2	1	2	1.219
243	6	1	39	2	1	1	1.83	2	1	3	0.977
249	6	1	40	1	1	2	1.251	1	1	4	1.165
255	6	1	41	2	2	2	1.535	2	1	2	1.003
261	6	1	42	1	1	1	1.68	1	1	3	1.149
267	6	1	43	1	1	2	1.016	1	1	4	0.349
273	6	1	44	2	1	1	1.538	2	1	3	0.366
279	6	1	45	1	2	2	1.263	1	1	4	0.293
285	6	1	46	2	2	1	1.562	2	1	4	0.433
291	6	1	47	2	1	2	2.262	1	0	2	1.72
297	6	1	48	1	1	2	2.247	1	1	3	0.807
303	6	1	49	2	1	2	1.739	2	1	3	0.492
309	6	1	50	1	2	1	1.45	1	1	2	2.436
315	6	1	51	1	2	1	2.466	1	1	3	0.964
321	6	1	52	2	1	1	1.585	1	0	3	0.331
327	6	1	53	1	1	1	1.063	1	1	4	0.311
333	6	1	54	1	1	1	1.129	1	1	4	0.713
339	6	1	55	2	1	2	2.35	2	1	3	0.693
345	6	1	56	2	2	1	1.293	2	1	3	0.531
351	6	1	57	1	1	1	2.14	1	1	3	0.563
357	6	1	58	2	1	1	2.183	2	1	3	0.693
363	6	1	59	2	1	2	2.79	2	1	3	0.535
369	6	1	60	2	1	1	1.641	2	1	3	0.523
375	6	1	61	2	1	1	2.186	2	1	3	1.188
381	6	1	62	2	2	1	1.21	2	1	4	0.289
387	6	1	63	2	2	1	1.138	2	1	4	0.291
393	6	1	64	1	2	1	1.83	1	1	4	0.731
399	6	1	65	1	2	2	1.211	1	1	4	0.305
405	6	1	66	1	1	1	1.168	1	1	3	0.481
411	6	1	67	1	2	1	1.565	1	1	4	0.265
417	6	1	68	2	2	2	1.649	2	1	4	0.43
423	6	1	69	2	2	2	2.168	2	1	3	0.424
429	6	1	70	2	2	2	1.719	2	1	4	0.321
435	6	1	71	1	1	2	1.954	1	1	4	0.25
441	6	1	72	1	1	1	1.185	1	1	4	0.208
447	6	1	73	1	2	1	2.608	1	1	3	0.867
453	6	1	74	1	1	2	2.478	1	1	3	0.467
459	6	1	75	1	1	1	1.558	1	1	4	0.43
465	6	1	76	1	1	2	1.327	1	1	4	0.966
471	6	1	77	1	2	1	1.132	1	1	4	0.253
477	6	1	78	2	2	2	0.952	1	0	 n/a	 n/a
483	6	1	79	1	2	1	0.984	1	1	3	1.51
489	6	1	80	2	2	1	1.101	2	1	3	0.427
495	6	1	81	2	1	2	1.41	2	1	3	1.193
501	6	1	82	1	2	2	1.069	1	1	4	0.657
507	6	1	83	2	1	1	1.317	1	0	3	0.982
513	6	1	84	2	2	2	1.028	2	1	4	0.306
519	6	1	85	1	1	1	1.221	1	1	4	0.993
525	6	1	86	1	2	2	1.247	1	1	4	0.277
531	6	1	87	1	2	2	1.255	1	1	3	0.436
537	6	1	88	1	2	1	1.219	1	1	4	0.269
543	6	1	89	2	1	2	1.398	1	0	2	1.121
549	6	1	90	2	2	1	1.435	2	1	3	0.638
555	6	1	91	1	1	2	1.478	1	1	3	0.436
561	6	1	92	1	2	1	1.416	1	1	1	1.827
567	6	1	93	1	2	2	1.324	1	1	4	0.646
573	6	1	94	1	1	2	1.199	1	1	4	0.46
579	6	1	95	2	2	2	1.423	1	0	1	1.531
585	6	1	96	2	2	2	1.596	2	1	3	0.911
