onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	1	0.928	2
15	1	1	2	1	1	1	0.741	3
18	1	1	3	1	2	2	0.85	3
21	1	1	4	1	1	2	0.638	4
24	1	1	5	1	1	2	0.75	3
27	1	1	6	1	2	2	0.875	3
30	1	1	7	1	1	1	0.801	3
33	1	1	8	1	2	1	0.778	1
36	1	1	9	1	2	2	0.978	2
39	1	1	10	1	1	1	0.877	3
42	1	1	11	1	1	2	0.836	3
45	1	1	12	1	2	1	0.935	3
63	1	2	1	2	1	2	0.899	1
66	1	2	2	2	1	1	0.962	1
69	1	2	3	2	2	1	0.881	4
72	1	2	4	2	1	2	0.696	1
75	1	2	5	2	1	2	1.018	3
78	1	2	6	2	2	1	0.92	3
81	1	2	7	2	2	2	0.827	2
84	1	2	8	2	2	2	1.019	2
87	1	2	9	2	1	1	0.957	2
90	1	2	10	2	2	1	0.961	3
93	1	2	11	2	1	1	0.868	1
96	1	2	12	2	2	2	0.892	3
114	1	3	1	1	2	2	1.109	4
117	1	3	2	1	2	1	0.886	3
120	1	3	3	1	2	1	1.068	3
123	1	3	4	1	2	2	0.833	2
126	1	3	5	1	2	1	0.947	3
129	1	3	6	1	1	2	1.035	2
132	1	3	7	1	1	1	0.769	3
135	1	3	8	1	1	1	0.643	4
138	1	3	9	1	1	1	0.752	3
141	1	3	10	1	1	2	0.758	3
144	1	3	11	1	1	2	0.657	3
147	1	3	12	1	2	2	0.716	2
165	1	4	1	2	2	1	1.156	4
168	1	4	2	2	2	1	0.923	3
171	1	4	3	2	1	2	1.056	1
174	1	4	4	2	1	2	1.056	2
177	1	4	5	2	2	2	0.91	4
180	1	4	6	2	1	2	1.208	3
183	1	4	7	2	1	1	0.823	1
186	1	4	8	2	2	1	1.063	2
189	1	4	9	2	2	2	1.036	3
192	1	4	10	2	2	2	1.032	2
195	1	4	11	2	1	1	0.676	1
198	1	4	12	2	1	1	0.665	1
