onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	2	2	1.391	2
15	1	1	2	2	2	1	1.103	3
18	1	1	3	2	1	2	1.076	1
21	1	1	4	2	1	2	0.971	2
24	1	1	5	2	2	2	0.986	4
27	1	1	6	2	1	1	1.038	3
30	1	1	7	2	2	1	1.075	4
33	1	1	8	2	2	2	0.971	3
36	1	1	9	2	2	1	0.961	3
39	1	1	10	2	1	1	0.964	2
42	1	1	11	2	1	1	1.152	3
45	1	1	12	2	1	2	1.082	1
63	1	2	1	1	1	1	1.031	1
66	1	2	2	1	1	1	0.899	2
69	1	2	3	1	1	2	0.832	1
72	1	2	4	1	1	1	1.401	3
75	1	2	5	1	2	2	1.179	2
78	1	2	6	1	2	1	1.257	2
81	1	2	7	1	2	2	1.045	1
84	1	2	8	1	2	1	0.976	3
87	1	2	9	1	1	2	1.182	3
90	1	2	10	1	2	2	0.902	3
93	1	2	11	1	1	2	1.079	2
96	1	2	12	1	2	1	1.141	2
114	1	3	1	2	1	1	0.869	1
117	1	3	2	2	2	2	1.027	4
120	1	3	3	2	1	2	0.86	3
123	1	3	4	2	1	2	0.982	3
126	1	3	5	2	2	2	1.002	3
129	1	3	6	2	1	1	0.978	1
132	1	3	7	2	1	1	1.031	3
135	1	3	8	2	2	1	0.868	4
138	1	3	9	2	2	1	0.836	4
141	1	3	10	2	2	1	0.57	4
144	1	3	11	2	1	2	1.041	2
147	1	3	12	2	2	2	1.231	2
165	1	4	1	1	2	2	1.301	2
168	1	4	2	1	1	2	1.148	4
171	1	4	3	1	1	1	0.741	3
174	1	4	4	1	2	1	0.954	2
177	1	4	5	1	1	2	1.027	4
180	1	4	6	1	2	2	1.159	2
183	1	4	7	1	2	2	1.28	2
186	1	4	8	1	2	1	0.739	4
189	1	4	9	1	1	2	1.231	2
192	1	4	10	1	2	1	0.954	3
195	1	4	11	1	1	1	1.02	4
198	1	4	12	1	1	1	1.035	4
