onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	2	2	1	1.263	2	1	2	1.505
21	6	1	2	2	1	2	1.561	2	1	3	1.643
27	6	1	3	2	2	2	1.24	1	0	3	1.383
33	6	1	4	2	2	1	1.208	1	0	1	2.439
39	6	1	5	1	1	2	1.986	2	0	2	1.704
45	6	1	6	1	2	2	1.013	1	1	4	1.091
51	6	1	7	1	2	1	2.525	2	0	 n/a	 n/a
57	6	1	8	2	1	1	1.209	1	0	2	0.646
63	6	1	9	2	1	1	0.931	1	0	2	0.742
69	6	1	10	1	2	2	0.999	1	1	4	0.558
75	6	1	11	1	2	2	1.982	2	0	3	0.792
81	6	1	12	1	1	1	1.277	1	1	3	0.822
87	6	1	13	2	1	1	0.927	1	0	4	0.632
93	6	1	14	1	2	1	1.254	1	1	2	1.443
99	6	1	15	1	1	1	0.912	1	1	4	0.755
105	6	1	16	2	1	1	0.773	1	0	2	2.557
111	6	1	17	2	2	2	1.558	2	1	4	0.761
117	6	1	18	2	2	1	1.337	2	1	3	0.969
123	6	1	19	1	1	1	1.321	1	1	3	0.836
129	6	1	20	2	1	2	1.236	1	0	2	1.123
135	6	1	21	2	1	2	1.063	1	0	2	1.213
141	6	1	22	2	1	2	1.484	1	0	2	1.574
147	6	1	23	2	2	1	1.446	2	1	3	1.134
153	6	1	24	2	2	1	1.396	2	1	4	1.249
159	6	1	25	1	1	2	1.457	2	0	3	1.002
165	6	1	26	2	1	1	1.533	1	0	2	1.241
171	6	1	27	1	2	1	0.999	1	1	4	0.754
177	6	1	28	1	2	2	1.389	1	1	1	1.6
183	6	1	29	1	1	2	0.968	1	1	4	1.072
189	6	1	30	2	1	2	0.866	1	0	1	2.686
195	6	1	31	1	1	1	1.546	1	1	3	1.63
201	6	1	32	2	2	2	1.43	2	1	4	1.223
207	6	1	33	1	2	2	1.643	2	0	1	1.903
213	6	1	34	2	1	1	1.689	2	1	3	1.471
219	6	1	35	1	2	2	1.437	1	1	3	1.622
225	6	1	36	2	2	2	1.843	2	1	4	0.559
231	6	1	37	2	2	1	1.199	2	1	4	0.913
237	6	1	38	2	2	2	1.613	2	1	3	0.834
243	6	1	39	1	1	2	1.505	1	1	3	1.196
249	6	1	40	2	2	2	1.21	1	0	3	0.9
255	6	1	41	2	1	2	1.398	1	0	2	1.209
261	6	1	42	2	2	1	1.358	2	1	3	0.757
267	6	1	43	2	2	1	1.267	2	1	3	1.592
273	6	1	44	2	1	2	1.184	1	0	3	1.548
279	6	1	45	2	1	2	1.387	1	0	1	1.737
285	6	1	46	1	1	1	1.083	1	1	3	1.044
291	6	1	47	1	1	2	1.981	2	0	2	1.508
297	6	1	48	1	2	1	2.128	2	0	3	1.8
303	6	1	49	2	2	2	2.239	1	0	2	0.907
309	6	1	50	2	2	1	1.651	1	0	 n/a	 n/a
315	6	1	51	2	1	1	1.381	1	0	4	1.06
321	6	1	52	2	1	2	1.431	2	1	4	0.897
327	6	1	53	1	2	2	1.956	2	0	1	1.031
333	6	1	54	2	1	2	1.716	2	1	3	1.001
339	6	1	55	1	1	2	1.679	2	0	1	1.308
345	6	1	56	2	1	1	1.594	1	0	1	2.075
351	6	1	57	2	1	1	1.386	2	1	4	1
357	6	1	58	2	2	1	1.347	2	1	3	1.653
363	6	1	59	1	1	2	2.199	1	1	2	0.902
369	6	1	60	1	2	1	1.011	1	1	4	0.605
375	6	1	61	2	2	1	1.276	2	1	4	1.232
381	6	1	62	1	1	2	1.23	1	1	3	0.909
387	6	1	63	1	1	1	1.193	1	1	3	1.199
393	6	1	64	2	2	1	1.645	2	1	3	1.018
399	6	1	65	1	2	2	1.691	1	1	3	0.835
405	6	1	66	1	1	1	1.591	2	0	4	1.252
411	6	1	67	1	2	1	1.94	1	1	3	1.571
417	6	1	68	2	2	2	1.269	2	1	4	0.758
423	6	1	69	2	1	2	1.302	1	0	1	1.583
429	6	1	70	1	2	1	1.57	1	1	3	1.859
435	6	1	71	1	1	1	1.288	2	0	2	1.07
441	6	1	72	1	2	2	1.37	1	1	3	0.813
447	6	1	73	1	2	1	1.014	1	1	3	0.792
453	6	1	74	2	1	1	1.526	1	0	2	1.321
459	6	1	75	2	2	2	1.601	2	1	3	1.323
465	6	1	76	2	2	2	1.38	2	1	2	1.429
471	6	1	77	1	1	1	1.482	2	0	3	1.294
477	6	1	78	2	2	2	1.055	2	1	2	1.448
483	6	1	79	1	2	1	1.293	1	1	4	1.8
489	6	1	80	1	1	1	0.963	1	1	4	0.931
495	6	1	81	1	1	2	0.872	1	1	3	1.105
501	6	1	82	1	1	2	1.974	2	0	2	1.005
507	6	1	83	1	2	1	1.34	1	1	2	1.365
513	6	1	84	1	1	1	0.987	1	1	3	0.944
519	6	1	85	1	1	1	2.17	2	0	3	1.315
525	6	1	86	1	1	2	1.52	1	1	3	1.03
531	6	1	87	2	1	2	1.416	1	0	3	0.967
537	6	1	88	1	2	2	1.275	1	1	3	0.787
543	6	1	89	1	2	1	1.265	1	1	4	0.507
549	6	1	90	2	1	1	1.177	1	0	4	0.457
555	6	1	91	1	1	2	1.375	1	1	4	0.997
561	6	1	92	1	2	2	2	2	0	2	1.31
567	6	1	93	2	2	2	1.668	2	1	2	0.957
573	6	1	94	2	1	1	1.455	1	0	1	0.901
579	6	1	95	1	2	2	2.272	2	0	1	1.354
585	6	1	96	1	2	1	1.491	2	0	2	2.661
