onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	3	1	2	0.551	4
15	1	1	2	3	2	2	0.826	2
18	1	1	3	3	2	2	0.848	3
21	1	1	4	3	1	1	0.791	4
24	1	1	5	3	1	2	0.742	4
27	1	1	6	3	1	1	0.946	4
30	1	1	7	3	2	2	1.262	2
33	1	1	8	3	1	1	0.867	2
36	1	1	9	3	2	1	1.167	2
39	1	1	10	3	2	1	1.63	2
42	1	1	11	3	1	2	0.905	4
45	1	1	12	3	2	1	1.229	2
63	1	2	1	1	1	2	0.816	1
66	1	2	2	1	1	2	1.117	1
69	1	2	3	1	2	1	0.75	2
72	1	2	4	1	1	1	0.819	3
75	1	2	5	1	2	1	0.657	1
78	1	2	6	1	2	2	1.02	2
81	1	2	7	1	1	1	0.976	3
84	1	2	8	1	1	2	1.201	2
87	1	2	9	1	2	2	0.771	1
90	1	2	10	1	2	1	0.743	3
93	1	2	11	1	2	2	0.933	2
96	1	2	12	1	1	1	0.935	1
114	1	3	1	2	1	2	1.145	3
117	1	3	2	2	2	1	0.959	3
120	1	3	3	2	1	1	0.736	3
123	1	3	4	2	1	2	1.337	2
126	1	3	5	2	1	1	0.911	2
129	1	3	6	2	1	1	1.521	3
132	1	3	7	2	1	2	1.039	3
135	1	3	8	2	2	1	1.107	3
138	1	3	9	2	2	2	0.957	3
141	1	3	10	2	2	1	0.765	3
144	1	3	11	2	2	2	0.922	3
147	1	3	12	2	2	2	1.562	2
165	1	4	1	1	2	1	0.862	4
168	1	4	2	1	1	1	1.059	3
171	1	4	3	1	2	1	0.829	4
174	1	4	4	1	2	2	1.132	2
177	1	4	5	1	1	2	0.808	3
180	1	4	6	1	2	2	0.921	2
183	1	4	7	1	1	1	0.729	3
186	1	4	8	1	2	2	1.045	2
189	1	4	9	1	2	1	0.921	2
192	1	4	10	1	1	2	1.531	2
195	1	4	11	1	1	2	0.701	1
198	1	4	12	1	1	1	1.211	2
216	1	5	1	2	2	1	1.51	1
219	1	5	2	2	1	2	1.117	3
222	1	5	3	2	1	2	0.869	3
225	1	5	4	2	2	2	1.236	3
228	1	5	5	2	2	2	0.712	3
231	1	5	6	2	1	2	0.808	3
234	1	5	7	2	1	1	1.035	2
237	1	5	8	2	1	1	0.933	3
240	1	5	9	2	1	1	1.303	4
243	1	5	10	2	2	2	0.96	4
246	1	5	11	2	2	1	0.005	1
249	1	5	12	2	2	1	1.663	3
267	1	6	1	3	2	2	1.432	2
270	1	6	2	3	2	1	0.788	2
273	1	6	3	3	1	2	0.852	4
276	1	6	4	3	1	2	0.867	4
279	1	6	5	3	1	1	1.272	4
282	1	6	6	3	1	1	0.904	4
285	1	6	7	3	2	1	1.058	2
288	1	6	8	3	2	2	1.534	2
291	1	6	9	3	2	1	1.302	3
294	1	6	10	3	1	2	1.778	4
297	1	6	11	3	2	2	1.268	2
300	1	6	12	3	1	1	0.994	4
