onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	1	1	1.7	1
15	1	1	2	2	2	2	1.357	2
18	1	1	3	2	1	2	0.901	3
21	1	1	4	2	2	1	0.745	4
24	1	1	5	2	2	1	0.859	2
27	1	1	6	2	2	1	0.843	4
30	1	1	7	2	2	2	0.754	1
33	1	1	8	2	1	1	0.749	1
36	1	1	9	2	1	1	0.887	1
39	1	1	10	2	1	2	0.836	1
42	1	1	11	2	1	2	0.74	1
45	1	1	12	2	2	2	0.815	2
63	1	2	1	1	1	2	0.82	2
66	1	2	2	1	2	1	0.59	3
69	1	2	3	1	1	1	1	2
72	1	2	4	1	2	2	1.026	1
75	1	2	5	1	2	1	0.608	4
78	1	2	6	1	2	2	0.666	1
81	1	2	7	1	1	1	0.627	1
84	1	2	8	1	1	2	0.686	3
87	1	2	9	1	2	2	0.604	2
90	1	2	10	1	2	1	0.647	1
93	1	2	11	1	1	1	0.589	1
96	1	2	12	1	1	2	0.664	2
114	1	3	1	2	1	2	0.841	1
117	1	3	2	2	1	2	0.798	3
120	1	3	3	2	2	2	0.816	3
123	1	3	4	2	1	1	0.57	2
126	1	3	5	2	1	1	0.722	2
129	1	3	6	2	2	2	0.815	4
132	1	3	7	2	2	1	0.745	3
135	1	3	8	2	1	1	0.896	2
138	1	3	9	2	1	2	0.91	1
141	1	3	10	2	2	1	0.878	2
144	1	3	11	2	2	2	0.723	4
147	1	3	12	2	2	1	0.72	3
165	1	4	1	1	2	1	1.256	2
168	1	4	2	1	2	2	0.893	1
171	1	4	3	1	2	1	0.719	1
174	1	4	4	1	1	2	0.688	2
177	1	4	5	1	2	1	0.873	1
180	1	4	6	1	1	2	0.965	2
183	1	4	7	1	2	2	0.661	1
186	1	4	8	1	1	1	0.852	3
189	1	4	9	1	1	1	0.812	3
192	1	4	10	1	2	2	0.679	1
195	1	4	11	1	1	2	0.636	2
198	1	4	12	1	1	1	0.611	1
