onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	2	2	1.139	4
15	1	1	2	2	1	1	1.714	2
18	1	1	3	2	2	2	1.213	3
21	1	1	4	2	1	2	1.329	3
24	1	1	5	2	1	2	0.838	3
27	1	1	6	2	2	2	1.439	3
30	1	1	7	2	1	2	1.755	2
33	1	1	8	2	2	1	0.745	4
36	1	1	9	2	2	1	0.712	4
39	1	1	10	2	1	1	0.89	1
42	1	1	11	2	1	1	1.181	1
45	1	1	12	2	2	1	1.088	4
63	1	2	1	1	2	2	0.911	1
66	1	2	2	1	2	1	0.832	2
69	1	2	3	1	1	2	1.359	4
72	1	2	4	1	2	1	0.767	1
75	1	2	5	1	1	1	1.685	3
78	1	2	6	1	1	2	0.713	4
81	1	2	7	1	2	1	1.319	1
84	1	2	8	1	2	2	1.141	2
87	1	2	9	1	1	2	0.943	1
90	1	2	10	1	1	1	1.241	2
93	1	2	11	1	2	2	1.358	3
96	1	2	12	1	1	1	1.639	2
114	1	3	1	2	1	1	0.988	1
117	1	3	2	2	1	2	0.824	1
120	1	3	3	2	2	1	1	4
123	1	3	4	2	1	1	1.05	1
126	1	3	5	2	2	2	 n/a	 n/a
129	1	3	6	2	1	1	1.753	1
132	1	3	7	2	2	2	1.441	3
135	1	3	8	2	2	2	1.063	4
138	1	3	9	2	2	1	0.979	3
141	1	3	10	2	2	1	1.07	4
144	1	3	11	2	1	2	0.965	2
147	1	3	12	2	1	2	0.811	2
165	1	4	1	1	2	1	1.181	1
168	1	4	2	1	1	1	0.853	1
171	1	4	3	1	2	1	0.97	1
174	1	4	4	1	2	2	0.831	2
177	1	4	5	1	1	2	1.222	3
180	1	4	6	1	2	2	1.428	2
183	1	4	7	1	1	1	1.188	3
186	1	4	8	1	2	2	1.634	2
189	1	4	9	1	1	2	1.387	3
192	1	4	10	1	1	1	1.031	1
195	1	4	11	1	1	2	0.936	4
198	1	4	12	1	2	1	1.017	1
