onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	1	2	1	1.41	1	1	4	1.707
21	6	1	2	1	2	1	1.473	1	1	4	0.337
27	6	1	3	1	2	2	1.846	1	1	4	0.463
33	6	1	4	1	2	1	1.704	1	1	3	2.468
39	6	1	5	2	2	1	1.999	2	1	3	0.964
45	6	1	6	2	1	1	1.643	2	1	3	0.686
51	6	1	7	2	2	2	1.909	2	1	3	0.363
57	6	1	8	1	1	1	0.867	1	1	4	0.212
63	6	1	9	1	2	2	2.331	2	0	3	0.292
69	6	1	10	1	1	1	1.622	1	1	4	0.014
75	6	1	11	2	1	1	2.002	1	0	4	0.068
81	6	1	12	2	1	2	2.373	1	0	3	0.574
87	6	1	13	1	1	1	2.553	1	1	4	0.101
93	6	1	14	1	2	2	2.17	2	0	3	0.917
99	6	1	15	1	2	1	1.614	2	0	3	0.371
105	6	1	16	1	1	2	1.512	1	1	4	0.566
111	6	1	17	2	2	1	2.064	2	1	4	0.164
117	6	1	18	2	1	2	1.475	2	1	4	0.495
123	6	1	19	1	2	2	2.452	2	0	3	0.732
129	6	1	20	1	1	2	1.397	1	1	4	0.03
135	6	1	21	2	1	1	1.931	1	0	4	0.455
141	6	1	22	2	1	2	1.551	1	0	4	0.023
147	6	1	23	1	2	1	1.986	2	0	2	0.993
153	6	1	24	1	2	2	1.318	1	1	4	0.055
159	6	1	25	1	1	2	1.259	1	1	4	0.239
165	6	1	26	2	2	2	2.098	1	0	3	1.089
171	6	1	27	2	1	2	2.716	2	1	3	1.577
177	6	1	28	2	2	2	1.793	2	1	4	0.385
183	6	1	29	1	2	2	1.601	2	0	4	1.904
189	6	1	30	1	1	1	1.964	1	1	4	0.054
195	6	1	31	2	2	1	2.576	2	1	4	0.574
201	6	1	32	2	1	2	1.476	1	0	4	0.096
207	6	1	33	1	2	1	0.948	2	0	3	0.596
213	6	1	34	2	2	1	1.522	2	1	1	0.769
219	6	1	35	2	2	1	2.56	2	1	2	0.713
225	6	1	36	2	2	1	0.966	2	1	4	0.323
231	6	1	37	1	1	2	0.966	1	1	4	0.192
237	6	1	38	1	1	2	1.154	1	1	4	0.171
243	6	1	39	1	1	1	1.837	1	1	4	0.005
249	6	1	40	2	1	1	3.111	1	0	4	0.198
255	6	1	41	2	2	1	1.133	2	1	4	0.823
261	6	1	42	2	1	2	1.148	1	0	4	0.062
267	6	1	43	2	2	2	1.457	2	1	4	0.109
273	6	1	44	2	1	1	1.377	2	1	4	0.581
279	6	1	45	2	2	2	2.049	2	1	3	0.464
285	6	1	46	1	1	2	1.075	1	1	4	0.14
291	6	1	47	2	2	2	2.084	1	0	3	1.526
297	6	1	48	1	2	1	2.393	2	0	3	0.974
303	6	1	49	2	2	1	1.975	2	1	3	0.481
309	6	1	50	1	2	2	1.952	1	1	3	1.4
315	6	1	51	2	2	2	2.278	2	1	4	0.47
321	6	1	52	2	2	1	1.712	2	1	4	0.228
327	6	1	53	1	1	2	1.033	1	1	4	0.012
333	6	1	54	1	2	2	1.75	2	0	3	0.546
339	6	1	55	1	2	1	1.523	2	0	4	0.415
345	6	1	56	2	2	1	1.43	2	1	3	0.882
351	6	1	57	2	1	1	1.28	1	0	4	0.085
357	6	1	58	1	1	1	1.469	1	1	3	0.692
363	6	1	59	2	1	2	1.684	1	0	1	0.218
369	6	1	60	2	1	1	1.672	2	1	4	0.229
375	6	1	61	1	1	1	1.265	1	1	4	1.157
381	6	1	62	2	1	1	1.916	1	0	4	0.281
387	6	1	63	1	1	1	1.401	1	1	4	0.668
393	6	1	64	2	1	1	1.446	1	0	4	0.572
399	6	1	65	2	1	2	1.677	1	0	3	0.76
405	6	1	66	1	2	2	1.236	2	0	4	0.248
411	6	1	67	1	1	1	1.385	1	1	4	0.204
417	6	1	68	2	1	1	1.177	1	0	4	0.086
423	6	1	69	2	1	2	2.225	2	1	4	0.249
429	6	1	70	2	2	1	1.913	1	0	4	0.245
435	6	1	71	1	1	2	1.135	1	1	4	0.121
441	6	1	72	2	2	2	2.772	1	0	3	0.636
447	6	1	73	2	2	2	1.642	2	1	3	1.097
453	6	1	74	2	1	2	0.715	1	0	4	0.303
459	6	1	75	1	1	2	0.924	1	1	4	0.149
465	6	1	76	1	2	1	1.06	2	0	2	0.875
471	6	1	77	1	2	1	0.956	1	1	4	0.03
477	6	1	78	1	1	2	0.769	1	1	4	0.019
483	6	1	79	1	1	2	1.208	2	0	1	2.386
489	6	1	80	2	1	2	1.589	1	0	3	0.876
495	6	1	81	1	2	1	2.472	1	1	3	0.354
501	6	1	82	1	1	1	1.232	1	1	4	0.067
507	6	1	83	1	1	1	0.961	1	1	4	0.204
513	6	1	84	2	2	2	1.681	2	1	3	0.371
519	6	1	85	1	2	2	1.166	2	0	3	0.396
525	6	1	86	1	1	2	1.509	1	1	4	0.122
531	6	1	87	2	1	2	1.747	2	1	3	0.552
537	6	1	88	2	2	2	2.462	2	1	3	1.244
543	6	1	89	2	2	1	1.124	1	0	4	0.324
549	6	1	90	2	2	2	3.456	1	0	4	0.422
555	6	1	91	1	1	1	1.133	1	1	4	0.023
561	6	1	92	2	1	1	1.101	1	0	3	1.974
567	6	1	93	2	1	1	1.888	2	1	4	0.373
573	6	1	94	1	2	2	1.335	2	0	2	0.673
579	6	1	95	1	2	2	1.948	1	1	2	1.455
585	6	1	96	1	2	1	1.165	2	0	4	0.196
