onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	1	1	2	7	7	0	 n/a	 n/a
21	6	1	2	2	2	1	3.965	2	1	 n/a	 n/a
27	6	1	3	2	1	2	0.25	2	1	2	1.702
33	6	1	4	2	1	1	3.863	1	0	 n/a	 n/a
39	6	1	5	2	1	1	2.101	2	1	1	1.907
45	6	1	6	2	1	1	2.236	2	1	1	1.555
51	6	1	7	1	1	2	3.46	2	0	 n/a	 n/a
57	6	1	8	2	2	1	0.004	2	1	1	1.817
63	6	1	9	2	2	1	1.362	1	0	1	2.834
69	6	1	10	1	1	1	3.096	2	0	2	1.153
75	6	1	11	1	2	1	2.605	1	1	4	1.246
81	6	1	12	1	1	2	2.08	1	1	4	0.538
87	6	1	13	2	2	2	2.427	1	0	4	0.476
93	6	1	14	1	2	1	2.295	1	1	4	1.093
99	6	1	15	1	1	1	2.686	1	1	4	1.294
105	6	1	16	2	2	2	1.941	1	0	3	1.519
111	6	1	17	1	2	2	2.415	1	1	3	0.825
117	6	1	18	2	1	2	3.083	2	1	2	1.075
123	6	1	19	1	1	2	1.885	2	0	2	1.252
129	6	1	20	2	1	1	1.487	1	0	1	0.73
135	6	1	21	2	2	2	2.474	1	0	2	0.912
141	6	1	22	2	1	1	1.567	1	0	2	1.039
147	6	1	23	1	2	2	1.704	1	1	4	0.796
153	6	1	24	2	1	2	2.527	1	0	4	0.72
159	6	1	25	1	1	2	2.675	1	1	4	0.649
165	6	1	26	2	1	2	1.755	1	0	4	0.696
171	6	1	27	2	1	1	1.574	1	0	3	1.023
177	6	1	28	2	1	2	3.071	2	1	3	0.796
183	6	1	29	1	2	2	1.204	1	1	4	0.51
189	6	1	30	2	2	2	3.431	2	1	3	0.817
195	6	1	31	2	2	2	2.847	1	0	2	0.668
201	6	1	32	2	1	2	1.627	1	0	4	0.254
207	6	1	33	1	1	1	0.724	1	1	4	0.256
213	6	1	34	1	1	2	0.906	1	1	4	0.742
219	6	1	35	1	2	1	2.92	1	1	3	1.604
225	6	1	36	1	1	1	2.413	1	1	4	0.367
231	6	1	37	2	2	1	1.52	1	0	4	0.681
237	6	1	38	1	2	1	2.929	1	1	2	0.471
243	6	1	39	1	2	1	1.884	1	1	4	0.11
249	6	1	40	1	2	1	2.738	1	1	3	1.047
255	6	1	41	1	1	2	1.833	1	1	3	0.87
261	6	1	42	1	2	1	1.892	2	0	2	1.896
267	6	1	43	2	1	1	4.319	2	1	 n/a	 n/a
273	6	1	44	1	2	1	0.004	2	0	2	1.201
279	6	1	45	2	1	1	1.817	2	1	3	1.066
285	6	1	46	1	2	2	1.324	1	1	4	0.418
291	6	1	47	1	2	2	0.908	1	1	3	2.241
297	6	1	48	1	2	2	2.406	1	1	3	1.04
303	6	1	49	1	1	1	2.094	2	0	3	0.673
309	6	1	50	2	2	2	2.192	1	0	3	0.577
315	6	1	51	2	1	2	2.551	1	0	4	0.195
321	6	1	52	1	1	2	2.297	2	0	 n/a	 n/a
327	6	1	53	1	2	2	1.138	1	1	2	1.036
333	6	1	54	1	2	2	1.013	1	1	2	0.383
339	6	1	55	1	2	2	1.388	1	1	4	0.565
345	6	1	56	1	1	2	2.009	1	1	3	0.512
351	6	1	57	1	2	1	2.79	2	0	4	1.659
357	6	1	58	1	1	1	1.295	1	1	4	0.082
363	6	1	59	1	2	1	1.785	2	0	3	1.112
369	6	1	60	1	1	1	1.159	1	1	4	0.414
375	6	1	61	1	1	1	1.408	2	0	3	1.089
381	6	1	62	2	2	2	2.082	1	0	4	0.237
387	6	1	63	1	1	1	1.625	1	1	4	0.688
393	6	1	64	2	1	2	1.766	1	0	2	0.787
399	6	1	65	2	2	1	2.338	2	1	2	1.242
405	6	1	66	1	1	2	1.56	2	0	3	1.654
411	6	1	67	2	1	1	1.598	1	0	3	0.935
417	6	1	68	2	1	2	2.244	1	0	3	1.735
423	6	1	69	2	1	2	1.128	1	0	4	0.302
429	6	1	70	2	1	1	2.545	1	0	2	0.071
435	6	1	71	1	1	1	2.287	1	1	4	0.578
441	6	1	72	2	2	1	1.991	2	1	4	0.838
447	6	1	73	2	1	1	2.797	1	0	4	0.35
453	6	1	74	1	2	1	1.312	2	0	4	0.318
459	6	1	75	1	1	2	1.051	1	1	4	0.264
465	6	1	76	2	2	1	1.108	2	1	4	0.2
471	6	1	77	2	1	1	1.758	1	0	4	0.217
477	6	1	78	1	2	2	2.029	2	0	4	0.396
483	6	1	79	2	2	2	1.899	1	0	4	0.035
489	6	1	80	2	2	2	2.355	1	0	2	0.977
495	6	1	81	2	2	1	1.472	2	1	4	0.267
501	6	1	82	2	1	2	1.855	2	1	3	1.231
507	6	1	83	1	1	1	1.685	1	1	4	0.289
513	6	1	84	1	2	1	1.857	2	0	3	0.848
519	6	1	85	2	2	1	2.574	1	0	3	0.868
525	6	1	86	2	2	2	2.193	2	1	3	1.786
531	6	1	87	2	2	1	3.443	1	0	4	0.419
537	6	1	88	2	1	2	3.837	1	0	 n/a	 n/a
543	6	1	89	1	1	1	1.637	1	1	4	0.301
549	6	1	90	2	2	1	1.64	2	1	4	1.558
555	6	1	91	2	2	1	1.532	1	0	2	0.995
561	6	1	92	2	2	2	2.527	2	1	2	1.195
567	6	1	93	2	2	2	2.846	1	0	4	0.438
573	6	1	94	1	1	2	1.082	1	1	4	0.247
579	6	1	95	1	2	2	1.548	1	1	4	0.022
585	6	1	96	1	2	2	1.248	1	1	2	1.273
