onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	1	1.423	3
15	1	1	2	1	2	1	1.49	3
18	1	1	3	1	2	2	1.225	3
21	1	1	4	1	2	2	1.038	1
24	1	1	5	1	2	2	1.52	1
27	1	1	6	1	2	1	1.377	1
30	1	1	7	1	1	1	1.017	4
33	1	1	8	1	1	2	0.882	4
36	1	1	9	1	1	1	0.889	1
39	1	1	10	1	1	2	0.808	4
42	1	1	11	1	1	2	1.221	2
45	1	1	12	1	2	1	1.047	2
63	1	2	1	2	1	2	1.582	1
66	1	2	2	2	2	2	 n/a	 n/a
69	1	2	3	2	1	2	1.427	2
72	1	2	4	2	1	1	1.329	2
75	1	2	5	2	2	2	0.891	4
78	1	2	6	2	2	1	1.395	3
81	1	2	7	2	1	1	1.281	3
84	1	2	8	2	1	1	1.199	1
87	1	2	9	2	1	2	1.267	3
90	1	2	10	2	2	1	1.119	3
93	1	2	11	2	2	1	0.657	3
96	1	2	12	2	2	2	0.917	4
114	1	3	1	1	1	2	0.742	4
117	1	3	2	1	2	1	1.378	2
120	1	3	3	1	1	1	0.56	4
123	1	3	4	1	2	2	1.152	3
126	1	3	5	1	2	2	0.979	3
129	1	3	6	1	2	1	0.782	1
132	1	3	7	1	1	1	1.312	1
135	1	3	8	1	2	2	1.156	3
138	1	3	9	1	1	2	0.852	2
141	1	3	10	1	1	1	1.018	2
144	1	3	11	1	1	2	0.993	1
147	1	3	12	1	2	1	1.088	2
165	1	4	1	2	1	2	1.407	1
168	1	4	2	2	2	2	1.217	3
171	1	4	3	2	1	2	1.128	3
174	1	4	4	2	2	2	1.221	4
177	1	4	5	2	2	1	1.043	4
180	1	4	6	2	1	1	1.088	1
183	1	4	7	2	1	1	1.194	2
186	1	4	8	2	1	2	1.187	3
189	1	4	9	2	1	1	1.2	1
192	1	4	10	2	2	1	0.994	4
195	1	4	11	2	2	1	1.216	3
198	1	4	12	2	2	2	0.744	3
