onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	1	0.809	1
15	1	1	2	1	1	1	0.924	4
18	1	1	3	1	1	2	1.084	3
21	1	1	4	1	1	2	1.23	1
24	1	1	5	1	2	2	1.225	2
27	1	1	6	1	2	2	0.899	3
30	1	1	7	1	1	1	0.678	1
33	1	1	8	1	2	1	1.641	3
36	1	1	9	1	2	2	1.28	3
39	1	1	10	1	2	1	1.063	2
42	1	1	11	1	1	2	0.779	1
45	1	1	12	1	2	1	0.989	2
63	1	2	1	2	1	1	0.937	2
66	1	2	2	2	2	2	0.786	1
69	1	2	3	2	1	2	0.616	4
72	1	2	4	2	1	1	0.942	3
75	1	2	5	2	2	1	1.102	2
78	1	2	6	2	1	2	1.116	3
81	1	2	7	2	1	1	1.018	2
84	1	2	8	2	2	1	0.869	2
87	1	2	9	2	1	2	0.843	4
90	1	2	10	2	2	2	0.679	4
93	1	2	11	2	2	1	0.696	1
96	1	2	12	2	2	2	0.753	1
114	1	3	1	1	1	1	1.095	2
117	1	3	2	1	2	2	0.631	1
120	1	3	3	1	1	2	0.655	4
123	1	3	4	1	2	1	1.459	1
126	1	3	5	1	2	1	1.082	1
129	1	3	6	1	1	1	1.051	3
132	1	3	7	1	2	1	1.108	2
135	1	3	8	1	2	2	0.572	1
138	1	3	9	1	1	2	1.914	2
141	1	3	10	1	1	1	1.362	3
144	1	3	11	1	1	2	0.812	2
147	1	3	12	1	2	2	0.751	3
165	1	4	1	2	2	1	1.389	3
168	1	4	2	2	1	2	0.951	1
171	1	4	3	2	1	2	0.751	1
174	1	4	4	2	2	2	0.908	3
177	1	4	5	2	2	1	1.235	3
180	1	4	6	2	1	1	0.776	1
183	1	4	7	2	2	2	0.921	4
186	1	4	8	2	2	1	0.614	4
189	1	4	9	2	1	1	0.775	1
192	1	4	10	2	2	2	1.363	3
195	1	4	11	2	1	2	0.797	1
198	1	4	12	2	1	1	0.511	1
