onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	1	1	2	2.857	2	0	1	1.101
21	6	1	2	1	2	2	2.031	1	1	2	0.891
27	6	1	3	2	1	2	1.835	2	1	2	1.114
33	6	1	4	2	1	1	1.884	2	1	2	1.324
39	6	1	5	2	1	1	2.146	2	1	2	1.164
45	6	1	6	2	1	2	1.792	2	1	3	0.935
51	6	1	7	2	1	1	2.472	1	0	1	0.364
57	6	1	8	2	2	2	1.519	2	1	3	0.527
63	6	1	9	2	2	1	2.269	1	0	1	1.228
69	6	1	10	1	2	1	2.568	1	1	3	0.463
75	6	1	11	1	1	1	2.749	1	1	2	0.738
81	6	1	12	1	1	2	1.421	1	1	3	0.19
87	6	1	13	1	2	1	1.855	1	1	2	1.18
93	6	1	14	2	1	2	2.149	2	1	3	1.483
99	6	1	15	2	2	2	1.405	2	1	3	0.461
105	6	1	16	1	1	2	1.118	1	1	4	0.258
111	6	1	17	1	2	1	2.753	2	0	2	1.034
117	6	1	18	1	1	2	1.444	1	1	2	1.221
123	6	1	19	1	1	2	2.122	1	1	3	0.647
129	6	1	20	1	1	1	2.377	1	1	2	0.59
135	6	1	21	1	2	2	2.466	1	1	2	1.02
141	6	1	22	1	2	2	1.24	1	1	4	0.213
147	6	1	23	1	2	2	1.602	1	1	4	1.314
153	6	1	24	1	1	2	1.065	1	1	3	0.377
159	6	1	25	2	2	1	1.287	2	1	4	0.271
165	6	1	26	2	2	2	1.933	2	1	2	0.793
171	6	1	27	1	2	1	2.335	1	1	3	1.453
177	6	1	28	2	2	2	1.558	2	1	4	0.517
183	6	1	29	1	2	1	1.892	1	1	2	1.346
189	6	1	30	1	1	1	2.465	2	0	2	1.785
195	6	1	31	2	2	2	1.488	2	1	3	0.146
201	6	1	32	2	2	1	1.543	2	1	3	1.183
207	6	1	33	2	2	2	1.833	2	1	3	1.164
213	6	1	34	2	2	2	1.427	2	1	4	0.113
219	6	1	35	1	1	1	2.857	2	0	2	0.563
225	6	1	36	1	1	1	1.39	1	1	3	0.377
231	6	1	37	2	2	1	2.817	2	1	2	0.61
237	6	1	38	2	2	2	1.087	2	1	4	0.867
243	6	1	39	1	1	1	2.465	2	0	2	0.667
249	6	1	40	2	1	1	3.099	1	0	1	0.477
255	6	1	41	1	2	2	1.193	1	1	3	0.411
261	6	1	42	1	2	1	2.495	2	0	2	0.23
267	6	1	43	2	2	2	1.737	2	1	4	0.497
273	6	1	44	2	1	2	2.304	2	1	2	0.367
279	6	1	45	2	1	1	2.029	2	1	3	0.677
285	6	1	46	2	2	1	2.075	2	1	2	0.386
291	6	1	47	2	2	1	1.965	2	1	2	1.008
297	6	1	48	1	1	1	2.531	2	0	1	0.171
303	6	1	49	2	1	1	2.947	2	1	2	0.464
309	6	1	50	1	1	1	2.321	1	1	2	1.437
315	6	1	51	2	1	1	1.677	1	0	2	0.848
321	6	1	52	1	1	1	2.757	1	1	1	0.135
327	6	1	53	1	1	2	2.685	1	1	2	0.785
333	6	1	54	1	1	2	2.93	2	0	1	0.378
339	6	1	55	1	2	2	2.019	1	1	3	0.253
345	6	1	56	1	1	2	2.557	1	1	2	0.599
351	6	1	57	2	1	2	1.29	2	1	4	1.153
357	6	1	58	1	2	1	2.688	1	1	2	1.116
363	6	1	59	1	2	2	2.51	1	1	2	1.098
369	6	1	60	1	1	1	2.467	1	1	2	0.87
375	6	1	61	2	1	1	2.815	2	1	2	1.075
381	6	1	62	2	1	2	3.012	2	1	1	0.098
387	6	1	63	1	2	1	2.415	1	1	2	1.868
393	6	1	64	2	2	1	1.693	2	1	4	0.678
399	6	1	65	2	1	2	1.586	2	1	4	0.115
405	6	1	66	2	1	2	2.882	1	0	1	0.304
411	6	1	67	1	2	1	3.35	2	0	2	1.222
417	6	1	68	1	2	1	2.346	1	1	3	0.477
423	6	1	69	2	2	1	2.76	1	0	2	1.063
429	6	1	70	2	1	1	1.102	2	1	2	1.698
435	6	1	71	1	2	2	1.947	1	1	3	0.812
441	6	1	72	2	1	2	1.653	2	1	2	1.077
447	6	1	73	2	2	1	3.036	2	1	2	0.34
453	6	1	74	1	2	2	1.54	1	1	3	1.057
459	6	1	75	2	2	2	2.17	2	1	2	1.087
465	6	1	76	2	1	1	2.164	2	1	2	2.07
471	6	1	77	2	2	2	1.877	2	1	3	0.876
477	6	1	78	2	2	1	1.929	2	1	4	0.437
483	6	1	79	1	2	2	1.527	1	1	3	2.077
489	6	1	80	2	1	1	2.054	2	1	2	1.457
495	6	1	81	2	2	2	1.838	2	1	4	0.25
501	6	1	82	1	2	2	1.528	1	1	3	1.311
507	6	1	83	1	2	1	3.257	2	0	2	0.265
513	6	1	84	1	2	1	1.076	1	1	3	0.293
519	6	1	85	2	1	2	3.105	1	0	1	0.308
525	6	1	86	2	2	1	1.849	2	1	2	0.18
531	6	1	87	2	1	1	2.72	2	1	2	0.096
537	6	1	88	1	1	2	1.022	1	1	2	0.913
543	6	1	89	1	1	2	1.237	1	1	4	0.179
549	6	1	90	1	2	2	1.935	1	1	4	0.172
555	6	1	91	2	1	2	1.487	2	1	3	0.39
561	6	1	92	2	1	2	2.957	2	1	2	0.379
567	6	1	93	1	1	2	1.507	1	1	2	1.613
573	6	1	94	1	1	1	1.415	1	1	4	0.267
579	6	1	95	1	1	1	3.447	1	1	2	0.597
585	6	1	96	2	2	1	2.106	2	1	2	0.746
