onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	2	1	1	1.956	1	0	2	2.13
21	6	1	2	2	1	1	2.058	1	0	3	1.222
27	6	1	3	1	2	2	1.313	1	1	4	0.99
33	6	1	4	2	1	1	1.935	2	1	4	1.042
39	6	1	5	2	1	2	1.972	2	1	3	0.618
45	6	1	6	2	1	1	1.639	2	1	3	1.061
51	6	1	7	1	2	1	1.595	1	1	3	1.302
57	6	1	8	1	2	2	2.704	1	1	2	1.266
63	6	1	9	1	2	2	1.433	1	1	3	1.159
69	6	1	10	2	2	2	2.645	2	1	3	0.778
75	6	1	11	2	2	2	1.458	2	1	3	0.534
81	6	1	12	1	1	2	2.199	1	1	2	0.885
87	6	1	13	1	2	2	1.576	1	1	2	0.947
93	6	1	14	2	1	1	2.16	2	1	2	0.999
99	6	1	15	1	1	1	2.127	1	1	3	1.038
105	6	1	16	1	1	2	1.327	1	1	3	0.805
111	6	1	17	1	1	1	1.611	1	1	4	0.522
117	6	1	18	1	1	2	1.636	1	1	3	0.624
123	6	1	19	2	2	1	2.356	2	1	4	0.61
129	6	1	20	2	2	2	2.292	2	1	3	0.726
135	6	1	21	2	2	1	2.949	2	1	2	0.779
141	6	1	22	1	1	2	1.461	1	1	3	0.615
147	6	1	23	1	2	1	1.487	1	1	2	1.331
153	6	1	24	1	2	2	1.027	1	1	4	0.431
159	6	1	25	2	2	2	2.171	2	1	4	0.729
165	6	1	26	2	1	2	2.393	2	1	4	0.553
171	6	1	27	1	1	2	1.576	1	1	3	1.41
177	6	1	28	2	1	2	3.3	2	1	1	0.484
183	6	1	29	1	2	2	1.44	1	1	2	1.078
189	6	1	30	2	1	2	1.55	2	1	4	0.902
195	6	1	31	2	2	2	1.431	2	1	4	0.387
201	6	1	32	1	2	2	1.11	1	1	4	0.426
207	6	1	33	1	2	1	1.237	1	1	4	0.848
213	6	1	34	2	2	1	3.113	2	1	1	0.341
219	6	1	35	2	2	2	1.371	2	1	4	0.372
225	6	1	36	2	2	2	1.513	2	1	3	0.994
231	6	1	37	2	1	2	1.771	2	1	4	0.399
237	6	1	38	1	2	2	1.205	1	1	4	0.919
243	6	1	39	1	2	2	1.298	1	1	4	0.968
249	6	1	40	2	1	1	2.626	2	1	3	0.7
255	6	1	41	2	2	1	3.165	1	0	1	0.709
261	6	1	42	2	1	2	2.056	2	1	1	0.351
267	6	1	43	2	1	2	1.282	2	1	4	0.444
273	6	1	44	1	2	1	1.641	1	1	3	0.652
279	6	1	45	1	2	1	1.587	1	1	3	0.993
285	6	1	46	1	2	2	1.586	1	1	4	0.84
291	6	1	47	1	1	1	2.021	2	0	4	0.587
297	6	1	48	1	1	2	1.808	2	0	3	0.718
303	6	1	49	1	1	1	2.029	2	0	1	1.221
309	6	1	50	2	1	1	1.295	2	1	4	0.373
315	6	1	51	2	1	1	1.283	2	1	4	0.239
321	6	1	52	1	1	1	1.173	2	0	4	0.292
327	6	1	53	2	1	2	1.385	2	1	4	0.441
333	6	1	54	2	1	1	1.148	2	1	4	0.33
339	6	1	55	1	1	2	1.302	1	1	3	1.184
345	6	1	56	2	2	2	1.621	2	1	4	0.304
351	6	1	57	2	1	2	2.016	2	1	3	1.06
357	6	1	58	2	2	1	2.526	2	1	1	0.791
363	6	1	59	1	1	1	1.767	2	0	2	1.167
369	6	1	60	1	1	2	1.386	1	1	4	0.993
375	6	1	61	1	1	1	1.761	2	0	4	0.972
381	6	1	62	2	2	1	1.996	2	1	3	1.321
387	6	1	63	2	1	2	2.553	2	1	4	1.219
393	6	1	64	2	1	1	1.142	2	1	4	0.288
399	6	1	65	1	1	1	1.316	1	1	3	0.971
405	6	1	66	1	1	1	1.576	1	1	2	0.743
411	6	1	67	2	2	1	1.586	2	1	3	1.204
417	6	1	68	2	2	2	1.264	2	1	4	0.474
423	6	1	69	2	1	2	2.111	1	0	2	0.709
429	6	1	70	1	1	1	2.575	1	1	2	0.827
435	6	1	71	1	2	2	0.961	1	1	4	0.495
441	6	1	72	2	2	1	2.267	2	1	2	0.763
447	6	1	73	2	2	1	2.251	2	1	3	1.041
453	6	1	74	1	1	2	1.45	1	1	3	0.751
459	6	1	75	2	2	1	1.27	2	1	4	0.45
465	6	1	76	1	1	1	1.94	2	0	3	0.864
471	6	1	77	2	2	2	1.716	2	1	3	0.862
477	6	1	78	1	1	1	2.043	2	0	2	0.805
483	6	1	79	2	2	1	1.236	2	1	3	0.634
489	6	1	80	1	2	1	1.575	1	1	4	0.417
495	6	1	81	1	2	1	2.222	1	1	1	1.016
501	6	1	82	2	2	2	1.253	2	1	4	0.308
507	6	1	83	1	2	1	1.81	1	1	2	0.91
513	6	1	84	2	1	2	1.77	2	1	4	1.004
519	6	1	85	2	1	1	1.309	2	1	1	0.91
525	6	1	86	1	2	2	1.665	1	1	3	0.363
531	6	1	87	2	2	1	1.275	2	1	3	1.103
537	6	1	88	1	1	2	1.778	1	1	1	2.029
543	6	1	89	1	1	2	1.143	1	1	4	0.449
549	6	1	90	1	1	2	1.994	1	1	1	0.674
555	6	1	91	1	2	1	1.655	1	1	3	0.554
561	6	1	92	1	2	1	2.759	2	0	 n/a	 n/a
567	6	1	93	1	2	1	1.518	1	1	3	0.79
573	6	1	94	1	2	1	1.382	2	0	1	0.935
579	6	1	95	2	2	2	1.167	2	1	4	0.727
585	6	1	96	2	1	1	1.538	2	1	2	1.211
