onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	2	0.821	3
15	1	1	2	1	1	1	0.765	2
18	1	1	3	1	1	1	0.63	1
21	1	1	4	1	1	2	0.712	3
24	1	1	5	1	2	2	0.775	4
27	1	1	6	1	2	1	0.669	1
30	1	1	7	1	1	1	0.727	2
33	1	1	8	1	2	2	0.775	3
36	1	1	9	1	1	2	1.083	2
39	1	1	10	1	1	2	0.771	2
42	1	1	11	1	2	1	0.743	2
45	1	1	12	1	2	1	0.61	1
63	1	2	1	2	1	1	0.926	1
66	1	2	2	2	2	1	1.19	3
69	1	2	3	2	1	1	1.04	3
72	1	2	4	2	2	1	0.939	3
75	1	2	5	2	2	1	1.02	3
78	1	2	6	2	2	2	0.8	2
81	1	2	7	2	1	1	1.041	2
84	1	2	8	2	2	2	0.943	3
87	1	2	9	2	1	2	1.04	1
90	1	2	10	2	1	2	0.923	2
93	1	2	11	2	1	2	1.065	1
96	1	2	12	2	2	2	0.913	3
114	1	3	1	1	2	1	0.694	3
117	1	3	2	1	1	2	0.57	1
120	1	3	3	1	2	1	0.788	2
123	1	3	4	1	2	2	0.674	2
126	1	3	5	1	2	2	0.783	1
129	1	3	6	1	1	1	0.74	1
132	1	3	7	1	1	1	0.851	1
135	1	3	8	1	1	2	0.604	1
138	1	3	9	1	2	2	0.715	3
141	1	3	10	1	2	1	0.701	1
144	1	3	11	1	1	2	0.815	1
147	1	3	12	1	1	1	0.802	1
165	1	4	1	2	2	1	0.979	3
168	1	4	2	2	1	2	0.789	1
171	1	4	3	2	1	1	0.789	1
174	1	4	4	2	1	2	1.082	2
177	1	4	5	2	1	1	0.908	3
180	1	4	6	2	1	1	0.904	3
183	1	4	7	2	2	2	0.924	1
186	1	4	8	2	2	1	0.693	4
189	1	4	9	2	2	2	0.727	3
192	1	4	10	2	2	1	0.685	4
195	1	4	11	2	2	2	1.019	1
198	1	4	12	2	1	2	1.019	4
