onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	2	1	1	2.608	2	1	2	0.9
21	6	1	2	1	2	2	1.441	1	1	4	0.479
27	6	1	3	2	1	1	2.1	2	1	3	0.893
33	6	1	4	1	1	2	1.933	2	0	3	0.463
39	6	1	5	2	2	2	2.173	2	1	4	1.362
45	6	1	6	1	2	1	2.563	2	0	1	0.796
51	6	1	7	1	1	1	1.323	1	1	4	0.273
57	6	1	8	2	2	1	1.558	2	1	3	0.54
63	6	1	9	2	1	1	1.673	2	1	4	0.597
69	6	1	10	1	1	2	1.682	1	1	4	0.355
75	6	1	11	2	2	1	2.202	1	0	3	0.465
81	6	1	12	1	1	2	2.259	2	0	3	0.851
87	6	1	13	1	2	1	1.684	1	1	3	0.949
93	6	1	14	2	1	2	2.172	2	1	3	0.83
99	6	1	15	1	1	1	2.329	1	1	3	0.437
105	6	1	16	1	1	2	1.549	1	1	3	0.62
111	6	1	17	2	2	1	2.527	1	0	3	0.586
117	6	1	18	2	1	2	1.999	1	0	2	1.026
123	6	1	19	2	1	1	2.16	1	0	3	0.542
129	6	1	20	2	2	2	1.14	2	1	4	0.64
135	6	1	21	1	1	2	1.662	1	1	4	0.366
141	6	1	22	1	2	2	1.595	1	1	3	0.42
147	6	1	23	1	2	2	1.32	1	1	3	1.156
153	6	1	24	2	2	1	1.802	1	0	3	0.743
159	6	1	25	2	1	1	2.409	1	0	4	0.453
165	6	1	26	2	2	2	1.744	2	1	4	0.678
171	6	1	27	1	1	2	1.554	1	1	4	0.596
177	6	1	28	2	2	1	2.516	2	1	4	0.737
183	6	1	29	1	1	2	2.197	1	1	3	1.122
189	6	1	30	2	2	1	1.577	2	1	4	0.423
195	6	1	31	2	2	2	2.438	2	1	3	0.523
201	6	1	32	2	2	2	1.705	2	1	4	0.314
207	6	1	33	2	2	2	2.557	2	1	2	0.664
213	6	1	34	2	1	2	1.4	1	0	4	0.78
219	6	1	35	2	2	2	2.176	1	0	2	0.853
225	6	1	36	1	1	1	2.92	2	0	2	0.699
231	6	1	37	1	1	2	1.518	1	1	4	0.541
237	6	1	38	2	1	2	1.692	2	1	4	0.374
243	6	1	39	1	1	1	1.522	1	1	4	0.58
249	6	1	40	1	2	2	2.525	1	1	4	0.34
255	6	1	41	1	2	2	2.239	1	1	3	0.449
261	6	1	42	1	2	1	2.064	1	1	3	0.505
267	6	1	43	2	1	1	2.359	2	1	3	0.693
273	6	1	44	2	1	2	3.536	2	1	4	0.237
279	6	1	45	1	2	1	3.339	1	1	3	0.304
285	6	1	46	2	1	1	2.269	2	1	3	0.356
291	6	1	47	1	2	2	1.658	1	1	4	0.326
297	6	1	48	2	2	1	1.877	2	1	4	0.597
303	6	1	49	1	2	2	2.146	1	1	3	0.408
309	6	1	50	1	2	1	1.684	1	1	4	0.239
315	6	1	51	1	2	2	1.764	1	1	4	0.92
321	6	1	52	1	2	2	1.437	1	1	4	0.268
327	6	1	53	2	2	1	2.542	2	1	3	0.297
333	6	1	54	2	2	1	2.859	1	0	2	0.673
339	6	1	55	2	2	1	1.479	1	0	3	0.399
345	6	1	56	1	2	1	2.147	1	1	4	0.468
351	6	1	57	1	2	1	2.652	1	1	3	0.607
357	6	1	58	1	2	1	1.129	1	1	4	0.27
363	6	1	59	2	1	1	3.122	2	1	2	0.751
369	6	1	60	1	1	1	2.347	1	1	3	0.499
375	6	1	61	1	1	2	1.735	1	1	3	0.677
381	6	1	62	2	1	1	1.606	2	1	3	1.242
387	6	1	63	2	1	1	2.22	2	1	2	1.578
393	6	1	64	1	1	1	1.901	1	1	3	0.498
399	6	1	65	2	2	2	1.54	2	1	4	0.511
405	6	1	66	2	2	1	2.937	2	1	3	1.107
411	6	1	67	1	2	2	2.413	1	1	4	0.649
417	6	1	68	1	1	1	2.807	1	1	3	0.692
423	6	1	69	1	2	2	2.352	1	1	4	0.727
429	6	1	70	1	2	1	1.454	1	1	4	0.207
435	6	1	71	1	2	1	1.747	1	1	3	0.588
441	6	1	72	1	1	1	3.175	1	1	3	1.074
447	6	1	73	2	1	1	2.965	2	1	2	0.722
453	6	1	74	2	1	1	2.439	2	1	3	0.522
459	6	1	75	2	1	2	1.693	1	0	3	0.84
465	6	1	76	2	1	2	2.375	1	0	3	0.556
471	6	1	77	1	2	1	2.799	1	1	4	0.692
477	6	1	78	2	2	2	1.567	2	1	4	0.172
483	6	1	79	1	1	2	2.472	1	1	3	0.939
489	6	1	80	1	1	2	2.188	1	1	4	0.565
495	6	1	81	2	2	2	2.221	2	1	4	0.486
501	6	1	82	2	1	2	2.158	2	1	3	0.595
507	6	1	83	1	1	2	2.986	2	0	2	0.86
513	6	1	84	1	2	2	3.012	1	1	3	0.832
519	6	1	85	2	2	1	2.272	1	0	3	0.345
525	6	1	86	2	1	2	2.323	1	0	3	0.797
531	6	1	87	2	2	2	2.439	2	1	4	0.96
537	6	1	88	1	1	1	3.035	1	1	2	0.91
543	6	1	89	1	1	1	2.389	1	1	4	0.509
549	6	1	90	1	2	1	1.595	1	1	3	0.93
555	6	1	91	2	1	2	2.251	1	0	3	1.072
561	6	1	92	1	1	1	1.697	1	1	4	0.351
567	6	1	93	1	1	1	2.451	2	0	3	1.009
573	6	1	94	2	1	2	3.419	1	0	2	0.446
579	6	1	95	2	1	2	1.488	2	1	4	0.901
585	6	1	96	2	2	2	1.841	2	1	4	0.988
