onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	2	2	2	1.084	1	0	3	1.514
21	6	1	2	1	2	1	2.59	2	0	3	1.494
27	6	1	3	1	1	1	3.837	2	0	 n/a	 n/a
33	6	1	4	1	1	1	2.723	2	0	 n/a	 n/a
39	6	1	5	2	1	1	2.897	1	0	 n/a	 n/a
45	6	1	6	2	1	1	3.049	1	0	 n/a	 n/a
51	6	1	7	1	1	2	2.288	1	1	3	1.98
57	6	1	8	2	1	1	2.507	2	1	4	1.457
63	6	1	9	2	1	1	1.999	2	1	4	0.944
69	6	1	10	2	2	2	2.583	1	0	3	1.11
75	6	1	11	2	1	2	1.675	2	1	4	1.125
81	6	1	12	1	2	2	2.125	1	1	3	1.296
87	6	1	13	1	1	1	2.31	1	1	3	1.787
93	6	1	14	2	1	1	2.615	2	1	3	0.728
99	6	1	15	1	2	1	1.648	1	1	4	0.902
105	6	1	16	2	1	1	2.133	2	1	2	1.281
111	6	1	17	1	2	1	2.722	1	1	2	1.176
117	6	1	18	2	2	2	1.839	2	1	4	0.831
123	6	1	19	2	2	1	2.324	1	0	4	0.976
129	6	1	20	2	2	1	2.021	1	0	1	1.59
135	6	1	21	1	1	2	1.791	1	1	3	1.689
141	6	1	22	2	2	2	2.077	2	1	2	1.221
147	6	1	23	2	1	2	2.085	2	1	4	0.841
153	6	1	24	1	2	2	2.323	1	1	3	0.991
159	6	1	25	2	2	1	2.785	2	1	2	1.028
165	6	1	26	2	2	2	1.902	2	1	4	1.598
171	6	1	27	2	2	2	2.712	2	1	3	0.712
177	6	1	28	1	2	2	1.569	1	1	3	0.437
183	6	1	29	2	1	1	2.757	1	0	3	1.617
189	6	1	30	1	2	2	2.404	1	1	4	1.239
195	6	1	31	2	1	1	2.091	2	1	2	1.618
201	6	1	32	1	2	2	1.747	1	1	4	0.966
207	6	1	33	2	2	1	2.635	2	1	4	1.2
213	6	1	34	1	1	1	2.383	2	0	4	1.709
219	6	1	35	1	2	2	2.942	2	0	2	1.51
225	6	1	36	2	1	2	2.908	2	1	2	1.667
231	6	1	37	2	2	1	1.608	2	1	1	2.816
237	6	1	38	1	1	1	2.346	1	1	4	0.718
243	6	1	39	2	2	1	2.227	1	0	4	1.049
249	6	1	40	1	1	1	3.123	2	0	2	1.107
255	6	1	41	2	2	2	2.136	2	1	4	0.77
261	6	1	42	2	1	2	2.248	1	0	2	1.219
267	6	1	43	2	2	2	2.328	1	0	3	0.509
273	6	1	44	1	1	2	1.701	1	1	4	0.697
279	6	1	45	1	1	2	2.925	1	1	4	0.562
285	6	1	46	2	1	2	1.331	2	1	4	0.279
291	6	1	47	2	1	2	2.031	1	0	4	1.807
297	6	1	48	2	2	2	2.1	2	1	4	1.216
303	6	1	49	1	2	1	2.616	1	1	4	1.012
309	6	1	50	2	1	1	3.15	2	1	3	0.973
315	6	1	51	2	1	1	2.497	2	1	4	0.994
321	6	1	52	1	2	2	3.358	1	1	2	0.711
327	6	1	53	1	1	2	2.598	1	1	4	0.501
333	6	1	54	2	2	2	1.952	2	1	3	0.956
339	6	1	55	1	2	1	2.422	1	1	3	0.979
345	6	1	56	2	2	1	1.968	1	0	4	0.379
351	6	1	57	1	2	2	3.655	1	1	2	0.696
357	6	1	58	1	1	1	1.414	1	1	4	0.44
363	6	1	59	2	2	1	2.934	1	0	2	0.654
369	6	1	60	1	2	2	2.307	1	1	3	0.772
375	6	1	61	1	1	2	1.234	1	1	4	0.345
381	6	1	62	1	1	2	3.127	1	1	2	0.988
387	6	1	63	1	2	2	2.179	1	1	4	0.556
393	6	1	64	1	2	1	2.14	1	1	3	1.002
399	6	1	65	1	2	1	2.454	1	1	4	0.348
405	6	1	66	1	2	1	2.765	1	1	4	0.816
411	6	1	67	2	1	2	2.109	2	1	2	1.713
417	6	1	68	2	1	1	2.439	2	1	2	0.891
423	6	1	69	2	1	2	2.483	2	1	3	0.729
429	6	1	70	1	2	1	1.988	1	1	4	0.971
435	6	1	71	1	1	1	2.671	1	1	3	0.555
441	6	1	72	2	1	1	2.526	2	1	4	1.193
447	6	1	73	2	1	2	1.694	1	0	4	0.287
453	6	1	74	1	2	1	2.924	2	0	1	1.39
459	6	1	75	1	1	1	2.354	1	1	3	2.194
465	6	1	76	2	1	2	3.144	2	1	2	0.777
471	6	1	77	2	1	2	1.863	1	0	3	0.894
477	6	1	78	1	2	2	4.457	1	1	 n/a	 n/a
483	6	1	79	2	1	2	1.545	2	1	4	0.955
489	6	1	80	2	2	1	2.859	2	1	2	1.025
495	6	1	81	2	2	2	1.593	2	1	4	0.458
501	6	1	82	1	1	2	1.973	1	1	4	0.549
507	6	1	83	2	2	1	3.61	1	0	2	0.859
513	6	1	84	1	1	1	2.176	1	1	4	0.332
519	6	1	85	2	2	1	2.574	2	1	3	1.014
525	6	1	86	1	1	2	1.281	1	1	4	0.664
531	6	1	87	1	1	1	1.673	1	1	3	1.255
537	6	1	88	1	1	2	2.529	1	1	4	0.303
543	6	1	89	1	2	1	3.21	2	0	1	0.999
549	6	1	90	1	2	2	1.469	1	1	4	0.407
555	6	1	91	1	1	2	1.42	1	1	4	0.353
561	6	1	92	1	1	1	2.996	2	0	2	0.945
567	6	1	93	1	2	1	2.441	1	1	4	0.294
573	6	1	94	2	2	1	3.48	2	1	3	0.845
579	6	1	95	1	1	2	2.552	1	1	4	0.428
585	6	1	96	2	2	2	1.659	2	1	4	0.853
