onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	1	1	1.289	4
16.5	1	1	2	1	2	1	1.441	2
21	1	1	3	2	1	1	1.384	4
25.5	1	1	4	2	1	1	1.461	4
30	1	1	5	1	2	1	1.327	1
34.5	1	1	6	1	2	1	1.617	1
39	1	1	7	1	2	1	1.939	1
43.5	1	1	8	1	2	1	1.47	1
48	1	1	9	1	1	1	1.262	4
52.5	1	1	10	1	2	1	1.32	1
57	1	1	11	2	2	1	1.729	1
61.5	1	1	12	2	1	1	0.902	4
66	1	1	13	2	1	1	1.508	4
70.5	1	1	14	1	1	1	1.416	4
75	1	1	15	1	2	1	1.382	1
79.5	1	1	16	2	1	1	1.335	4
84	1	1	17	1	1	1	1.335	4
88.5	1	1	18	1	1	1	1.658	4
93	1	1	19	2	1	1	1.804	4
97.5	1	1	20	2	1	1	1.156	4
102	1	1	21	1	1	1	1.39	4
106.5	1	1	22	1	1	1	1.599	3
111	1	1	23	1	2	1	1.365	1
115.5	1	1	24	1	2	1	1.359	1
120	1	1	25	1	2	1	1.562	2
124.5	1	1	26	2	2	1	1.778	2
129	1	1	27	1	1	1	1.408	4
133.5	1	1	28	2	2	1	1.321	1
138	1	1	29	1	1	1	1.365	4
142.5	1	1	30	1	1	1	1.975	3
147	1	1	31	2	2	1	1.424	1
151.5	1	1	32	2	1	1	1.503	4
156	1	1	33	2	2	1	1.371	1
160.5	1	1	34	1	1	1	1.338	4
165	1	1	35	2	2	1	1.988	1
169.5	1	1	36	1	2	1	 n/a	 n/a
174	1	1	37	2	2	1	1.501	2
178.5	1	1	38	2	1	1	1.458	4
183	1	1	39	2	1	1	 n/a	 n/a
187.5	1	1	40	1	2	1	1.69	1
192	1	1	41	2	2	1	1.763	1
196.5	1	1	42	1	1	1	1.324	4
201	1	1	43	2	1	1	1.883	4
205.5	1	1	44	2	1	1	 n/a	 n/a
210	1	1	45	2	1	1	 n/a	 n/a
214.5	1	1	46	2	1	1	1.903	4
219	1	1	47	2	2	1	1.673	2
223.5	1	1	48	1	1	1	1.698	4
228	1	1	49	1	2	1	1.597	1
232.5	1	1	50	1	2	1	1.771	1
237	1	1	51	1	1	1	1.426	4
241.5	1	1	52	2	2	1	1.38	1
246	1	1	53	1	1	1	1.497	4
250.5	1	1	54	2	2	1	1.559	1
255	1	1	55	1	1	1	1.423	4
259.5	1	1	56	1	1	1	1.325	4
264	1	1	57	1	1	1	1.688	4
268.5	1	1	58	1	2	1	1.566	2
273	1	1	59	1	2	1	1.814	2
277.5	1	1	60	2	1	1	1.54	4
282	1	1	61	2	1	1	1.093	4
286.5	1	1	62	2	2	1	1.871	1
291	1	1	63	1	2	1	 n/a	 n/a
295.5	1	1	64	2	2	1	1.872	1
300	1	1	65	2	1	1	1.378	4
304.5	1	1	66	2	1	1	1.468	4
309	1	1	67	2	1	1	1.65	4
313.5	1	1	68	2	2	1	 n/a	 n/a
318	1	1	69	2	2	1	1.597	1
322.5	1	1	70	2	1	1	1.36	4
327	1	1	71	2	2	1	1.642	2
331.5	1	1	72	2	1	1	1.072	4
336	1	1	73	2	2	1	1.322	1
340.5	1	1	74	1	1	1	1.338	4
345	1	1	75	2	1	1	1.493	4
349.5	1	1	76	1	2	1	1.366	1
354	1	1	77	1	1	1	1.677	3
358.5	1	1	78	2	2	1	1.566	2
363	1	1	79	2	2	1	1.625	1
367.5	1	1	80	1	2	1	1.309	1
372	1	1	81	1	1	1	1.404	4
376.5	1	1	82	2	2	1	1.499	1
381	1	1	83	2	2	1	1.316	1
385.5	1	1	84	2	1	1	1.467	4
390	1	1	85	1	1	1	1.527	4
394.5	1	1	86	1	1	1	1.519	4
399	1	1	87	1	2	1	1.349	1
403.5	1	1	88	1	2	1	0.956	1
408	1	1	89	1	2	1	0.874	1
412.5	1	1	90	1	2	1	1.297	1
417	1	1	91	1	2	1	1.451	1
421.5	1	1	92	1	1	1	1.29	4
426	1	1	93	2	2	1	1.341	1
430.5	1	1	94	1	1	1	1.043	4
435	1	1	95	2	2	1	1.33	1
439.5	1	1	96	2	2	1	1.321	1
