onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	2	1.507	4
15	1	1	2	1	2	1	1.077	1
18	1	1	3	1	1	2	0.908	3
21	1	1	4	1	2	1	0.716	4
24	1	1	5	1	2	2	0.546	1
27	1	1	6	1	2	2	0.631	1
30	1	1	7	1	1	1	0.618	1
33	1	1	8	1	2	1	0.941	3
36	1	1	9	1	1	1	0.609	4
39	1	1	10	1	1	1	1.233	2
42	1	1	11	1	2	2	0.862	4
45	1	1	12	1	1	2	0.856	4
63	1	2	1	2	2	2	1.286	1
66	1	2	2	2	1	2	0.712	1
69	1	2	3	2	2	2	0.629	4
72	1	2	4	2	1	1	0.638	4
75	1	2	5	2	1	1	0.809	4
78	1	2	6	2	1	2	0.509	4
81	1	2	7	2	2	2	0.646	4
84	1	2	8	2	1	2	1.161	3
87	1	2	9	2	2	1	0.876	3
90	1	2	10	2	2	1	1.023	3
93	1	2	11	2	1	1	1.25	4
96	1	2	12	2	2	1	0.786	4
114	1	3	1	3	2	1	0.992	1
117	1	3	2	3	2	2	0.741	1
120	1	3	3	3	1	1	0.71	4
123	1	3	4	3	2	2	0.744	2
126	1	3	5	3	1	2	0.64	4
129	1	3	6	3	2	1	0.858	2
132	1	3	7	3	1	1	0.611	4
135	1	3	8	3	2	1	0.574	1
138	1	3	9	3	1	2	0.637	4
141	1	3	10	3	1	1	0.486	4
144	1	3	11	3	2	2	1.05	2
147	1	3	12	3	1	2	0.496	1
165	1	4	1	1	2	1	0.711	1
168	1	4	2	1	2	2	0.825	2
171	1	4	3	1	1	1	1.184	2
174	1	4	4	1	2	2	1.02	3
177	1	4	5	1	1	2	0.722	2
180	1	4	6	1	1	1	0.817	3
183	1	4	7	1	2	1	0.856	3
186	1	4	8	1	1	2	0.805	3
189	1	4	9	1	1	1	0.606	4
192	1	4	10	1	2	2	0.888	2
195	1	4	11	1	1	2	1.155	2
198	1	4	12	1	2	1	0.999	2
216	1	5	1	3	2	1	0.795	1
219	1	5	2	3	1	1	0.621	4
222	1	5	3	3	2	2	1.311	2
225	1	5	4	3	1	2	0.566	4
228	1	5	5	3	2	2	0.696	1
231	1	5	6	3	2	2	1.026	2
234	1	5	7	3	2	1	0.768	1
237	1	5	8	3	1	1	0.509	4
240	1	5	9	3	1	2	0.625	4
243	1	5	10	3	1	2	0.742	4
246	1	5	11	3	1	1	0.382	4
249	1	5	12	3	2	1	0.721	1
267	1	6	1	2	1	1	1.143	1
270	1	6	2	2	1	2	0.808	1
273	1	6	3	2	2	1	0.8	1
276	1	6	4	2	1	1	0.814	3
279	1	6	5	2	2	1	0.906	4
282	1	6	6	2	2	1	0.891	4
285	1	6	7	2	1	2	0.949	2
288	1	6	8	2	2	2	0.671	4
291	1	6	9	2	1	1	0.829	3
294	1	6	10	2	2	2	0.892	1
297	1	6	11	2	2	2	0.709	4
300	1	6	12	2	1	2	1.246	2
