onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	2	0.601	1
15	1	1	2	1	1	1	0.69	1
18	1	1	3	1	1	2	0.774	1
21	1	1	4	1	2	2	0.583	1
24	1	1	5	1	2	1	0.643	2
27	1	1	6	1	2	1	0.759	3
30	1	1	7	1	1	1	0.581	1
33	1	1	8	1	2	1	0.786	2
36	1	1	9	1	2	2	0.95	1
39	1	1	10	1	1	1	0.586	1
42	1	1	11	1	2	2	0.593	1
45	1	1	12	1	1	2	0.533	1
63	1	2	1	2	2	2	0.894	3
66	1	2	2	2	2	2	0.706	4
69	1	2	3	2	2	1	0.687	4
72	1	2	4	2	1	1	0.61	1
75	1	2	5	2	2	1	0.959	4
78	1	2	6	2	2	1	0.954	4
81	1	2	7	2	2	2	0.826	4
84	1	2	8	2	1	2	0.52	1
87	1	2	9	2	1	1	0.518	1
90	1	2	10	2	1	2	0.552	1
93	1	2	11	2	1	2	0.504	1
96	1	2	12	2	1	1	0.569	1
114	1	3	1	3	1	1	0.823	4
117	1	3	2	3	2	2	0.568	1
120	1	3	3	3	2	1	0.618	1
123	1	3	4	3	2	2	0.714	1
126	1	3	5	3	1	2	0.654	4
129	1	3	6	3	1	1	0.726	4
132	1	3	7	3	1	2	0.701	4
135	1	3	8	3	2	2	0.585	1
138	1	3	9	3	1	1	0.72	4
141	1	3	10	3	2	1	0.789	1
144	1	3	11	3	2	1	0.544	1
147	1	3	12	3	1	2	0.641	4
165	1	4	1	1	1	1	1.082	3
168	1	4	2	1	2	2	0.874	1
171	1	4	3	1	1	2	0.532	1
174	1	4	4	1	1	1	0.959	3
177	1	4	5	1	1	2	0.534	1
180	1	4	6	1	1	2	0.608	1
183	1	4	7	1	2	2	0.946	3
186	1	4	8	1	2	1	0.678	1
189	1	4	9	1	2	1	0.785	1
192	1	4	10	1	1	1	0.811	4
195	1	4	11	1	2	2	0.905	1
198	1	4	12	1	2	1	0.722	1
216	1	5	1	3	2	1	0.856	1
219	1	5	2	3	1	2	0.726	4
222	1	5	3	3	1	2	0.577	1
225	1	5	4	3	1	1	0.478	4
228	1	5	5	3	2	1	0.715	1
231	1	5	6	3	1	1	0.614	4
234	1	5	7	3	2	2	0.606	1
237	1	5	8	3	1	2	0.589	4
240	1	5	9	3	1	1	0.753	4
243	1	5	10	3	2	2	0.737	1
246	1	5	11	3	2	1	0.759	1
249	1	5	12	3	2	2	1.029	1
267	1	6	1	2	2	1	0.985	1
270	1	6	2	2	1	2	0.847	1
273	1	6	3	2	1	1	0.549	1
276	1	6	4	2	1	2	0.92	1
279	1	6	5	2	2	1	0.546	1
282	1	6	6	2	1	1	1.041	3
285	1	6	7	2	1	2	0.744	1
288	1	6	8	2	1	1	0.524	1
291	1	6	9	2	2	2	0.5	1
294	1	6	10	2	2	1	0.97	1
297	1	6	11	2	2	2	0.924	4
300	1	6	12	2	2	2	0.996	3
