onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	2	2	2	2.156	2	1	3	0.91
21	6	1	2	2	1	2	1.956	1	0	3	0.618
27	6	1	3	2	1	2	2.204	2	1	2	0.789
33	6	1	4	1	2	1	1.533	1	1	4	0.475
39	6	1	5	1	2	1	1.616	1	1	4	0.847
45	6	1	6	1	1	2	1.523	1	1	4	0.339
51	6	1	7	1	1	1	1.978	1	1	4	0.927
57	6	1	8	2	2	1	1.558	2	1	3	0.83
63	6	1	9	1	2	2	2.181	1	1	4	0.446
69	6	1	10	1	1	1	1.876	2	0	2	0.553
75	6	1	11	1	2	1	2.238	2	0	2	1.256
81	6	1	12	2	2	2	1.858	2	1	4	0.451
87	6	1	13	1	2	1	2.217	1	1	1	1.585
93	6	1	14	1	1	2	2.319	1	1	3	0.983
99	6	1	15	2	1	1	1.645	2	1	4	0.341
105	6	1	16	2	2	2	1.249	2	1	4	0.358
111	6	1	17	2	2	1	2.175	2	1	4	1.354
117	6	1	18	2	1	1	1.614	1	0	4	0.604
123	6	1	19	2	2	1	1.759	2	1	4	0.579
129	6	1	20	2	1	2	1.79	2	1	4	0.668
135	6	1	21	1	1	1	2.536	1	1	4	0.174
141	6	1	22	1	2	2	3.296	2	0	2	0.652
147	6	1	23	2	2	2	1.292	2	1	4	0.306
153	6	1	24	1	1	1	1.631	1	1	3	0.641
159	6	1	25	1	1	2	1.963	1	1	4	0.259
165	6	1	26	1	1	1	1.179	1	1	4	1.187
171	6	1	27	2	1	1	1.957	2	1	4	0.576
177	6	1	28	2	1	1	2.745	2	1	4	0.239
183	6	1	29	1	2	2	1.5	1	1	4	0.732
189	6	1	30	1	1	1	1.907	1	1	4	0.082
195	6	1	31	2	1	1	2.482	2	1	3	0.579
201	6	1	32	2	2	2	1.146	2	1	4	0.334
207	6	1	33	2	2	2	1.319	2	1	4	0.283
213	6	1	34	1	1	2	2.339	1	1	3	0.912
219	6	1	35	2	1	2	2.568	2	1	2	0.278
225	6	1	36	2	2	1	1.556	2	1	4	0.338
231	6	1	37	1	1	2	2.104	1	1	4	0.478
237	6	1	38	2	1	1	2.049	2	1	1	0.793
243	6	1	39	2	1	2	2.387	2	1	3	0.66
249	6	1	40	1	2	2	3.079	1	1	2	0.543
255	6	1	41	1	1	2	1.198	1	1	4	0.397
261	6	1	42	2	2	1	1.252	2	1	4	0.659
267	6	1	43	2	1	1	2.206	2	1	4	0.627
273	6	1	44	1	2	2	2.073	1	1	4	0.335
279	6	1	45	1	2	2	2.603	2	0	3	0.47
285	6	1	46	2	2	2	1.386	2	1	4	0.668
291	6	1	47	1	2	1	2.385	2	0	1	0.904
297	6	1	48	2	1	1	2.795	1	0	3	0.712
303	6	1	49	2	1	2	2.215	2	1	4	0.73
309	6	1	50	1	1	2	1.29	1	1	4	0.534
315	6	1	51	1	1	1	2.35	1	1	3	0.681
321	6	1	52	1	1	1	2.3	2	0	2	1.026
327	6	1	53	1	1	2	1.779	1	1	4	0.942
333	6	1	54	2	1	1	2.117	1	0	4	0.728
339	6	1	55	1	2	2	2.463	1	1	4	0.281
345	6	1	56	1	1	2	2.318	1	1	3	0.215
351	6	1	57	2	2	1	1.538	2	1	4	0.301
357	6	1	58	1	2	2	2.21	1	1	4	0.223
363	6	1	59	1	2	1	3.246	1	1	3	0.58
369	6	1	60	1	2	1	1.844	2	0	3	1.151
375	6	1	61	1	2	2	2.905	1	1	3	0.042
381	6	1	62	1	1	1	1.274	1	1	4	0.337
387	6	1	63	1	2	1	2.284	2	0	3	0.644
393	6	1	64	1	2	1	1.389	2	0	4	1.287
399	6	1	65	1	2	1	1.949	2	0	4	0.496
405	6	1	66	2	2	1	1.259	2	1	4	0.649
411	6	1	67	2	2	2	1.171	2	1	4	0.316
417	6	1	68	2	1	2	2.375	2	1	3	1.655
423	6	1	69	1	1	1	2.893	2	0	3	1.582
429	6	1	70	2	1	2	1.318	2	1	4	0.786
435	6	1	71	2	2	1	1.062	2	1	4	0.879
441	6	1	72	2	2	2	1.506	2	1	4	0.638
447	6	1	73	1	1	2	1.92	1	1	3	0.566
453	6	1	74	2	2	2	2.154	2	1	4	0.68
459	6	1	75	2	1	2	2.9	1	0	2	0.769
465	6	1	76	1	2	1	2.295	1	1	3	0.27
471	6	1	77	2	2	1	1.949	2	1	4	1.024
477	6	1	78	2	1	2	2.776	2	1	1	0.948
483	6	1	79	2	2	2	1.332	2	1	4	0.426
489	6	1	80	2	1	1	2.19	2	1	4	0.989
495	6	1	81	1	1	2	1.564	2	0	4	0.375
501	6	1	82	2	1	1	2.847	2	1	3	0.486
507	6	1	83	1	1	1	2.72	2	0	2	0.701
513	6	1	84	2	2	1	1.265	2	1	4	0.812
519	6	1	85	2	1	1	2.787	2	1	4	0.8
525	6	1	86	1	2	1	1.698	1	1	4	0.542
531	6	1	87	1	1	2	3.01	1	1	2	0.577
537	6	1	88	2	2	1	1.244	2	1	4	0.23
543	6	1	89	2	2	2	1.126	2	1	4	0.757
549	6	1	90	1	2	2	2.624	1	1	4	0.258
555	6	1	91	2	1	2	1.852	2	1	4	0.447
561	6	1	92	2	2	1	1.057	2	1	4	0.736
567	6	1	93	1	2	2	1.964	1	1	3	0.773
573	6	1	94	2	1	2	1.877	2	1	2	0.554
579	6	1	95	1	2	2	2.239	2	0	2	0.898
585	6	1	96	1	1	1	1.903	1	1	3	0.402
