onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	1	2	1	1.48	1	1	3	0.397
21	6	1	2	1	2	1	1.399	1	1	3	0.385
27	6	1	3	2	1	1	1.797	2	1	2	1.321
33	6	1	4	1	2	2	1.563	2	0	3	0.294
39	6	1	5	2	2	2	1.88	2	1	2	0.568
45	6	1	6	2	2	1	1.56	2	1	3	0.224
51	6	1	7	2	1	2	1.86	2	1	3	0.468
57	6	1	8	1	1	2	1.687	1	1	3	0.503
63	6	1	9	2	2	1	1.945	2	1	2	0.403
69	6	1	10	2	1	2	1.438	2	1	4	1.279
75	6	1	11	2	2	2	1.279	2	1	3	0.253
81	6	1	12	1	1	1	1.478	2	0	3	0.353
87	6	1	13	2	1	2	1.5	2	1	3	0.185
93	6	1	14	1	2	2	1.692	1	1	3	0.568
99	6	1	15	1	1	2	1.168	1	1	3	0.325
105	6	1	16	1	1	1	2.169	1	1	3	0.259
111	6	1	17	1	1	2	2.255	1	1	3	0.542
117	6	1	18	1	1	2	1.341	2	0	3	1.619
123	6	1	19	1	2	2	1.451	1	1	2	0.301
129	6	1	20	2	2	1	1.523	2	1	2	1.506
135	6	1	21	2	1	1	1.907	1	0	3	0.204
141	6	1	22	2	1	2	2.188	1	0	3	0.664
147	6	1	23	1	2	2	2.021	2	0	3	0.667
153	6	1	24	2	2	1	1.904	2	1	2	1.224
159	6	1	25	1	1	1	1.104	2	0	1	1.711
165	6	1	26	1	2	2	1.827	2	0	2	1.242
171	6	1	27	2	1	2	1.933	1	0	1	2.08
177	6	1	28	1	2	2	1.55	2	0	2	2.452
183	6	1	29	1	1	1	1.668	2	0	2	1.868
189	6	1	30	2	1	1	2.717	1	0	2	0.575
195	6	1	31	2	2	1	2.271	2	1	2	0.53
201	6	1	32	2	2	2	1.001	1	0	2	0.286
207	6	1	33	2	1	1	1.719	2	1	2	0.277
213	6	1	34	2	2	2	1.255	1	0	1	0.597
219	6	1	35	1	2	2	1.756	2	0	2	0.244
225	6	1	36	1	1	1	1.255	1	1	3	0.733
231	6	1	37	2	1	2	1.381	1	0	3	0.655
237	6	1	38	2	1	2	1.354	1	0	1	1.393
243	6	1	39	1	1	1	2.29	1	1	3	0.719
249	6	1	40	2	1	2	2.28	1	0	2	1.006
255	6	1	41	1	1	2	1.565	1	1	3	0.221
261	6	1	42	1	2	2	2.29	2	0	3	0.84
267	6	1	43	2	1	2	1.963	1	0	3	0.621
273	6	1	44	2	2	1	2.279	1	0	2	1.945
279	6	1	45	2	2	2	2.252	2	1	3	0.418
285	6	1	46	1	1	2	1.256	1	1	4	0.678
291	6	1	47	1	2	1	1.317	1	1	3	0.274
297	6	1	48	1	2	2	1.746	2	0	3	0.66
303	6	1	49	1	1	1	1.147	1	1	3	0.357
309	6	1	50	2	2	1	1.341	1	0	3	1.329
315	6	1	51	1	2	1	1.913	1	1	2	0.599
321	6	1	52	2	1	1	3.047	2	1	3	0.254
327	6	1	53	1	1	1	1.533	2	0	4	0.301
333	6	1	54	1	1	1	2.018	1	1	3	0.411
339	6	1	55	2	2	2	1.535	1	0	3	1.05
345	6	1	56	2	1	2	1.47	2	1	3	0.283
351	6	1	57	1	1	1	2.464	2	0	3	0.594
357	6	1	58	1	1	2	1.929	2	0	1	0.859
363	6	1	59	2	1	1	1.995	1	0	2	0.896
369	6	1	60	2	1	1	1.121	1	0	1	1.029
375	6	1	61	2	1	1	1.607	2	1	2	0.237
381	6	1	62	2	2	1	1.853	2	1	1	0.23
387	6	1	63	1	2	1	1.819	1	1	4	0.645
393	6	1	64	1	2	1	1.952	1	1	3	0.916
399	6	1	65	2	2	2	2.734	1	0	1	0.815
405	6	1	66	1	2	1	1.768	1	1	2	0.528
411	6	1	67	1	2	1	2.336	2	0	2	1.225
417	6	1	68	1	1	2	1.602	1	1	3	0.369
423	6	1	69	1	2	1	2.404	2	0	2	0.795
429	6	1	70	1	1	2	1.934	1	1	3	1.062
435	6	1	71	2	1	2	1.507	1	0	3	0.241
441	6	1	72	2	1	1	1.791	2	1	3	1.223
447	6	1	73	2	1	2	1.875	2	1	2	0.938
453	6	1	74	2	2	2	1.515	2	1	4	0.061
459	6	1	75	2	1	1	1.27	2	1	3	0.603
465	6	1	76	2	2	1	1.94	1	0	4	0.486
471	6	1	77	1	1	2	1.723	1	1	4	0.138
477	6	1	78	2	2	2	1.173	2	1	2	1.111
483	6	1	79	1	1	2	1.451	1	1	4	0.175
489	6	1	80	1	2	1	2.335	2	0	2	0.653
495	6	1	81	1	1	1	1.812	1	1	3	0.198
501	6	1	82	2	2	1	2.818	2	1	4	0.802
507	6	1	83	1	2	2	1.681	1	1	2	0.242
513	6	1	84	2	2	1	1.236	2	1	4	0.268
519	6	1	85	2	2	2	1.458	2	1	3	0.26
525	6	1	86	2	1	1	1.28	1	0	3	0.452
531	6	1	87	1	2	2	1.417	2	0	3	0.051
537	6	1	88	1	2	1	1.016	2	0	2	0.339
543	6	1	89	1	2	1	1.5	1	1	3	0.195
549	6	1	90	2	2	2	2.735	2	1	3	0.468
555	6	1	91	1	2	2	2.035	1	1	2	1.465
561	6	1	92	2	2	1	2.544	1	0	3	0.58
567	6	1	93	2	1	1	1.636	2	1	2	0.273
573	6	1	94	2	2	2	1.636	2	1	3	0.86
579	6	1	95	1	1	1	1.345	2	0	3	0.174
585	6	1	96	1	1	2	1.106	1	1	2	0.162
