onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	1	2	1	2.198	1	1	4	1.234
21	6	1	2	1	1	1	2.298	1	1	2	1.493
27	6	1	3	1	1	2	1.997	1	1	1	2.107
33	6	1	4	1	2	2	2.514	1	1	 n/a	 n/a
39	6	1	5	1	2	2	2.423	1	1	 n/a	 n/a
45	6	1	6	1	2	2	1.451	1	1	4	2.827
51	6	1	7	1	1	2	0.929	1	1	1	1.477
57	6	1	8	2	1	2	1.929	2	1	1	1.042
63	6	1	9	2	2	1	2.013	2	1	3	1.64
69	6	1	10	1	1	1	1.504	1	1	4	1.073
75	6	1	11	2	1	2	1.875	1	0	1	1.298
81	6	1	12	2	1	1	3.247	1	0	1	0.751
87	6	1	13	2	2	1	1.549	2	1	3	0.963
93	6	1	14	1	2	1	1.386	1	1	4	0.754
99	6	1	15	2	1	2	2.918	2	1	1	0.841
105	6	1	16	2	2	2	2.361	2	1	1	0.663
111	6	1	17	1	2	1	2.655	1	1	4	0.699
117	6	1	18	1	1	2	1.569	2	0	1	0.949
123	6	1	19	2	2	1	1.746	1	0	4	0.284
129	6	1	20	1	1	1	2.994	2	0	4	0.852
135	6	1	21	2	1	1	3.229	1	0	1	1.031
141	6	1	22	1	2	2	2.894	2	0	1	0.839
147	6	1	23	2	1	1	2.909	1	0	1	0.978
153	6	1	24	1	2	1	2.969	2	0	 n/a	 n/a
159	6	1	25	2	2	1	1.492	1	0	1	1.323
165	6	1	26	2	2	2	2.977	2	1	4	1.104
171	6	1	27	1	2	1	1.976	2	0	2	2.742
177	6	1	28	1	1	1	2.487	1	1	4	1.065
183	6	1	29	1	1	1	2.563	1	1	4	0.439
189	6	1	30	1	2	1	1.092	2	0	4	0.539
195	6	1	31	2	2	1	1.228	2	1	1	1.453
201	6	1	32	1	1	2	1.885	1	1	1	0.755
207	6	1	33	1	1	1	1.103	1	1	1	0.056
213	6	1	34	1	1	2	1.734	1	1	3	0.431
219	6	1	35	1	2	2	1.097	1	1	4	0.229
225	6	1	36	1	1	1	1.091	2	0	1	0.908
231	6	1	37	2	1	1	1.338	1	0	1	0.667
237	6	1	38	2	1	1	1.537	2	1	1	1.011
243	6	1	39	1	1	2	1.279	1	1	4	0.258
249	6	1	40	1	2	1	1.466	1	1	4	0.214
255	6	1	41	2	2	1	2.659	2	1	1	0.697
261	6	1	42	2	1	2	1.847	2	1	1	0.603
267	6	1	43	1	1	2	1.206	1	1	4	0.102
273	6	1	44	1	1	1	1.139	1	1	4	0.212
279	6	1	45	2	1	1	2.457	2	1	4	0.741
285	6	1	46	1	1	2	1.542	1	1	4	0.069
291	6	1	47	1	1	1	1.676	2	0	3	2.228
297	6	1	48	1	1	1	2.931	2	0	2	0.805
303	6	1	49	2	2	2	1.991	1	0	1	1.219
309	6	1	50	1	2	1	1.545	1	1	4	0.889
315	6	1	51	2	2	1	2.823	1	0	1	0.883
321	6	1	52	1	2	1	1.641	2	0	1	0.684
327	6	1	53	2	2	2	2.307	2	1	4	0.56
333	6	1	54	2	1	1	1.096	2	1	1	1.208
339	6	1	55	2	2	2	2.671	2	1	4	0.611
345	6	1	56	2	1	2	2.258	2	1	3	0.886
351	6	1	57	2	1	2	2.061	1	0	1	0.544
357	6	1	58	2	2	2	1.818	2	1	4	0.603
363	6	1	59	2	1	1	1.556	1	0	3	1.4
369	6	1	60	1	2	2	1.344	2	0	2	1.659
375	6	1	61	2	2	2	1.632	2	1	3	1.068
381	6	1	62	2	2	1	2.93	1	0	1	0.993
387	6	1	63	1	2	2	4.731	2	0	 n/a	 n/a
393	6	1	64	1	2	2	1.477	1	1	4	0.596
399	6	1	65	2	2	1	1.396	2	1	4	1.096
405	6	1	66	1	2	2	1.1	1	1	4	0.261
411	6	1	67	1	2	1	2.482	2	0	1	0.828
417	6	1	68	1	1	2	1.861	1	1	3	1.515
423	6	1	69	2	2	2	1.517	2	1	4	0.5
429	6	1	70	1	1	1	2.257	2	0	1	0.836
435	6	1	71	2	1	2	1.66	2	1	1	1.101
441	6	1	72	2	1	2	1.754	2	1	1	0.7
447	6	1	73	2	1	1	1.001	2	1	1	0.089
453	6	1	74	2	1	1	1.488	1	0	2	0.98
459	6	1	75	1	2	1	1.003	1	1	4	0.61
465	6	1	76	1	1	2	1.132	1	1	4	0.027
471	6	1	77	1	2	2	0.967	1	1	4	0.005
477	6	1	78	1	1	1	1.075	2	0	1	0.54
483	6	1	79	2	1	2	1.524	2	1	1	0.59
489	6	1	80	2	2	2	1.736	2	1	4	0.258
495	6	1	81	2	2	1	1.235	1	0	1	1.274
501	6	1	82	1	2	2	1.421	1	1	4	0.432
507	6	1	83	1	2	2	0.616	1	1	4	0.082
513	6	1	84	2	1	2	1.958	2	1	1	0.537
519	6	1	85	1	2	1	1.27	2	0	4	0.774
525	6	1	86	2	2	2	1.363	2	1	4	0.096
531	6	1	87	2	2	1	1.004	2	1	4	0.047
537	6	1	88	2	2	1	1.078	2	1	4	0.407
543	6	1	89	2	2	2	1.382	2	1	4	0.604
549	6	1	90	1	1	2	1.364	1	1	3	1.251
555	6	1	91	2	1	1	2.787	2	1	1	0.759
561	6	1	92	2	1	2	1.953	2	1	3	1.101
567	6	1	93	1	1	2	1.915	2	0	1	0.636
573	6	1	94	2	2	2	2.61	1	0	1	1.492
579	6	1	95	2	1	2	1.377	2	1	1	0.527
585	6	1	96	2	1	1	1.963	2	1	1	0.218
