onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	1	1	1	1.989	2	0	4	0.948
21	6	1	2	2	1	1	1.137	2	1	1	0.222
27	6	1	3	1	2	1	1.963	1	1	3	1.264
33	6	1	4	1	2	1	1.503	2	0	3	0.489
39	6	1	5	1	1	2	1.748	1	1	4	0.081
45	6	1	6	2	1	2	1.18	1	0	3	0.342
51	6	1	7	2	1	1	1.252	2	1	1	0.827
57	6	1	8	2	1	2	1.06	2	1	1	0.675
63	6	1	9	2	1	2	1.635	2	1	4	0.338
69	6	1	10	2	1	1	1.227	2	1	3	0.364
75	6	1	11	1	2	1	1.446	1	1	1	0.959
81	6	1	12	2	1	1	3.017	2	1	1	0.91
87	6	1	13	1	1	1	1.084	2	0	1	0.223
93	6	1	14	2	2	2	1.626	2	1	2	1.286
99	6	1	15	2	1	1	1.812	2	1	1	2.31
105	6	1	16	1	1	2	3.21	2	0	3	0.598
111	6	1	17	2	2	1	2.405	2	1	3	0.819
117	6	1	18	2	2	2	1.79	2	1	4	0.709
123	6	1	19	2	2	1	1.189	2	1	4	0.096
129	6	1	20	2	2	2	1.08	2	1	4	0.038
135	6	1	21	2	1	1	1.543	2	1	3	1.029
141	6	1	22	1	2	2	1.615	2	0	1	1.544
147	6	1	23	2	1	2	2.525	1	0	1	1.074
153	6	1	24	2	2	2	3.986	2	1	 n/a	 n/a
159	6	1	25	2	2	2	0.985	2	1	4	0.082
165	6	1	26	1	2	2	1.417	1	1	1	0.623
171	6	1	27	1	1	1	1.152	1	1	2	0.96
177	6	1	28	2	1	1	1.287	1	0	4	0.184
183	6	1	29	1	2	1	1.962	2	0	3	0.95
189	6	1	30	2	1	2	2.819	2	1	1	1.064
195	6	1	31	2	1	1	2.056	2	1	2	1.029
201	6	1	32	1	1	2	2.215	1	1	4	0.254
207	6	1	33	1	1	2	3.142	2	0	1	0.206
213	6	1	34	2	2	2	1.704	2	1	4	0.095
219	6	1	35	1	1	1	1.741	2	0	3	0.693
225	6	1	36	1	2	1	3.357	2	0	4	0.668
231	6	1	37	1	2	2	2.362	2	0	4	0.052
237	6	1	38	2	1	2	1.508	1	0	3	0.539
243	6	1	39	1	1	2	1.292	1	1	1	0.069
249	6	1	40	1	2	2	2.673	1	1	4	1.162
255	6	1	41	1	2	2	0.888	1	1	4	0.071
261	6	1	42	1	1	1	1.054	1	1	3	0.556
267	6	1	43	1	1	1	1.519	2	0	1	0.69
273	6	1	44	2	1	2	0.936	1	0	1	0.828
279	6	1	45	1	2	2	0.941	1	1	4	0.122
285	6	1	46	1	2	2	1.304	1	1	1	0.196
291	6	1	47	1	1	1	1.224	1	1	1	0.13
297	6	1	48	1	2	1	1.755	2	0	4	0.179
303	6	1	49	2	1	1	1.288	2	1	1	0.446
309	6	1	50	1	2	2	1.251	2	0	4	0.058
315	6	1	51	1	2	1	0.828	2	0	4	0.02
321	6	1	52	2	2	2	1.033	2	1	4	0.097
327	6	1	53	1	2	2	1.01	2	0	3	0.922
333	6	1	54	1	1	2	1.658	1	1	3	1.53
339	6	1	55	1	2	1	4.546	2	0	 n/a	 n/a
345	6	1	56	2	2	2	1.243	2	1	4	0.157
351	6	1	57	2	2	1	3.422	2	1	3	0.811
357	6	1	58	2	1	2	2.127	2	1	4	1.283
363	6	1	59	2	1	2	1.766	1	0	1	0.138
369	6	1	60	1	1	2	0.858	1	1	1	0.47
375	6	1	61	1	1	1	2.181	1	1	3	0.023
381	6	1	62	2	2	2	1.395	2	1	4	0.246
387	6	1	63	2	1	1	1.736	1	0	1	0.041
393	6	1	64	2	2	2	1.436	1	0	1	1.359
399	6	1	65	1	2	1	2.18	1	1	4	0.205
405	6	1	66	2	2	1	1.527	2	1	4	0.126
411	6	1	67	2	2	1	0.91	2	1	4	0.018
417	6	1	68	1	1	2	1.546	1	1	1	0.119
423	6	1	69	1	1	2	1.745	2	0	1	0.764
429	6	1	70	1	1	1	2.033	1	1	1	0.566
435	6	1	71	1	1	2	0.808	1	1	1	0.059
441	6	1	72	2	2	2	0.97	2	1	3	1.503
447	6	1	73	2	2	1	3.394	1	0	1	0.148
453	6	1	74	1	1	1	1.702	1	1	4	0.135
459	6	1	75	1	1	1	0.945	1	1	1	0.04
465	6	1	76	2	2	1	1.948	2	1	4	0.166
471	6	1	77	1	2	2	1.84	2	0	1	0.041
477	6	1	78	2	1	2	1.638	2	1	1	0.222
483	6	1	79	1	2	1	1.588	2	0	2	1.292
489	6	1	80	1	2	1	2.12	1	1	1	1.146
495	6	1	81	2	2	1	1.634	2	1	4	0.216
501	6	1	82	1	2	2	1.979	2	0	1	0.657
507	6	1	83	2	1	2	1.099	2	1	1	0.069
513	6	1	84	2	2	1	1.671	2	1	4	0.435
519	6	1	85	1	1	2	1.13	2	0	1	0.025
525	6	1	86	2	1	1	1.167	2	1	1	1.06
531	6	1	87	1	1	1	1.915	1	1	2	1.333
537	6	1	88	1	2	1	1.482	1	1	4	0.119
543	6	1	89	1	2	2	1.73	1	1	3	1.191
549	6	1	90	2	2	2	1.506	2	1	4	0.264
555	6	1	91	2	1	2	1.795	1	0	1	0.137
561	6	1	92	2	2	1	1.861	2	1	4	0.117
567	6	1	93	1	1	2	3.185	1	1	1	0.008
573	6	1	94	2	2	1	4.249	2	1	 n/a	 n/a
579	6	1	95	2	2	1	1.251	2	1	4	0.292
585	6	1	96	2	1	1	3.151	2	1	4	0.571
