onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	1	1	1.347	2
15	1	1	2	2	1	1	1.362	2
18	1	1	3	2	2	1	1.148	3
21	1	1	4	2	1	2	1.018	3
24	1	1	5	2	2	2	0.945	3
27	1	1	6	2	2	2	1.045	3
30	1	1	7	2	1	1	0.924	2
33	1	1	8	2	2	1	1.092	3
36	1	1	9	2	1	2	0.766	3
39	1	1	10	2	1	2	0.947	2
42	1	1	11	2	2	1	0.924	4
45	1	1	12	2	2	2	0.95	4
63	1	2	1	1	2	2	1.106	3
66	1	2	2	1	2	1	0.896	3
69	1	2	3	1	2	1	0.852	2
72	1	2	4	1	1	1	0.836	2
75	1	2	5	1	2	2	1.018	2
78	1	2	6	1	1	2	0.86	4
81	1	2	7	1	1	2	1.103	2
84	1	2	8	1	1	1	1.114	3
87	1	2	9	1	2	2	0.691	2
90	1	2	10	1	2	1	1.021	3
93	1	2	11	1	1	2	0.907	4
96	1	2	12	1	1	1	0.909	1
114	1	3	1	2	2	2	1.118	3
117	1	3	2	2	2	2	n/a	n/a
120	1	3	3	2	2	1	0.936	2
123	1	3	4	2	2	2	0.919	3
126	1	3	5	2	1	2	0.841	1
129	1	3	6	2	1	1	1.018	2
132	1	3	7	2	1	1	1.042	1
135	1	3	8	2	2	1	1.109	2
138	1	3	9	2	2	1	1.104	3
141	1	3	10	2	1	1	0.994	2
144	1	3	11	2	1	2	0.946	1
147	1	3	12	2	1	2	0.883	2
165	1	4	1	1	2	2	1.186	2
168	1	4	2	1	2	2	1.107	1
171	1	4	3	1	2	2	0.847	1
174	1	4	4	1	1	2	0.942	2
177	1	4	5	1	1	1	0.93	2
180	1	4	6	1	2	1	0.797	2
183	1	4	7	1	1	2	1.023	2
186	1	4	8	1	2	1	1.054	3
189	1	4	9	1	2	1	0.841	3
192	1	4	10	1	1	2	1.035	2
195	1	4	11	1	1	1	1.092	3
198	1	4	12	1	1	1	1.091	2
