onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	2	1	0.742	4
15	1	1	2	2	1	1	0.981	2
18	1	1	3	2	1	1	0.83	1
21	1	1	4	2	2	2	0.969	3
24	1	1	5	2	1	1	0.742	1
27	1	1	6	2	1	2	1.152	4
30	1	1	7	2	2	1	0.932	4
33	1	1	8	2	2	2	0.766	4
36	1	1	9	2	1	2	0.759	1
39	1	1	10	2	2	1	0.905	3
42	1	1	11	2	2	2	0.78	4
45	1	1	12	2	1	2	0.695	1
63	1	2	1	1	2	1	 n/a	 n/a
66	1	2	2	1	1	1	1.378	3
69	1	2	3	1	2	1	0.696	1
72	1	2	4	1	1	1	0.99	2
75	1	2	5	1	1	2	1.137	1
78	1	2	6	1	1	2	0.956	4
81	1	2	7	1	2	1	0.747	1
84	1	2	8	1	2	2	0.864	1
87	1	2	9	1	2	2	1.043	1
90	1	2	10	1	1	2	0.698	1
93	1	2	11	1	2	2	0.742	1
96	1	2	12	1	1	1	0.981	2
114	1	3	1	2	2	1	0.968	4
117	1	3	2	2	2	1	1.022	4
120	1	3	3	2	1	2	0.98	4
123	1	3	4	2	1	1	0.925	3
126	1	3	5	2	2	1	0.786	4
129	1	3	6	2	2	2	0.762	4
132	1	3	7	2	1	1	1.019	1
135	1	3	8	2	2	2	1.274	3
138	1	3	9	2	1	2	0.787	1
141	1	3	10	2	1	2	0.756	1
144	1	3	11	2	2	2	0.884	3
147	1	3	12	2	1	1	0.893	4
165	1	4	1	1	1	1	1.152	3
168	1	4	2	1	2	2	1.491	3
171	1	4	3	1	2	1	1.787	1
174	1	4	4	1	1	2	1.772	2
177	1	4	5	1	2	1	1.303	2
180	1	4	6	1	2	1	1.755	2
183	1	4	7	1	1	2	1.379	3
186	1	4	8	1	1	1	0.677	1
189	1	4	9	1	2	2	1.725	2
192	1	4	10	1	1	2	1.36	2
195	1	4	11	1	1	1	 n/a	 n/a
198	1	4	12	1	2	2	1.503	1
