onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	1	1.167	1
16.5	1	1	2	1	1	1	0.934	4
21	1	1	3	2	1	1	1.562	4
25.5	1	1	4	2	1	1	1.272	4
30	1	1	5	2	1	1	0.74	4
34.5	1	1	6	1	1	1	0.687	4
39	1	1	7	1	1	1	0.725	4
43.5	1	1	8	1	2	1	1.046	1
48	1	1	9	2	1	1	1.762	4
52.5	1	1	10	1	1	1	0.686	4
57	1	1	11	2	1	1	1.275	4
61.5	1	1	12	1	2	1	0.977	1
66	1	1	13	1	1	1	1.158	4
70.5	1	1	14	1	2	1	1.37	1
75	1	1	15	1	1	1	1.521	4
79.5	1	1	16	1	1	1	0.907	4
84	1	1	17	1	2	1	1.366	2
88.5	1	1	18	1	1	1	1.291	4
93	1	1	19	2	2	1	1.509	1
97.5	1	1	20	2	1	1	0.94	4
102	1	1	21	2	1	1	0.997	4
106.5	1	1	22	2	1	1	0.714	4
111	1	1	23	2	2	1	1.043	1
115.5	1	1	24	2	1	1	0.7	4
120	1	1	25	1	2	1	 n/a	 n/a
124.5	1	1	26	2	2	1	 n/a	 n/a
129	1	1	27	1	1	1	0.905	4
133.5	1	1	28	1	2	1	1.599	2
138	1	1	29	2	1	1	1.366	4
142.5	1	1	30	1	2	1	 n/a	 n/a
147	1	1	31	2	1	1	1.02	4
151.5	1	1	32	1	1	1	1.945	4
156	1	1	33	2	1	1	1.021	4
160.5	1	1	34	2	1	1	0.671	4
165	1	1	35	1	2	1	1.076	2
169.5	1	1	36	2	2	1	1.942	2
174	1	1	37	1	1	1	1.219	4
178.5	1	1	38	2	1	1	0.812	4
183	1	1	39	2	2	1	1.428	1
187.5	1	1	40	1	1	1	1.842	4
192	1	1	41	1	1	1	1.233	4
196.5	1	1	42	1	1	1	1.194	4
201	1	1	43	2	1	1	0.779	4
205.5	1	1	44	1	1	1	0.722	4
210	1	1	45	1	2	1	 n/a	 n/a
214.5	1	1	46	1	2	1	1.863	2
219	1	1	47	2	2	1	1.491	2
223.5	1	1	48	2	2	1	0.773	4
228	1	1	49	1	2	1	1.917	1
232.5	1	1	50	2	2	1	1.252	1
237	1	1	51	1	2	1	0.854	1
241.5	1	1	52	2	2	1	1.159	2
246	1	1	53	1	2	1	0.99	2
250.5	1	1	54	2	1	1	0.967	4
255	1	1	55	1	1	1	1.173	4
259.5	1	1	56	2	1	1	1.273	4
264	1	1	57	2	2	1	1.567	3
268.5	1	1	58	1	2	1	 n/a	 n/a
273	1	1	59	2	2	1	 n/a	 n/a
277.5	1	1	60	2	2	1	1.782	1
282	1	1	61	1	2	1	0.987	1
286.5	1	1	62	2	2	1	0.745	2
291	1	1	63	1	1	1	 n/a	 n/a
295.5	1	1	64	2	2	1	1.398	2
300	1	1	65	2	2	1	1.326	1
304.5	1	1	66	2	2	1	0.804	1
309	1	1	67	1	2	1	1.042	1
313.5	1	1	68	2	1	1	1.862	4
318	1	1	69	1	2	1	1.813	2
322.5	1	1	70	1	1	1	1.072	4
327	1	1	71	2	1	1	0.767	4
331.5	1	1	72	2	1	1	1.055	4
336	1	1	73	1	2	1	 n/a	 n/a
340.5	1	1	74	2	2	1	 n/a	 n/a
345	1	1	75	2	1	1	1.089	4
349.5	1	1	76	1	1	1	0.775	4
354	1	1	77	2	1	1	0.961	4
358.5	1	1	78	1	2	1	 n/a	 n/a
363	1	1	79	2	1	1	1.153	4
367.5	1	1	80	1	1	1	0.7	4
372	1	1	81	2	2	1	1.791	1
376.5	1	1	82	2	2	1	 n/a	 n/a
381	1	1	83	1	1	1	1.693	4
385.5	1	1	84	2	2	1	1.211	1
390	1	1	85	1	2	1	1.423	2
394.5	1	1	86	2	2	1	 n/a	 n/a
399	1	1	87	1	1	1	 n/a	 n/a
403.5	1	1	88	2	1	1	1.962	4
408	1	1	89	1	2	1	 n/a	 n/a
412.5	1	1	90	1	1	1	1.422	4
417	1	1	91	1	2	1	1.304	2
421.5	1	1	92	2	2	1	 n/a	 n/a
426	1	1	93	1	2	1	1.354	2
430.5	1	1	94	1	1	1	1.279	4
435	1	1	95	2	2	1	1.808	1
439.5	1	1	96	2	2	1	 n/a	 n/a
