onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	2	1	1.583	4
15	1	1	2	2	1	2	1.417	4
18	1	1	3	2	2	2	0.88	1
21	1	1	4	2	2	2	1.734	2
24	1	1	5	2	2	2	1.649	4
27	1	1	6	2	1	1	1.426	1
30	1	1	7	2	1	2	1.566	3
33	1	1	8	2	1	1	1.491	3
36	1	1	9	2	2	1	1.47	2
39	1	1	10	2	1	1	1.186	1
42	1	1	11	2	1	2	0.721	1
45	1	1	12	2	2	1	0.756	1
63	1	2	1	1	2	1	1.799	3
66	1	2	2	1	1	1	 n/a	 n/a
69	1	2	3	1	2	1	1.366	4
72	1	2	4	1	1	1	1.156	1
75	1	2	5	1	2	2	0.828	1
78	1	2	6	1	1	2	1.272	3
81	1	2	7	1	2	2	0.927	4
84	1	2	8	1	1	1	1.049	2
87	1	2	9	1	1	2	1.411	3
90	1	2	10	1	2	2	1.878	3
93	1	2	11	1	1	2	1.538	2
96	1	2	12	1	2	1	1.438	1
114	1	3	1	2	1	1	1.733	1
117	1	3	2	2	2	1	1.455	4
120	1	3	3	2	1	1	0.832	4
123	1	3	4	2	2	2	1.372	3
126	1	3	5	2	2	2	1.401	2
129	1	3	6	2	1	1	1.31	1
132	1	3	7	2	1	2	1.425	1
135	1	3	8	2	2	1	1.403	3
138	1	3	9	2	2	1	1.254	3
141	1	3	10	2	1	2	1.305	1
144	1	3	11	2	1	2	0.927	1
147	1	3	12	2	2	2	1.321	4
165	1	4	1	1	1	2	0.817	1
168	1	4	2	1	2	2	1.366	3
171	1	4	3	1	1	1	1.544	1
174	1	4	4	1	1	2	1.538	3
177	1	4	5	1	1	2	1.16	2
180	1	4	6	1	2	1	1.743	3
183	1	4	7	1	2	2	1.373	2
186	1	4	8	1	2	1	1.588	2
189	1	4	9	1	1	1	1.443	2
192	1	4	10	1	2	2	1.12	4
195	1	4	11	1	1	1	0.954	4
198	1	4	12	1	2	1	 n/a	 n/a
