onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	1	1	2	1.69	1	1	4	0.844
21	6	1	2	1	1	1	2.333	1	1	2	0.568
27	6	1	3	2	2	1	1.163	2	1	3	0.293
33	6	1	4	2	1	1	1.944	2	1	2	0.278
39	6	1	5	1	1	1	1.483	1	1	3	0.288
45	6	1	6	2	2	2	2.568	2	1	3	0.584
51	6	1	7	2	1	2	1.938	1	0	1	0.288
57	6	1	8	2	2	2	0.977	2	1	4	0.008
63	6	1	9	2	2	2	0.823	2	1	4	0.534
69	6	1	10	1	1	1	1.57	2	0	3	0.46
75	6	1	11	1	2	1	1.898	2	0	2	0.286
81	6	1	12	2	1	2	1.843	2	1	3	0.416
87	6	1	13	2	1	1	1.652	2	1	2	0.751
93	6	1	14	1	2	1	1.788	1	1	2	0.744
99	6	1	15	1	2	2	1.181	1	1	1	0.741
105	6	1	16	1	2	1	1.626	1	1	3	0.673
111	6	1	17	1	2	2	2.023	1	1	4	0.337
117	6	1	18	2	2	1	0.985	2	1	4	0.005
123	6	1	19	1	1	1	1.488	1	1	3	0.534
129	6	1	20	2	2	1	2.38	1	0	2	0.902
135	6	1	21	1	1	2	1.571	1	1	2	0.532
141	6	1	22	2	2	1	2.827	2	1	2	1.371
147	6	1	23	1	1	1	2.017	1	1	1	0.509
153	6	1	24	2	2	1	1.243	2	1	4	0.817
159	6	1	25	1	2	1	2.5	1	1	3	0.522
165	6	1	26	2	1	1	1.82	2	1	3	0.059
171	6	1	27	1	2	2	1.528	1	1	3	0.446
177	6	1	28	2	2	2	1.3	2	1	4	0.067
183	6	1	29	2	2	1	0.973	2	1	4	0.442
189	6	1	30	1	1	2	1.091	1	1	3	0.278
195	6	1	31	1	2	2	2.483	1	1	1	0.201
201	6	1	32	2	1	1	2.693	1	0	2	0.498
207	6	1	33	1	1	2	1.601	2	0	3	0.147
213	6	1	34	1	1	2	2.104	1	1	2	0.144
219	6	1	35	1	2	1	2.083	1	1	3	0.569
225	6	1	36	1	2	2	1.631	2	0	4	0.039
231	6	1	37	2	1	2	2.531	2	1	3	0.082
237	6	1	38	1	1	2	2.097	1	1	3	0.365
243	6	1	39	2	1	2	0.992	2	1	3	0.071
249	6	1	40	2	2	1	1.364	1	0	1	0.36
255	6	1	41	2	1	2	2.771	2	1	2	0.578
261	6	1	42	1	1	1	1.351	1	1	3	0.882
267	6	1	43	1	2	1	2.443	1	1	3	0.961
273	6	1	44	2	2	1	1.162	2	1	4	0.053
279	6	1	45	1	1	1	1.792	1	1	4	0.264
285	6	1	46	2	2	2	0.984	2	1	4	0.005
291	6	1	47	1	2	2	1.468	1	1	2	0.866
297	6	1	48	1	1	2	1.424	1	1	3	0.288
303	6	1	49	2	1	1	2.61	1	0	2	0.835
309	6	1	50	1	2	1	2.229	2	0	1	1.381
315	6	1	51	1	1	1	1.889	1	1	4	0.005
321	6	1	52	2	1	2	1.899	2	1	2	0.549
327	6	1	53	2	1	2	2.384	2	1	3	0.321
333	6	1	54	2	1	1	1.775	2	1	2	0.182
339	6	1	55	2	1	1	1.605	1	0	1	0.221
345	6	1	56	2	2	2	1.483	2	1	4	0.416
351	6	1	57	1	2	2	1.435	1	1	4	0.085
357	6	1	58	1	2	2	1.845	1	1	3	0.106
363	6	1	59	1	2	1	2.641	1	1	4	0.241
369	6	1	60	2	2	2	0.852	2	1	4	0.058
375	6	1	61	1	1	1	7	7	0	 n/a	 n/a
381	6	1	62	1	2	1	2.524	1	1	4	0.189
387	6	1	63	1	2	2	7	7	0	 n/a	 n/a
393	6	1	64	2	2	2	0.008	1	0	4	2.766
399	6	1	65	1	2	1	2.133	1	1	4	0.052
405	6	1	66	2	2	1	1.851	2	1	3	0.229
411	6	1	67	1	1	2	2.017	1	1	3	0.628
417	6	1	68	1	1	2	2.283	1	1	2	0.296
423	6	1	69	2	1	2	2.397	2	1	1	0.368
429	6	1	70	1	1	1	1.975	1	1	3	0.471
435	6	1	71	2	1	1	1.658	2	1	3	0.789
441	6	1	72	1	2	2	1.752	1	1	4	0.021
447	6	1	73	1	1	2	1.435	1	1	3	0.195
453	6	1	74	2	1	1	1.818	1	0	3	0.966
459	6	1	75	2	1	2	2.208	1	0	1	0.122
465	6	1	76	2	1	1	1.531	1	0	3	0.117
471	6	1	77	1	2	1	1.591	2	0	4	0.19
477	6	1	78	1	1	1	1.665	1	1	3	0.402
483	6	1	79	2	1	2	2.721	1	0	1	0.725
489	6	1	80	2	1	1	1.724	2	1	4	0.085
495	6	1	81	1	2	2	1.258	1	1	4	0.505
501	6	1	82	1	2	1	1.336	2	0	4	0.206
507	6	1	83	1	1	1	1.285	1	1	3	0.306
513	6	1	84	2	2	2	1.522	2	1	4	0.017
519	6	1	85	2	2	1	2.178	1	0	2	0.828
525	6	1	86	2	1	1	1.26	2	1	4	0.126
531	6	1	87	2	1	2	2.255	2	1	2	0.538
537	6	1	88	2	2	1	0.934	2	1	4	0.377
543	6	1	89	2	2	2	1.139	2	1	4	0.118
549	6	1	90	2	2	2	0.865	2	1	4	0.569
555	6	1	91	2	1	2	1.392	2	1	4	0.491
561	6	1	92	2	2	2	2.299	2	1	4	0.407
567	6	1	93	1	2	2	1.52	1	1	4	0.563
573	6	1	94	2	2	1	1.837	2	1	4	0.066
579	6	1	95	1	1	2	2.618	1	1	1	0.105
585	6	1	96	1	1	2	2.021	1	1	2	0.311
