onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	1	2	1	2.917	2	0	 n/a	 n/a
21	6	1	2	2	1	1	2.631	1	0	1	1.811
27	6	1	3	2	1	2	2.152	2	1	4	1.083
33	6	1	4	2	1	1	2.116	2	1	4	0.624
39	6	1	5	1	2	2	1.313	1	1	4	0.642
45	6	1	6	2	2	1	1.499	2	1	4	0.62
51	6	1	7	1	2	1	2.644	1	1	3	1.095
57	6	1	8	1	2	2	3.698	1	1	2	0.873
63	6	1	9	1	1	1	1.659	1	1	4	0.861
69	6	1	10	2	1	2	2.522	2	1	3	0.563
75	6	1	11	1	2	1	7	7	0	 n/a	 n/a
81	6	1	12	1	1	2	1.882	1	1	4	0.999
87	6	1	13	2	2	2	4.073	2	1	4	0.61
93	6	1	14	2	2	2	1.407	2	1	4	0.404
99	6	1	15	1	2	1	2.896	1	1	3	1.152
105	6	1	16	2	1	2	2.226	2	1	4	0.994
111	6	1	17	2	1	1	2.933	2	1	4	0.571
117	6	1	18	2	2	2	1.89	2	1	4	0.439
123	6	1	19	2	1	1	1.448	2	1	4	0.424
129	6	1	20	1	2	2	1.683	1	1	2	0.647
135	6	1	21	1	2	1	2.301	1	1	3	1.563
141	6	1	22	2	1	1	3.571	2	1	4	0.347
147	6	1	23	1	2	2	1.779	1	1	4	0.349
153	6	1	24	2	1	1	3.697	2	1	2	0.641
159	6	1	25	2	1	1	3.268	1	0	1	0.801
165	6	1	26	2	2	1	1.764	2	1	3	1.143
171	6	1	27	1	2	1	1.929	2	0	4	0.646
177	6	1	28	2	1	2	1.979	2	1	4	0.434
183	6	1	29	1	1	1	1.336	1	1	4	0.317
189	6	1	30	1	1	2	1.248	1	1	4	0.349
195	6	1	31	1	1	2	1.092	1	1	4	0.284
201	6	1	32	2	1	2	2.823	2	1	1	1
207	6	1	33	1	2	1	4.982	2	0	 n/a	 n/a
213	6	1	34	2	2	1	1.34	2	1	4	0.722
219	6	1	35	2	2	1	0.916	2	1	4	0.382
225	6	1	36	1	1	1	1.803	1	1	4	1.096
231	6	1	37	1	1	2	3.406	2	0	3	0.651
237	6	1	38	2	2	2	1.047	2	1	4	0.364
243	6	1	39	1	2	2	1.413	1	1	4	0.294
249	6	1	40	1	2	1	1.248	1	1	4	0.165
255	6	1	41	2	1	2	1.372	2	1	3	0.427
261	6	1	42	2	2	1	0.806	2	1	3	0.355
267	6	1	43	1	1	1	2.678	1	1	2	0.527
273	6	1	44	1	1	2	2.417	1	1	1	0.595
279	6	1	45	1	2	2	1.547	1	1	3	0.5
285	6	1	46	2	2	1	1.672	2	1	4	0.359
291	6	1	47	1	1	1	3.097	1	1	2	0.809
297	6	1	48	2	1	2	1.687	2	1	3	0.37
303	6	1	49	1	2	1	1.304	1	1	4	0.222
309	6	1	50	1	1	1	1.344	1	1	3	0.377
315	6	1	51	2	1	2	1.904	2	1	4	0.29
321	6	1	52	1	1	1	2.109	2	0	4	0.365
327	6	1	53	1	2	2	1.677	1	1	4	1.65
333	6	1	54	1	2	1	1.211	1	1	3	0.371
339	6	1	55	1	2	1	2.703	1	1	4	0.373
345	6	1	56	1	2	2	1.116	1	1	4	0.28
351	6	1	57	2	2	1	2.155	2	1	3	0.386
357	6	1	58	2	2	2	0.849	2	1	4	0.245
363	6	1	59	2	1	1	2.353	2	1	3	0.641
369	6	1	60	2	2	2	1.266	2	1	4	0.159
375	6	1	61	1	2	2	1.396	1	1	4	0.259
381	6	1	62	2	2	2	1.714	2	1	4	0.361
387	6	1	63	2	2	1	1.563	2	1	4	0.229
393	6	1	64	1	1	1	2.022	1	1	3	0.772
399	6	1	65	2	1	2	1.838	1	0	1	0.599
405	6	1	66	2	2	2	0.974	2	1	4	0.179
411	6	1	67	1	1	2	3.316	1	1	1	0.429
417	6	1	68	1	2	1	2.149	1	1	4	0.533
423	6	1	69	2	1	1	1.304	2	1	4	0.187
429	6	1	70	1	2	2	1.09	2	0	4	0.317
435	6	1	71	2	2	2	1.013	2	1	4	0.273
441	6	1	72	2	1	2	1.12	2	1	4	0.45
447	6	1	73	2	1	2	2.488	2	1	3	0.768
453	6	1	74	2	2	2	1.058	2	1	4	0.096
459	6	1	75	2	2	2	1.535	2	1	4	0.231
465	6	1	76	2	2	1	1.646	2	1	3	0.695
471	6	1	77	1	1	2	2.776	1	1	3	0.75
477	6	1	78	2	2	1	1.559	2	1	4	0.366
483	6	1	79	1	1	1	2.754	2	0	2	0.549
489	6	1	80	1	2	2	1.017	1	1	3	0.439
495	6	1	81	2	2	1	1.296	2	1	4	0.32
501	6	1	82	1	1	1	1.325	1	1	4	0.168
507	6	1	83	2	1	1	1.577	2	1	3	0.679
513	6	1	84	2	1	1	1.166	2	1	3	0.281
519	6	1	85	2	1	1	1.458	2	1	3	0.264
525	6	1	86	1	1	2	0.991	1	1	3	0.517
531	6	1	87	1	1	2	0.924	1	1	4	0.258
537	6	1	88	1	1	2	1.268	1	1	4	0.269
543	6	1	89	1	1	2	1.463	1	1	4	0.286
549	6	1	90	2	2	2	1.412	2	1	4	0.599
555	6	1	91	1	1	1	1.187	1	1	4	0.624
561	6	1	92	1	1	2	1.913	1	1	4	0.235
567	6	1	93	1	1	1	1.526	1	1	3	0.411
573	6	1	94	2	1	2	1.465	2	1	3	0.521
579	6	1	95	2	2	1	3.071	2	1	2	0.829
585	6	1	96	1	2	2	1.539	1	1	4	0.925
