onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	3	1	1	0.898	4
15	1	1	2	3	1	2	0.711	4
18	1	1	3	3	2	2	0.993	1
21	1	1	4	3	2	2	1.245	1
24	1	1	5	3	1	2	0.646	4
27	1	1	6	3	1	1	0.748	4
30	1	1	7	3	2	1	0.736	1
33	1	1	8	3	2	1	1.072	1
36	1	1	9	3	2	2	1.058	1
39	1	1	10	3	2	1	0.678	1
42	1	1	11	3	1	1	0.747	4
45	1	1	12	3	1	2	0.531	4
63	1	2	1	1	2	2	0.807	4
66	1	2	2	1	1	1	0.662	1
69	1	2	3	1	1	2	0.971	2
72	1	2	4	1	1	2	0.716	4
75	1	2	5	1	1	1	1.072	2
78	1	2	6	1	1	2	0.956	2
81	1	2	7	1	2	1	0.99	1
84	1	2	8	1	2	1	1.823	3
87	1	2	9	1	2	2	1.049	3
90	1	2	10	1	2	1	0.781	4
93	1	2	11	1	1	1	1.232	3
96	1	2	12	1	2	2	1.02	4
114	1	3	1	3	1	1	0.698	4
117	1	3	2	3	2	2	0.988	1
120	1	3	3	3	1	1	0.892	4
123	1	3	4	3	1	2	1.062	4
126	1	3	5	3	2	1	0.704	1
129	1	3	6	3	1	2	0.897	4
132	1	3	7	3	2	2	1.261	3
135	1	3	8	3	2	1	0.787	1
138	1	3	9	3	1	2	0.686	4
141	1	3	10	3	2	2	1.311	2
144	1	3	11	3	2	1	0.872	1
147	1	3	12	3	1	1	0.599	4
165	1	4	1	2	1	1	1.341	2
168	1	4	2	2	2	2	0.806	4
171	1	4	3	2	2	1	1.206	3
174	1	4	4	2	1	1	1.101	1
177	1	4	5	2	2	1	1.105	4
180	1	4	6	2	2	2	0.91	4
183	1	4	7	2	2	1	1.177	4
186	1	4	8	2	1	1	0.959	4
189	1	4	9	2	1	2	0.649	4
192	1	4	10	2	1	2	1.704	1
195	1	4	11	2	1	2	1.185	1
198	1	4	12	2	2	2	0.899	4
216	1	5	1	1	1	2	1.164	4
219	1	5	2	1	1	1	1.039	4
222	1	5	3	1	2	2	1.066	1
225	1	5	4	1	1	1	1.055	1
228	1	5	5	1	1	1	1.023	2
231	1	5	6	1	2	1	1.057	3
234	1	5	7	1	2	1	0.997	3
237	1	5	8	1	2	2	0.884	1
240	1	5	9	1	1	2	0.601	1
243	1	5	10	1	1	2	0.775	2
246	1	5	11	1	2	2	0.905	2
249	1	5	12	1	2	1	1.022	3
267	1	6	1	2	1	2	1.166	1
270	1	6	2	2	1	1	1.026	4
273	1	6	3	2	2	2	0.595	4
276	1	6	4	2	2	1	0.672	4
279	1	6	5	2	1	2	1.38	2
282	1	6	6	2	2	2	0.924	3
285	1	6	7	2	2	1	0.856	4
288	1	6	8	2	2	1	0.67	4
291	1	6	9	2	1	2	0.575	4
294	1	6	10	2	1	1	1.285	3
297	1	6	11	2	2	2	1.073	3
300	1	6	12	2	1	1	1.063	1
