onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	2	1	1	1.746	2	1	4	0.444
21	6	1	2	1	1	2	1.354	1	1	3	0.77
27	6	1	3	1	2	1	2.73	1	1	3	0.659
33	6	1	4	1	2	1	1.261	1	1	3	1.466
39	6	1	5	1	2	1	2.604	1	1	3	0.497
45	6	1	6	1	2	1	3.199	1	1	4	0.272
51	6	1	7	2	2	1	2.824	1	0	2	1.243
57	6	1	8	2	1	1	3.004	2	1	3	0.797
63	6	1	9	2	2	1	1.811	2	1	4	0.832
69	6	1	10	1	2	1	1.56	1	1	4	0.245
75	6	1	11	2	2	2	1.329	2	1	4	0.118
81	6	1	12	2	2	1	1.231	2	1	4	0.107
87	6	1	13	1	2	2	1.666	1	1	3	0.755
93	6	1	14	2	2	1	2.905	2	1	3	0.484
99	6	1	15	1	1	1	2.067	1	1	4	0.632
105	6	1	16	2	1	1	1.449	2	1	4	0.106
111	6	1	17	2	1	1	3.242	2	1	3	0.438
117	6	1	18	2	2	1	1.856	2	1	4	0.118
123	6	1	19	1	2	1	1.524	1	1	4	0.094
129	6	1	20	2	1	2	1.294	2	1	4	0.071
135	6	1	21	2	2	1	1.283	2	1	4	0.053
141	6	1	22	2	2	2	1.47	2	1	4	0.211
147	6	1	23	1	2	2	1.321	1	1	4	0.152
153	6	1	24	2	1	2	2.862	2	1	2	0.684
159	6	1	25	2	1	2	3.813	2	1	1	0.39
165	6	1	26	1	2	1	2.698	2	0	2	0.672
171	6	1	27	1	1	1	2.507	1	1	 n/a	 n/a
177	6	1	28	1	2	2	2.628	1	1	4	0.285
183	6	1	29	1	1	2	1.275	1	1	4	0.129
189	6	1	30	2	2	2	1.62	2	1	4	0.17
195	6	1	31	1	1	2	1.472	1	1	4	0.144
201	6	1	32	1	2	2	1.547	1	1	4	0.354
207	6	1	33	2	2	2	1.135	2	1	4	0.171
213	6	1	34	1	1	2	1.583	1	1	4	0.637
219	6	1	35	1	2	2	1.008	1	1	4	0.14
225	6	1	36	1	2	1	4.094	2	0	 n/a	 n/a
231	6	1	37	1	1	1	1.252	1	1	4	0.243
237	6	1	38	2	2	1	1.497	2	1	4	0.46
243	6	1	39	1	2	2	2.289	1	1	3	0.599
249	6	1	40	1	1	2	1.121	1	1	4	0.133
255	6	1	41	1	2	1	1.826	1	1	4	0.295
261	6	1	42	1	2	1	3.219	1	1	3	0.801
267	6	1	43	2	2	2	2.098	2	1	4	0.275
273	6	1	44	1	1	1	1.379	2	0	2	1.124
279	6	1	45	1	1	2	2.428	1	1	3	0.452
285	6	1	46	2	2	1	1.204	2	1	4	0.189
291	6	1	47	2	1	1	1.638	2	1	4	0.136
297	6	1	48	2	1	1	2.012	2	1	4	0.912
303	6	1	49	2	1	1	2.48	2	1	4	0.133
309	6	1	50	1	1	2	1.151	1	1	4	0.502
315	6	1	51	1	1	1	1.428	1	1	4	0.149
321	6	1	52	2	2	2	2.17	2	1	3	1.003
327	6	1	53	2	1	1	1.033	1	0	4	0.117
333	6	1	54	1	1	1	2.124	2	0	3	0.652
339	6	1	55	2	1	1	1.702	2	1	4	0.353
345	6	1	56	1	1	1	1.287	1	1	4	0.145
351	6	1	57	1	1	1	1.379	1	1	4	0.145
357	6	1	58	2	1	2	1.322	2	1	4	0.099
363	6	1	59	2	2	2	1.005	2	1	4	0.281
369	6	1	60	2	1	2	1.698	1	0	2	0.604
375	6	1	61	1	2	2	1.244	1	1	4	0.158
381	6	1	62	1	1	2	3.055	1	1	2	0.409
387	6	1	63	2	2	2	1.404	2	1	4	0.368
393	6	1	64	1	1	2	2.366	1	1	2	0.862
399	6	1	65	1	1	1	3.034	1	1	2	0.619
405	6	1	66	2	2	1	1.415	2	1	4	1.499
411	6	1	67	2	1	1	3.042	1	0	3	0.634
417	6	1	68	1	1	1	2.309	1	1	4	0.264
423	6	1	69	2	2	2	2.83	2	1	1	0.898
429	6	1	70	1	1	2	1.334	1	1	3	0.864
435	6	1	71	2	1	2	1.922	1	0	4	0.716
441	6	1	72	2	1	2	1.854	2	1	1	2.354
447	6	1	73	2	1	1	2.604	2	1	2	2.074
453	6	1	74	2	1	2	1.785	2	1	4	0.266
459	6	1	75	2	1	2	2.561	2	1	4	0.106
465	6	1	76	1	2	2	1.585	1	1	4	0.26
471	6	1	77	1	2	1	3.894	2	0	 n/a	 n/a
477	6	1	78	2	2	1	2.43	2	1	4	0.15
483	6	1	79	1	2	2	1.158	1	1	4	0.103
489	6	1	80	2	2	2	1.636	2	1	4	0.483
495	6	1	81	2	2	1	2.126	2	1	3	0.732
501	6	1	82	2	1	2	2.4	2	1	3	0.696
507	6	1	83	2	2	1	1.119	2	1	4	0.259
513	6	1	84	1	1	2	1.517	1	1	4	0.285
519	6	1	85	2	1	1	1.038	2	1	4	0.16
525	6	1	86	1	1	1	0.848	1	1	4	0.187
531	6	1	87	2	1	2	1.285	2	1	4	0.14
537	6	1	88	1	2	2	1.32	1	1	4	0.447
543	6	1	89	2	1	2	3.32	1	0	1	0.456
549	6	1	90	1	2	2	1.318	1	1	4	0.063
555	6	1	91	1	2	2	2.03	1	1	4	0.595
561	6	1	92	1	1	2	1.329	1	1	4	0.216
567	6	1	93	1	1	1	1.13	1	1	4	0.081
573	6	1	94	1	2	1	1.036	1	1	2	1.282
579	6	1	95	2	2	2	1.295	2	1	4	0.122
585	6	1	96	2	2	2	2.534	2	1	1	0.338
