onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	1	1.801	2
15	1	1	2	1	2	2	1.605	1
18	1	1	3	1	1	1	1.991	2
21	1	1	4	1	2	2	1.408	2
24	1	1	5	1	1	2	1.366	2
27	1	1	6	1	1	2	1.347	4
30	1	1	7	1	1	1	0.717	4
33	1	1	8	1	1	1	1.831	3
36	1	1	9	1	1	2	0.668	1
39	1	1	10	1	2	2	0.614	1
42	1	1	11	1	2	1	1.965	2
45	1	1	12	1	2	1	1.372	1
63	1	2	1	2	1	2	1.769	1
66	1	2	2	2	2	2	1.048	4
69	1	2	3	2	1	1	1.676	1
72	1	2	4	2	2	2	1.106	3
75	1	2	5	2	2	1	1.231	4
78	1	2	6	2	2	2	0.887	4
81	1	2	7	2	1	1	0.949	1
84	1	2	8	2	1	2	1.656	1
87	1	2	9	2	2	1	0.854	4
90	1	2	10	2	1	2	 n/a	 n/a
93	1	2	11	2	2	1	1.285	3
96	1	2	12	2	1	1	1.998	2
114	1	3	1	1	1	1	1.927	3
117	1	3	2	1	2	1	1.677	1
120	1	3	3	1	2	2	 n/a	 n/a
123	1	3	4	1	1	1	 n/a	 n/a
126	1	3	5	1	1	2	1.725	2
129	1	3	6	1	2	1	1.277	2
132	1	3	7	1	2	2	1.02	1
135	1	3	8	1	1	2	 n/a	 n/a
138	1	3	9	1	2	2	1.443	2
141	1	3	10	1	1	2	 n/a	 n/a
144	1	3	11	1	1	1	1.349	3
147	1	3	12	1	2	1	1.577	1
165	1	4	1	2	1	2	1.129	4
168	1	4	2	2	1	2	1.839	2
171	1	4	3	2	2	2	1.639	4
174	1	4	4	2	2	2	1.036	4
177	1	4	5	2	2	1	1.483	4
180	1	4	6	2	1	1	 n/a	 n/a
183	1	4	7	2	1	1	 n/a	 n/a
186	1	4	8	2	2	2	 n/a	 n/a
189	1	4	9	2	1	1	1.517	4
192	1	4	10	2	2	1	1.299	4
195	1	4	11	2	2	1	0.912	4
198	1	4	12	2	1	2	1.253	1
