onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	2	1	0.719	3
15	1	1	2	2	1	1	0.633	3
18	1	1	3	2	1	2	0.543	2
21	1	1	4	2	2	2	0.844	2
24	1	1	5	2	1	1	0.795	2
27	1	1	6	2	2	2	0.785	1
30	1	1	7	2	1	1	0.648	2
33	1	1	8	2	2	1	0.739	4
36	1	1	9	2	1	2	0.744	2
39	1	1	10	2	2	1	0.939	3
42	1	1	11	2	2	2	0.643	2
45	1	1	12	2	1	2	0.913	2
63	1	2	1	1	1	2	0.734	3
66	1	2	2	1	1	1	0.839	1
69	1	2	3	1	2	2	0.623	2
72	1	2	4	1	1	2	0.551	1
75	1	2	5	1	2	1	0.949	2
78	1	2	6	1	2	1	0.892	2
81	1	2	7	1	2	1	0.591	3
84	1	2	8	1	1	1	0.736	1
87	1	2	9	1	1	2	0.712	2
90	1	2	10	1	2	2	0.915	3
93	1	2	11	1	2	2	0.818	2
96	1	2	12	1	1	1	0.611	1
114	1	3	1	2	1	1	0.67	2
117	1	3	2	2	2	1	0.698	3
120	1	3	3	2	2	2	0.848	3
123	1	3	4	2	2	2	0.8	4
126	1	3	5	2	1	1	0.697	2
129	1	3	6	2	1	2	0.898	2
132	1	3	7	2	1	2	1.032	2
135	1	3	8	2	1	1	0.781	1
138	1	3	9	2	2	1	0.756	4
141	1	3	10	2	2	2	0.747	4
144	1	3	11	2	1	2	 n/a	 n/a
147	1	3	12	2	2	1	0.664	4
165	1	4	1	1	1	1	0.706	3
168	1	4	2	1	2	2	0.606	2
171	1	4	3	1	1	1	0.693	3
174	1	4	4	1	1	2	0.52	4
177	1	4	5	1	2	2	0.671	3
180	1	4	6	1	1	1	0.594	4
183	1	4	7	1	2	1	0.712	1
186	1	4	8	1	2	1	0.72	2
189	1	4	9	1	1	2	0.811	2
192	1	4	10	1	2	1	0.666	3
195	1	4	11	1	2	2	0.7	3
198	1	4	12	1	1	2	0.714	2
