onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	1	1	2	1.098	1	1	4	1.028
21	6	1	2	2	2	1	1.025	2	1	4	0.59
27	6	1	3	2	2	2	1.202	2	1	4	0.211
33	6	1	4	2	2	2	1.32	1	0	1	0.553
39	6	1	5	1	1	2	1.084	1	1	4	0.078
45	6	1	6	2	2	2	1.05	2	1	4	1.442
51	6	1	7	2	1	2	1.02	1	0	4	0.237
57	6	1	8	2	2	1	1.359	2	1	4	0.297
63	6	1	9	1	1	1	1.227	1	1	2	1.019
69	6	1	10	2	1	2	1.463	2	1	3	0.466
75	6	1	11	2	2	1	1.008	2	1	3	0.281
81	6	1	12	1	1	2	1.424	1	1	4	0.689
87	6	1	13	1	1	2	1.619	2	0	1	0.525
93	6	1	14	2	2	1	2.077	2	1	2	0.573
99	6	1	15	2	1	2	2.224	2	1	1	0.147
105	6	1	16	1	2	2	1.357	1	1	2	1.839
111	6	1	17	2	1	2	1.682	1	0	1	0.958
117	6	1	18	1	1	1	1.535	2	0	1	0.48
123	6	1	19	2	2	2	1.116	2	1	4	0.339
129	6	1	20	2	2	2	0.836	2	1	4	0.078
135	6	1	21	1	2	1	1.537	1	1	3	0.592
141	6	1	22	2	2	2	1.307	2	1	1	0.987
147	6	1	23	1	2	1	0.954	1	1	3	0.926
153	6	1	24	2	2	2	1.431	2	1	4	0.309
159	6	1	25	1	1	2	1.247	2	0	3	1.214
165	6	1	26	1	2	2	1.79	1	1	4	0.7
171	6	1	27	2	1	2	1.189	2	1	3	0.213
177	6	1	28	1	1	1	1.256	2	0	1	0.979
183	6	1	29	1	1	1	1.506	1	1	3	0.426
189	6	1	30	2	1	1	1.472	1	0	1	0.409
195	6	1	31	2	1	2	1.332	2	1	1	1.189
201	6	1	32	2	2	1	1.168	2	1	4	0.075
207	6	1	33	2	1	2	1.434	2	1	1	0.764
213	6	1	34	1	1	1	1.517	2	0	1	0.459
219	6	1	35	1	2	1	0.987	1	1	4	0.312
225	6	1	36	2	2	1	1.322	2	1	1	1.555
231	6	1	37	1	1	1	1.862	2	0	1	0.307
237	6	1	38	1	2	1	1.43	1	1	4	0.205
243	6	1	39	1	1	2	1.841	2	0	2	1.454
249	6	1	40	1	1	2	1.002	1	1	4	0.154
255	6	1	41	1	2	1	1.493	1	1	1	0.814
261	6	1	42	2	1	1	2.889	1	0	2	0.326
267	6	1	43	2	1	1	1.205	1	0	3	0.645
273	6	1	44	2	1	2	1.2	2	1	4	0.839
279	6	1	45	1	2	1	1.891	2	0	1	0.219
285	6	1	46	2	2	1	1.304	2	1	3	0.816
291	6	1	47	2	1	1	1.2	1	0	1	1.323
297	6	1	48	1	2	1	1.324	2	0	1	0.584
303	6	1	49	1	2	1	0.953	1	1	2	1.588
309	6	1	50	1	2	1	2.108	1	1	1	0.377
315	6	1	51	1	2	2	1.193	2	0	3	1.154
321	6	1	52	1	2	2	1.001	1	1	4	0.413
327	6	1	53	2	2	1	1.021	2	1	4	0.379
333	6	1	54	1	2	2	0.948	1	1	4	0.118
339	6	1	55	1	1	2	1.282	2	0	3	1.816
345	6	1	56	1	2	2	1.336	1	1	2	1.125
351	6	1	57	1	1	1	1.102	2	0	3	1.679
357	6	1	58	1	2	2	1.13	1	1	3	0.55
363	6	1	59	2	2	2	1.213	2	1	2	1.235
369	6	1	60	2	1	1	1.631	2	1	4	0.298
375	6	1	61	2	2	2	1.293	2	1	4	0.717
381	6	1	62	2	1	2	1.16	2	1	3	0.72
387	6	1	63	2	1	2	1.123	2	1	1	0.564
393	6	1	64	1	1	1	1.027	1	1	4	0.175
399	6	1	65	1	1	1	1.294	1	1	3	0.687
405	6	1	66	2	1	1	1.112	2	1	2	1.579
411	6	1	67	1	2	2	1.333	1	1	3	1.067
417	6	1	68	2	1	1	1.093	2	1	4	0.942
423	6	1	69	2	2	1	1.476	2	1	1	0.84
429	6	1	70	1	2	2	2.148	1	1	3	0.561
435	6	1	71	2	2	1	1.843	1	0	1	0.388
441	6	1	72	1	1	1	1.704	1	1	4	0.973
447	6	1	73	1	1	1	1.257	1	1	3	1.645
453	6	1	74	2	2	2	1.403	2	1	4	0.387
459	6	1	75	2	2	1	1.277	2	1	2	0.593
465	6	1	76	2	1	1	1.443	1	0	1	0.752
471	6	1	77	2	1	1	1.497	2	1	3	0.963
477	6	1	78	1	2	1	1.119	1	1	1	1.665
483	6	1	79	2	1	1	1.608	2	1	1	0.553
489	6	1	80	1	2	1	1.903	2	0	1	0.463
495	6	1	81	2	1	2	1.626	1	0	2	1.034
501	6	1	82	1	1	2	1.993	1	1	1	0.337
507	6	1	83	1	1	2	1.422	1	1	2	1.576
513	6	1	84	2	1	1	1.81	2	1	2	1.172
519	6	1	85	2	2	2	1.465	2	1	4	0.248
525	6	1	86	2	1	2	1.661	2	1	3	0.88
531	6	1	87	1	1	2	1.121	2	0	1	1.03
537	6	1	88	1	1	2	1.456	1	1	3	0.237
543	6	1	89	1	2	1	1.023	1	1	4	0.186
549	6	1	90	2	2	1	1.793	2	1	1	0.789
555	6	1	91	2	1	1	1.007	2	1	4	0.292
561	6	1	92	2	2	2	1.362	1	0	1	0.259
567	6	1	93	1	2	2	1.932	1	1	1	0.249
573	6	1	94	1	1	1	1.6	1	1	3	0.43
579	6	1	95	1	2	2	1.208	1	1	1	1.126
585	6	1	96	1	2	2	1.051	2	0	4	0.041
