onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	3	2	1	0.664	1
15	1	1	2	3	2	1	0.827	2
18	1	1	3	3	1	2	0.781	4
21	1	1	4	3	1	1	0.609	4
24	1	1	5	3	1	1	0.596	4
27	1	1	6	3	1	2	0.602	4
30	1	1	7	3	2	2	0.893	2
33	1	1	8	3	1	2	0.96	4
36	1	1	9	3	2	2	1.516	2
39	1	1	10	3	1	1	0.944	4
42	1	1	11	3	2	2	0.692	1
45	1	1	12	3	2	1	1.062	1
63	1	2	1	1	1	2	0.62	1
66	1	2	2	1	2	1	0.703	2
69	1	2	3	1	1	1	1.306	3
72	1	2	4	1	2	2	0.885	4
75	1	2	5	1	1	2	0.772	4
78	1	2	6	1	2	1	0.702	4
81	1	2	7	1	2	2	0.729	3
84	1	2	8	1	2	2	1.228	3
87	1	2	9	1	1	1	1.218	3
90	1	2	10	1	1	2	1.019	4
93	1	2	11	1	1	1	0.823	4
96	1	2	12	1	2	1	0.995	3
114	1	3	1	2	1	2	0.833	4
117	1	3	2	2	2	2	1.138	2
120	1	3	3	2	2	1	1.114	3
123	1	3	4	2	2	2	1.04	3
126	1	3	5	2	1	2	1.298	1
129	1	3	6	2	1	2	1.2	3
132	1	3	7	2	2	1	0.925	4
135	1	3	8	2	1	1	1.718	2
138	1	3	9	2	1	1	1.27	3
141	1	3	10	2	2	2	0.924	3
144	1	3	11	2	2	1	0.714	3
147	1	3	12	2	1	1	0.758	1
165	1	4	1	1	1	1	0.738	4
168	1	4	2	1	1	2	0.586	4
171	1	4	3	1	2	2	0.955	2
174	1	4	4	1	2	2	0.779	4
177	1	4	5	1	1	1	0.589	4
180	1	4	6	1	2	1	0.913	1
183	1	4	7	1	1	1	0.817	2
186	1	4	8	1	2	2	0.884	2
189	1	4	9	1	2	1	0.97	1
192	1	4	10	1	2	1	1.113	3
195	1	4	11	1	1	2	0.716	3
198	1	4	12	1	1	2	0.748	4
216	1	5	1	3	2	1	0.863	1
219	1	5	2	3	1	1	0.689	4
222	1	5	3	3	2	2	0.749	1
225	1	5	4	3	2	2	0.819	2
228	1	5	5	3	2	2	0.953	4
231	1	5	6	3	1	2	1.232	4
234	1	5	7	3	2	1	0.714	1
237	1	5	8	3	1	2	0.627	4
240	1	5	9	3	2	1	0.552	1
243	1	5	10	3	1	1	0.496	4
246	1	5	11	3	1	2	1.082	4
249	1	5	12	3	1	1	0.622	4
267	1	6	1	2	2	2	0.966	2
270	1	6	2	2	2	2	0.729	3
273	1	6	3	2	1	1	0.857	2
276	1	6	4	2	2	2	0.753	1
279	1	6	5	2	2	1	0.741	3
282	1	6	6	2	1	2	0.874	3
285	1	6	7	2	1	1	0.977	1
288	1	6	8	2	2	1	1.021	4
291	1	6	9	2	1	1	1.02	3
294	1	6	10	2	1	2	0.772	2
297	1	6	11	2	1	2	0.874	1
300	1	6	12	2	2	1	0.9	2
