onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	2	1.223	1
15	1	1	2	1	1	1	1.169	1
18	1	1	3	1	1	2	0.845	1
21	1	1	4	1	1	1	1.736	3
24	1	1	5	1	2	2	1.122	1
27	1	1	6	1	2	1	1.391	1
30	1	1	7	1	2	1	1.071	1
33	1	1	8	1	2	2	1.158	1
36	1	1	9	1	2	1	0.966	1
39	1	1	10	1	2	2	1.211	2
42	1	1	11	1	1	2	0.863	4
45	1	1	12	1	1	1	1.547	3
63	1	2	1	2	1	1	1.37	1
66	1	2	2	2	2	1	 n/a	 n/a
69	1	2	3	2	1	2	1.369	1
72	1	2	4	2	2	2	1.312	4
75	1	2	5	2	1	2	1.478	3
78	1	2	6	2	2	1	 n/a	 n/a
81	1	2	7	2	1	1	1.146	1
84	1	2	8	2	2	1	1.061	1
87	1	2	9	2	1	2	 n/a	 n/a
90	1	2	10	2	2	2	1.69	2
93	1	2	11	2	2	2	0.905	1
96	1	2	12	2	1	1	1.456	2
114	1	3	1	1	1	2	 n/a	 n/a
117	1	3	2	1	2	2	1.336	2
120	1	3	3	1	2	2	1.659	2
123	1	3	4	1	2	2	1.274	4
126	1	3	5	1	2	1	1.338	3
129	1	3	6	1	2	1	 n/a	 n/a
132	1	3	7	1	1	2	 n/a	 n/a
135	1	3	8	1	1	1	1.333	2
138	1	3	9	1	1	2	1.625	2
141	1	3	10	1	1	1	1.52	3
144	1	3	11	1	2	1	1.467	2
147	1	3	12	1	1	1	0.753	1
165	1	4	1	2	2	1	1.59	2
168	1	4	2	2	1	2	0.856	3
171	1	4	3	2	1	2	1.546	3
174	1	4	4	2	2	2	1.492	3
177	1	4	5	2	1	1	0.841	3
180	1	4	6	2	2	2	0.896	4
183	1	4	7	2	2	2	1.679	2
186	1	4	8	2	1	1	0.988	1
189	1	4	9	2	1	1	1.818	1
192	1	4	10	2	1	2	1.394	2
195	1	4	11	2	2	1	1.328	3
198	1	4	12	2	2	1	1.052	4
