onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	1	0.946	2
15	1	1	2	1	1	1	1.148	2
18	1	1	3	1	1	1	0.641	1
21	1	1	4	1	2	2	0.883	2
24	1	1	5	1	1	2	0.928	2
27	1	1	6	1	1	2	0.816	1
30	1	1	7	1	2	2	0.945	2
33	1	1	8	1	2	2	0.991	2
36	1	1	9	1	2	1	0.854	1
39	1	1	10	1	1	2	0.894	1
42	1	1	11	1	1	1	1.108	1
45	1	1	12	1	2	1	0.888	3
63	1	2	1	2	2	2	0.749	4
66	1	2	2	2	2	2	0.874	4
69	1	2	3	2	1	1	1.176	1
72	1	2	4	2	2	1	1.155	3
75	1	2	5	2	1	1	1.095	1
78	1	2	6	2	2	1	1.17	1
81	1	2	7	2	2	1	0.917	3
84	1	2	8	2	2	2	0.688	4
87	1	2	9	2	1	1	0.708	1
90	1	2	10	2	1	2	0.736	1
93	1	2	11	2	1	2	0.577	1
96	1	2	12	2	1	2	0.526	1
114	1	3	1	1	2	2	1.043	1
117	1	3	2	1	1	2	0.912	4
120	1	3	3	1	2	2	0.855	1
123	1	3	4	1	2	2	0.902	3
126	1	3	5	1	2	1	0.971	4
129	1	3	6	1	2	1	0.94	3
132	1	3	7	1	1	1	0.702	1
135	1	3	8	1	1	1	0.885	4
138	1	3	9	1	2	1	1.066	1
141	1	3	10	1	1	2	0.893	3
144	1	3	11	1	1	2	0.917	1
147	1	3	12	1	1	1	1.095	3
165	1	4	1	2	1	1	0.671	1
168	1	4	2	2	2	1	0.969	3
171	1	4	3	2	2	1	1.02	4
174	1	4	4	2	1	1	0.958	3
177	1	4	5	2	2	2	1.026	3
180	1	4	6	2	1	2	0.737	1
183	1	4	7	2	2	2	0.933	3
186	1	4	8	2	2	2	1.019	3
189	1	4	9	2	2	1	0.894	4
192	1	4	10	2	1	1	0.76	1
195	1	4	11	2	1	2	0.727	2
198	1	4	12	2	1	2	1.062	3
