onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	3	2	2	0.614	1
15	1	1	2	3	2	2	0.833	1
18	1	1	3	3	1	1	0.82	4
21	1	1	4	3	1	1	0.82	3
24	1	1	5	3	1	2	0.554	4
27	1	1	6	3	1	1	0.649	4
30	1	1	7	3	1	2	0.612	4
33	1	1	8	3	2	1	0.627	1
36	1	1	9	3	2	2	0.929	2
39	1	1	10	3	2	1	0.842	1
42	1	1	11	3	2	1	0.719	1
45	1	1	12	3	1	2	0.66	4
63	1	2	1	2	2	2	0.977	3
66	1	2	2	2	1	2	1.166	2
69	1	2	3	2	2	1	1.206	3
72	1	2	4	2	1	1	0.804	1
75	1	2	5	2	2	1	0.96	3
78	1	2	6	2	2	2	0.881	3
81	1	2	7	2	2	1	1.171	2
84	1	2	8	2	1	1	1.02	2
87	1	2	9	2	1	1	1.254	2
90	1	2	10	2	1	2	0.811	1
93	1	2	11	2	1	2	0.792	2
96	1	2	12	2	2	2	0.811	3
114	1	3	1	1	1	1	1.105	2
117	1	3	2	1	1	2	1.227	3
120	1	3	3	1	1	1	0.805	3
123	1	3	4	1	1	2	1.065	4
126	1	3	5	1	1	1	1.071	2
129	1	3	6	1	2	2	0.968	1
132	1	3	7	1	2	2	0.884	1
135	1	3	8	1	2	2	1.175	1
138	1	3	9	1	2	1	0.821	1
141	1	3	10	1	1	2	1.606	3
144	1	3	11	1	2	1	0.886	3
147	1	3	12	1	2	1	0.641	4
165	1	4	1	3	1	2	0.922	3
168	1	4	2	3	2	1	0.712	1
171	1	4	3	3	1	1	0.945	3
174	1	4	4	3	1	2	0.5	4
177	1	4	5	3	2	1	0.909	1
180	1	4	6	3	2	2	0.722	1
183	1	4	7	3	1	2	0.664	4
186	1	4	8	3	2	2	0.693	1
189	1	4	9	3	1	1	0.683	4
192	1	4	10	3	2	1	1.019	2
195	1	4	11	3	1	1	1.071	3
198	1	4	12	3	2	2	0.805	1
216	1	5	1	1	1	2	1.062	2
219	1	5	2	1	1	1	1.2	2
222	1	5	3	1	1	2	0.692	3
225	1	5	4	1	1	1	0.883	1
228	1	5	5	1	1	2	1.04	2
231	1	5	6	1	2	1	0.853	1
234	1	5	7	1	2	1	1.544	3
237	1	5	8	1	2	2	0.826	2
240	1	5	9	1	2	1	1.077	1
243	1	5	10	1	2	2	1.36	1
246	1	5	11	1	1	1	0.945	3
249	1	5	12	1	2	2	0.912	1
267	1	6	1	2	1	1	1.039	3
270	1	6	2	2	2	2	0.905	4
273	1	6	3	2	1	2	1.077	2
276	1	6	4	2	2	1	0.907	2
279	1	6	5	2	1	2	1.035	2
282	1	6	6	2	2	1	0.857	3
285	1	6	7	2	2	1	0.913	3
288	1	6	8	2	1	1	0.954	2
291	1	6	9	2	2	2	1.211	3
294	1	6	10	2	2	2	1.202	2
297	1	6	11	2	1	1	1.032	1
300	1	6	12	2	1	2	0.608	1
