onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	1	2	1.472	1
15	1	1	2	1	2	1	0.93	1
18	1	1	3	1	2	2	1.385	2
21	1	1	4	1	2	1	0.776	1
24	1	1	5	1	1	1	1.037	2
27	1	1	6	1	1	2	1.214	2
30	1	1	7	1	2	2	0.986	2
33	1	1	8	1	1	2	1.479	2
36	1	1	9	1	1	1	0.945	1
39	1	1	10	1	2	1	1.394	2
42	1	1	11	1	1	1	0.889	2
45	1	1	12	1	2	2	1.036	3
63	1	2	1	2	1	2	1.29	1
66	1	2	2	2	2	2	1.172	3
69	1	2	3	2	1	1	1.386	3
72	1	2	4	2	2	2	1.327	2
75	1	2	5	2	2	2	1.246	3
78	1	2	6	2	2	1	1.52	3
81	1	2	7	2	1	2	1.124	1
84	1	2	8	2	1	1	0.789	1
87	1	2	9	2	1	1	0.759	1
90	1	2	10	2	2	1	1.231	2
93	1	2	11	2	2	1	1.199	3
96	1	2	12	2	1	2	0.833	1
114	1	3	1	1	2	2	1.224	2
117	1	3	2	1	1	2	1.18	4
120	1	3	3	1	2	1	1.186	2
123	1	3	4	1	1	1	1.019	2
126	1	3	5	1	1	2	0.998	2
129	1	3	6	1	2	2	0.838	1
132	1	3	7	1	2	1	0.88	1
135	1	3	8	1	2	2	1.773	3
138	1	3	9	1	1	2	1.019	2
141	1	3	10	1	1	1	1.067	3
144	1	3	11	1	1	1	1.192	3
147	1	3	12	1	2	1	0.849	2
165	1	4	1	2	1	1	1.027	2
168	1	4	2	2	2	2	0.963	3
171	1	4	3	2	1	2	0.82	2
174	1	4	4	2	1	2	0.776	1
177	1	4	5	2	2	1	0.823	4
180	1	4	6	2	2	1	1.322	3
183	1	4	7	2	1	2	0.963	3
186	1	4	8	2	1	1	0.659	1
189	1	4	9	2	1	1	1.1	1
192	1	4	10	2	2	2	1.389	2
195	1	4	11	2	2	2	1.063	3
198	1	4	12	2	2	1	0.843	3
