onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	2	1.125	1
15	1	1	2	1	2	1	1.049	2
18	1	1	3	1	1	1	0.851	3
21	1	1	4	1	2	2	0.88	2
24	1	1	5	1	2	1	0.694	1
27	1	1	6	1	1	1	1.09	3
30	1	1	7	1	2	1	0.866	3
33	1	1	8	1	1	2	1.224	1
36	1	1	9	1	2	2	0.835	2
39	1	1	10	1	1	2	0.812	1
42	1	1	11	1	1	2	1.37	3
45	1	1	12	1	1	1	1.075	2
63	1	2	1	2	2	2	1.077	2
66	1	2	2	2	2	2	1.116	3
69	1	2	3	2	2	1	1.208	2
72	1	2	4	2	1	2	1.268	2
75	1	2	5	2	1	1	0.761	1
78	1	2	6	2	2	1	0.851	3
81	1	2	7	2	2	2	0.902	2
84	1	2	8	2	1	2	0.918	1
87	1	2	9	2	1	1	0.901	1
90	1	2	10	2	1	1	1.305	2
93	1	2	11	2	2	1	1.221	3
96	1	2	12	2	1	2	1.376	2
114	1	3	1	1	1	1	1.466	3
117	1	3	2	1	1	2	0.971	1
120	1	3	3	1	2	1	1.035	2
123	1	3	4	1	2	1	0.977	2
126	1	3	5	1	2	2	1.323	2
129	1	3	6	1	2	1	0.986	2
132	1	3	7	1	2	2	0.897	1
135	1	3	8	1	2	2	1.043	1
138	1	3	9	1	1	1	1.087	3
141	1	3	10	1	1	2	0.715	1
144	1	3	11	1	1	2	0.708	4
147	1	3	12	1	1	1	0.809	3
165	1	4	1	3	2	1	0.655	1
168	1	4	2	3	2	1	0.779	1
171	1	4	3	3	1	1	0.757	4
174	1	4	4	3	1	1	1.141	3
177	1	4	5	3	2	1	0.773	1
180	1	4	6	3	1	2	1.669	4
183	1	4	7	3	1	2	1.385	3
186	1	4	8	3	1	2	0.621	4
189	1	4	9	3	2	2	0.753	1
192	1	4	10	3	1	1	1.143	3
195	1	4	11	3	2	2	1.126	1
198	1	4	12	3	2	2	1.157	2
216	1	5	1	2	1	1	0.743	1
219	1	5	2	2	2	2	1.026	3
222	1	5	3	2	1	2	0.734	1
225	1	5	4	2	2	2	1.118	3
228	1	5	5	2	2	1	1.53	3
231	1	5	6	2	1	1	0.73	1
234	1	5	7	2	2	2	0.979	3
237	1	5	8	2	2	1	1.086	3
240	1	5	9	2	1	2	0.924	1
243	1	5	10	2	1	1	0.699	1
246	1	5	11	2	2	1	0.983	2
249	1	5	12	2	1	2	1.041	1
267	1	6	1	3	1	1	1.064	4
270	1	6	2	3	1	1	0.884	3
273	1	6	3	3	2	1	0.704	1
276	1	6	4	3	2	1	0.817	1
279	1	6	5	3	2	2	0.835	1
282	1	6	6	3	1	1	0.736	4
285	1	6	7	3	2	2	0.731	1
288	1	6	8	3	1	2	0.539	4
291	1	6	9	3	1	2	0.769	4
294	1	6	10	3	2	2	1.02	1
297	1	6	11	3	1	2	0.493	4
300	1	6	12	3	2	1	0.625	1
