onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	1	2	1	2.564	2	0	1	0.948
21	6	1	2	1	2	1	1.751	1	1	4	0.238
27	6	1	3	1	2	2	1.378	1	1	4	0.162
33	6	1	4	2	1	2	2.876	2	1	2	0.901
39	6	1	5	2	1	2	1.564	1	0	4	1.043
45	6	1	6	1	1	1	3.458	1	1	4	0.646
51	6	1	7	1	1	1	2.538	2	0	3	0.532
57	6	1	8	1	1	2	1.764	1	1	4	0.202
63	6	1	9	2	2	1	2.56	2	1	3	0.764
69	6	1	10	1	1	2	2.362	1	1	1	0.845
75	6	1	11	2	2	2	1.444	2	1	4	0.134
81	6	1	12	2	2	2	3.031	1	0	1	0.154
87	6	1	13	1	1	1	2.638	1	1	4	0.2
93	6	1	14	1	1	2	1.128	1	1	4	0.04
99	6	1	15	1	1	1	3.048	2	0	3	0.59
105	6	1	16	2	2	2	2.188	2	1	3	1.072
111	6	1	17	2	2	1	2.726	1	0	2	0.602
117	6	1	18	1	1	2	2.391	1	1	3	0.266
123	6	1	19	2	2	1	1.817	2	1	4	0.168
129	6	1	20	2	1	1	1.614	2	1	3	0.586
135	6	1	21	2	2	2	1.464	2	1	4	0.164
141	6	1	22	1	2	2	1.775	1	1	4	0.588
147	6	1	23	2	1	2	2.87	2	1	2	1.265
153	6	1	24	2	2	1	1.549	2	1	4	0.033
159	6	1	25	1	2	1	1.371	1	1	4	0.102
165	6	1	26	1	2	2	1.425	1	1	4	0.111
171	6	1	27	1	2	2	3.328	2	0	1	0.384
177	6	1	28	2	1	1	1.553	2	1	2	0.192
183	6	1	29	1	2	1	1.577	1	1	4	0.196
189	6	1	30	1	1	2	2.182	2	0	3	0.335
195	6	1	31	2	2	2	2.007	2	1	4	0.122
201	6	1	32	2	2	2	3.064	2	1	3	0.579
207	6	1	33	2	2	1	2.862	2	1	3	0.792
213	6	1	34	1	1	2	2.058	2	0	3	0.228
219	6	1	35	2	2	2	1.476	2	1	4	0.185
225	6	1	36	1	1	1	2.301	1	1	4	0.172
231	6	1	37	1	2	2	2.243	1	1	4	0.096
237	6	1	38	2	1	2	2.772	2	1	4	1.058
243	6	1	39	2	2	2	2.654	2	1	4	0.14
249	6	1	40	1	1	2	2.868	2	0	3	0.643
255	6	1	41	2	1	1	2.029	2	1	4	0.14
261	6	1	42	2	2	2	1.148	2	1	4	0.139
267	6	1	43	2	1	2	1.695	2	1	4	0.146
273	6	1	44	2	1	2	1.393	2	1	4	0.111
279	6	1	45	2	1	1	1.508	1	0	4	0.189
285	6	1	46	2	1	2	2.367	2	1	4	0.157
291	6	1	47	1	2	2	1.311	1	1	4	0.12
297	6	1	48	2	2	1	1.86	2	1	4	0.133
303	6	1	49	2	2	1	1.59	1	0	4	0.101
309	6	1	50	2	2	1	2.508	1	0	1	0.193
315	6	1	51	2	1	2	4.475	2	1	4	0.083
321	6	1	52	1	2	1	1.813	1	1	3	0.241
327	6	1	53	2	2	2	1.078	2	1	4	0.103
333	6	1	54	2	1	1	2.211	2	1	4	0.258
339	6	1	55	2	1	2	1.975	2	1	4	0.124
345	6	1	56	1	2	1	1.424	1	1	4	0.076
351	6	1	57	1	1	2	3.597	2	0	3	0.668
357	6	1	58	2	1	1	2.797	2	1	4	0.218
363	6	1	59	2	2	1	2.846	2	1	4	0.078
369	6	1	60	1	1	2	1.547	1	1	3	0.432
375	6	1	61	1	1	1	1.727	1	1	4	0.165
381	6	1	62	2	2	2	1.244	2	1	4	0.056
387	6	1	63	1	2	1	3.493	1	1	4	0.499
393	6	1	64	1	1	1	1.317	1	1	4	0.044
399	6	1	65	2	2	1	1.557	2	1	4	0.57
405	6	1	66	1	2	1	2.02	1	1	4	0.159
411	6	1	67	2	1	1	3.172	2	1	4	0.148
417	6	1	68	2	1	2	2.957	2	1	2	0.168
423	6	1	69	1	2	2	1.8	1	1	4	0.182
429	6	1	70	1	1	1	1.385	1	1	4	0.34
435	6	1	71	1	1	1	1.573	1	1	4	0.065
441	6	1	72	2	1	1	1.487	2	1	4	0.077
447	6	1	73	2	1	2	1.247	2	1	4	0.139
453	6	1	74	1	1	1	1.38	2	0	4	0.269
459	6	1	75	2	1	1	2.313	2	1	4	0.039
465	6	1	76	1	2	2	1.224	1	1	4	0.086
471	6	1	77	2	1	1	2.655	1	0	4	0.24
477	6	1	78	1	2	1	1.572	1	1	4	0.045
483	6	1	79	2	1	1	2.723	2	1	4	0.08
489	6	1	80	1	1	2	1.594	1	1	4	0.144
495	6	1	81	2	1	1	3.36	1	0	2	0.119
501	6	1	82	1	2	1	1.506	2	0	4	0.133
507	6	1	83	1	2	1	2.747	1	1	2	0.058
513	6	1	84	1	1	2	1.852	1	1	3	0.412
519	6	1	85	1	2	1	1.409	1	1	4	0.107
525	6	1	86	2	2	1	2.258	2	1	4	0.093
531	6	1	87	1	2	2	1.628	1	1	4	0.107
537	6	1	88	2	1	2	1.331	1	0	4	0.107
543	6	1	89	1	2	2	1.122	1	1	4	0.104
549	6	1	90	1	2	2	0.853	1	1	4	0.066
555	6	1	91	2	2	1	2.3	2	1	3	0.154
561	6	1	92	1	1	1	2.052	1	1	4	0.071
567	6	1	93	1	2	2	2.376	1	1	4	0.067
573	6	1	94	1	1	2	3.71	2	0	2	0.118
579	6	1	95	2	2	2	1.293	1	0	4	0.059
585	6	1	96	1	1	1	1.174	1	1	4	0.353
