onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	1	2	1	1.158	2	0	 n/a	 n/a
21	6	1	2	1	2	2	1.63	1	1	4	0.853
27	6	1	3	2	1	1	1.296	1	0	3	0.824
33	6	1	4	2	2	2	1.04	2	1	4	0.558
39	6	1	5	2	1	1	1.164	1	0	4	0.332
45	6	1	6	1	2	1	1.562	1	1	4	0.276
51	6	1	7	2	1	1	1.427	1	0	4	0.227
57	6	1	8	1	2	1	1.879	2	0	2	1.231
63	6	1	9	2	1	1	2.017	1	0	3	0.438
69	6	1	10	2	1	1	2.686	2	1	3	0.951
75	6	1	11	2	1	1	1.694	1	0	3	1.784
81	6	1	12	2	2	1	1.486	2	1	4	1.007
87	6	1	13	2	2	1	1.616	2	1	4	0.634
93	6	1	14	2	2	1	3.991	2	1	2	0.658
99	6	1	15	2	2	1	1.797	2	1	4	0.22
105	6	1	16	2	1	1	1.364	1	0	3	0.497
111	6	1	17	2	2	2	0.964	2	1	4	0.619
117	6	1	18	2	2	2	1.834	2	1	3	0.496
123	6	1	19	1	1	1	1.778	2	0	3	0.622
129	6	1	20	2	1	1	2.807	1	0	2	0.519
135	6	1	21	1	1	2	1.19	1	1	4	0.145
141	6	1	22	1	1	2	1.204	1	1	4	0.171
147	6	1	23	2	2	1	1.189	2	1	4	0.196
153	6	1	24	2	1	2	0.914	2	1	3	0.431
159	6	1	25	2	2	2	1.012	2	1	4	0.08
165	6	1	26	1	2	2	1.056	1	1	1	0.23
171	6	1	27	1	2	2	0.792	1	1	4	0.058
177	6	1	28	1	2	1	2.143	2	0	3	0.509
183	6	1	29	1	2	2	0.969	1	1	4	0.157
189	6	1	30	1	1	1	1.596	1	1	3	0.927
195	6	1	31	1	2	2	1.005	1	1	4	0.524
201	6	1	32	1	1	2	1.868	1	1	2	1.061
207	6	1	33	1	2	1	1.634	2	0	2	0.677
213	6	1	34	2	2	2	2.253	2	1	2	0.784
219	6	1	35	1	2	1	2.276	1	1	2	1.204
225	6	1	36	1	1	2	2.328	1	1	2	0.377
231	6	1	37	2	2	2	1.369	2	1	4	0.294
237	6	1	38	1	2	1	1.184	1	1	1	1.127
243	6	1	39	2	1	1	1.636	2	1	2	0.845
249	6	1	40	1	2	2	1.52	1	1	4	0.153
255	6	1	41	1	1	1	1.403	1	1	4	0.006
261	6	1	42	1	1	2	1.046	1	1	3	0.348
267	6	1	43	1	1	1	0.873	1	1	2	0.544
273	6	1	44	1	2	2	1.618	1	1	4	0.006
279	6	1	45	1	2	1	1.178	1	1	4	0.958
285	6	1	46	2	2	1	1.381	2	1	4	0.649
291	6	1	47	2	2	1	1.509	2	1	4	0.398
297	6	1	48	1	1	1	2.999	1	1	2	0.764
303	6	1	49	1	1	1	1.598	1	1	3	0.326
309	6	1	50	1	1	2	1.519	1	1	4	0.016
315	6	1	51	1	1	2	0.934	1	1	2	1.915
321	6	1	52	1	2	2	1.184	1	1	4	0.166
327	6	1	53	2	1	1	1.204	1	0	2	0.866
333	6	1	54	2	1	2	1.355	2	1	4	0.216
339	6	1	55	1	1	2	1.682	1	1	4	0.216
345	6	1	56	2	1	2	2.151	2	1	4	0.212
351	6	1	57	2	2	1	1.278	1	0	3	0.361
357	6	1	58	2	1	2	2.354	2	1	2	0.188
363	6	1	59	1	1	1	2.292	1	1	2	0.514
369	6	1	60	2	2	2	0.937	2	1	4	0.395
375	6	1	61	2	2	1	1.42	2	1	4	0.421
381	6	1	62	2	1	2	1.179	1	0	2	0.413
387	6	1	63	2	2	2	1.102	2	1	4	0.909
393	6	1	64	1	2	2	1.066	1	1	4	0.052
399	6	1	65	1	2	2	2.086	2	0	1	1.028
405	6	1	66	1	1	2	1.585	1	1	1	0.171
411	6	1	67	2	1	2	1.097	2	1	4	0.282
417	6	1	68	1	2	1	0.883	1	1	4	0.263
423	6	1	69	2	1	1	1.795	2	1	2	0.623
429	6	1	70	1	2	1	3.713	1	1	3	0.903
435	6	1	71	2	1	2	2.597	2	1	3	0.828
441	6	1	72	1	1	1	1.402	2	0	2	0.7
447	6	1	73	1	2	2	1.42	1	1	4	0.24
453	6	1	74	1	2	1	1.754	1	1	4	0.342
459	6	1	75	2	2	2	2.332	1	0	4	0.37
465	6	1	76	1	1	1	1.5	1	1	2	0.895
471	6	1	77	2	1	2	2.356	2	1	3	0.528
477	6	1	78	1	1	1	2.662	2	0	2	1.054
483	6	1	79	1	1	1	1.479	1	1	3	0.464
489	6	1	80	1	1	2	1.337	1	1	1	0.624
495	6	1	81	2	1	2	0.829	2	1	3	0.282
501	6	1	82	2	1	2	2.036	2	1	3	1.107
507	6	1	83	2	2	1	1.809	2	1	4	1.123
513	6	1	84	2	2	1	1.074	2	1	4	0.219
519	6	1	85	1	2	2	1.753	1	1	4	0.284
525	6	1	86	2	2	2	1.117	2	1	4	0.148
531	6	1	87	2	1	1	2.453	2	1	3	0.8
537	6	1	88	1	1	2	0.887	2	0	1	0.802
543	6	1	89	2	1	2	2.32	2	1	3	0.402
549	6	1	90	2	1	2	2.302	2	1	3	0.888
555	6	1	91	2	2	2	1.915	2	1	4	0.356
561	6	1	92	1	2	1	1.353	1	1	4	0.174
567	6	1	93	2	2	2	0.869	2	1	4	0.109
573	6	1	94	1	1	1	1.36	2	0	2	0.931
579	6	1	95	2	2	1	2.862	2	1	4	0.53
585	6	1	96	1	1	2	1.175	1	1	4	0.273
