onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	1	1	0.95	4
16.5	1	1	2	1	2	1	1.234	1
21	1	1	3	1	2	1	1.158	1
25.5	1	1	4	2	2	1	1.235	1
30	1	1	5	1	2	1	0.947	1
34.5	1	1	6	1	2	1	0.732	1
39	1	1	7	1	1	1	0.672	4
43.5	1	1	8	1	1	1	0.801	4
48	1	1	9	1	1	1	0.696	4
52.5	1	1	10	2	1	1	0.583	1
57	1	1	11	1	2	1	0.908	1
61.5	1	1	12	2	2	1	0.638	1
66	1	1	13	2	1	1	0.691	4
70.5	1	1	14	2	1	1	1.07	4
75	1	1	15	2	2	1	0.767	1
79.5	1	1	16	1	1	1	0.719	4
84	1	1	17	2	2	1	0.782	4
88.5	1	1	18	2	2	1	0.832	1
93	1	1	19	1	1	1	1.034	4
97.5	1	1	20	1	1	1	0.923	4
102	1	1	21	2	2	1	0.782	1
106.5	1	1	22	2	1	1	1.111	2
111	1	1	23	2	2	1	0.852	1
115.5	1	1	24	1	2	1	1.108	1
120	1	1	25	1	2	1	0.747	2
124.5	1	1	26	2	1	1	1.539	3
129	1	1	27	2	2	1	0.748	1
133.5	1	1	28	1	2	1	0.683	1
138	1	1	29	1	1	1	0.999	4
142.5	1	1	30	1	1	1	0.841	4
147	1	1	31	1	2	1	0.87	1
151.5	1	1	32	2	1	1	0.636	4
156	1	1	33	1	2	1	0.753	1
160.5	1	1	34	1	1	1	0.912	4
165	1	1	35	1	2	1	0.562	1
169.5	1	1	36	1	1	1	0.635	1
174	1	1	37	2	1	1	1.152	4
178.5	1	1	38	1	2	1	1.33	1
183	1	1	39	2	2	1	 n/a	 n/a
187.5	1	1	40	1	2	1	1.093	1
192	1	1	41	1	1	1	1.115	4
196.5	1	1	42	1	2	1	1.821	2
201	1	1	43	2	2	1	1.31	1
205.5	1	1	44	1	2	1	1.367	1
210	1	1	45	1	2	1	1.261	1
214.5	1	1	46	1	1	1	0.932	4
219	1	1	47	2	1	1	1.211	4
223.5	1	1	48	2	2	1	1.056	1
228	1	1	49	2	1	1	1.228	4
232.5	1	1	50	1	2	1	1.045	1
237	1	1	51	1	2	1	1.338	1
241.5	1	1	52	2	1	1	1.202	4
246	1	1	53	1	1	1	1.259	3
250.5	1	1	54	1	2	1	1.263	1
255	1	1	55	2	1	1	1.339	4
259.5	1	1	56	1	2	1	1.228	1
264	1	1	57	2	2	1	1.916	1
268.5	1	1	58	2	2	1	1.259	1
273	1	1	59	2	1	1	1.222	4
277.5	1	1	60	1	2	1	1.93	1
282	1	1	61	2	2	1	1.333	1
286.5	1	1	62	1	1	1	1.203	4
291	1	1	63	2	1	1	1.471	4
295.5	1	1	64	1	2	1	1.291	2
300	1	1	65	1	1	1	1.084	4
304.5	1	1	66	2	2	1	1.189	2
309	1	1	67	2	2	1	1.177	4
313.5	1	1	68	2	2	1	1.121	1
318	1	1	69	1	2	1	1.067	1
322.5	1	1	70	2	2	1	1.142	1
327	1	1	71	2	1	1	1.169	4
331.5	1	1	72	2	2	1	1.905	3
336	1	1	73	2	1	1	1.083	4
340.5	1	1	74	2	1	1	1.087	4
345	1	1	75	1	1	1	1.111	4
349.5	1	1	76	2	1	1	1.159	4
354	1	1	77	2	2	1	1.02	1
358.5	1	1	78	1	2	1	1.066	1
363	1	1	79	1	1	1	1.104	4
367.5	1	1	80	2	1	1	0.96	4
372	1	1	81	2	1	1	0.762	4
376.5	1	1	82	1	1	1	0.943	4
381	1	1	83	2	2	1	1.027	2
385.5	1	1	84	2	2	1	0.98	1
390	1	1	85	1	1	1	0.573	4
394.5	1	1	86	2	1	1	0.662	4
399	1	1	87	2	2	1	1.398	1
403.5	1	1	88	2	1	1	0.567	4
408	1	1	89	1	1	1	1.066	4
412.5	1	1	90	2	1	1	0.813	4
417	1	1	91	1	1	1	0.782	4
421.5	1	1	92	2	1	1	0.86	4
426	1	1	93	2	2	1	0.788	1
430.5	1	1	94	1	1	1	0.698	4
435	1	1	95	1	1	1	0.767	4
439.5	1	1	96	1	1	1	0.565	4
