onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	2	1	1.091	1
16.5	1	1	2	1	2	1	1.093	1
21	1	1	3	2	1	1	0.858	4
25.5	1	1	4	1	1	1	0.693	4
30	1	1	5	1	1	1	0.588	4
34.5	1	1	6	2	1	1	0.602	4
39	1	1	7	2	1	1	0.625	4
43.5	1	1	8	2	1	1	1.088	1
48	1	1	9	2	1	1	0.66	4
52.5	1	1	10	2	2	1	0.795	1
57	1	1	11	2	1	1	0.629	4
61.5	1	1	12	1	2	1	0.682	1
66	1	1	13	2	1	1	0.558	4
70.5	1	1	14	2	1	1	1.22	1
75	1	1	15	2	2	1	0.656	1
79.5	1	1	16	2	2	1	0.789	1
84	1	1	17	1	2	1	0.746	1
88.5	1	1	18	1	2	1	0.612	1
93	1	1	19	1	2	1	0.661	1
97.5	1	1	20	1	2	1	0.592	1
102	1	1	21	2	1	1	0.948	2
106.5	1	1	22	1	1	1	0.838	4
111	1	1	23	1	1	1	0.647	4
115.5	1	1	24	1	1	1	0.726	4
120	1	1	25	2	2	1	1.164	2
124.5	1	1	26	1	2	1	0.735	1
129	1	1	27	1	2	1	0.936	1
133.5	1	1	28	1	2	1	1.603	1
138	1	1	29	2	1	1	0.671	4
142.5	1	1	30	1	2	1	0.614	1
147	1	1	31	2	2	1	0.938	4
151.5	1	1	32	2	2	1	0.889	1
156	1	1	33	2	2	1	0.605	1
160.5	1	1	34	1	1	1	0.947	4
165	1	1	35	2	2	1	0.885	1
169.5	1	1	36	1	1	1	0.727	4
174	1	1	37	1	1	1	0.923	4
178.5	1	1	38	1	2	1	0.821	1
183	1	1	39	2	2	1	0.634	1
187.5	1	1	40	2	1	1	0.621	4
192	1	1	41	2	1	1	0.673	4
196.5	1	1	42	1	2	1	0.637	1
201	1	1	43	2	2	1	0.769	4
205.5	1	1	44	2	1	1	0.607	4
210	1	1	45	1	1	1	0.87	4
214.5	1	1	46	1	1	1	0.692	4
219	1	1	47	1	1	1	0.709	4
223.5	1	1	48	2	2	1	0.913	1
228	1	1	49	1	2	1	0.625	1
232.5	1	1	50	1	1	1	1.213	3
237	1	1	51	1	2	1	0.699	1
241.5	1	1	52	2	1	1	1.412	4
246	1	1	53	2	1	1	0.745	1
250.5	1	1	54	2	2	1	0.992	1
255	1	1	55	1	2	1	0.709	1
259.5	1	1	56	2	1	1	0.939	4
264	1	1	57	1	1	1	0.523	4
268.5	1	1	58	1	2	1	0.674	1
273	1	1	59	1	1	1	0.766	4
277.5	1	1	60	1	2	1	0.816	1
282	1	1	61	2	1	1	0.609	4
286.5	1	1	62	1	2	1	1.071	1
291	1	1	63	2	2	1	1.227	2
295.5	1	1	64	2	2	1	1.147	1
300	1	1	65	2	2	1	1.062	1
304.5	1	1	66	2	1	1	0.606	4
309	1	1	67	1	1	1	0.567	1
313.5	1	1	68	1	1	1	0.769	4
318	1	1	69	1	2	1	0.723	1
322.5	1	1	70	2	1	1	1.136	4
327	1	1	71	2	2	1	0.631	1
331.5	1	1	72	2	2	1	0.826	1
336	1	1	73	1	1	1	0.887	4
340.5	1	1	74	2	2	1	0.624	1
345	1	1	75	2	2	1	1.018	4
349.5	1	1	76	2	1	1	0.812	4
354	1	1	77	1	1	1	1.061	4
358.5	1	1	78	1	2	1	0.708	1
363	1	1	79	1	2	1	0.753	1
367.5	1	1	80	1	1	1	0.773	4
372	1	1	81	2	2	1	0.757	1
376.5	1	1	82	1	1	1	0.674	4
381	1	1	83	1	1	1	 NaN	 NaN
385.5	1	1	84	2	1	1	0.561	4
390	1	1	85	2	2	1	0.741	1
394.5	1	1	86	2	2	1	1.035	3
399	1	1	87	2	1	1	 NaN	 NaN
403.5	1	1	88	1	1	1	0.807	4
408	1	1	89	1	2	1	0.757	1
412.5	1	1	90	1	2	1	0.916	1
417	1	1	91	2	1	1	1.049	4
421.5	1	1	92	1	1	1	0.726	4
426	1	1	93	1	1	1	1.161	4
430.5	1	1	94	2	1	1	0.588	4
435	1	1	95	1	2	1	0.671	1
439.5	1	1	96	2	2	1	0.974	2
