onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	2	2	1	2.541	2	1	3	0.683
21	6	1	2	1	2	1	1.891	2	0	3	1.804
27	6	1	3	2	2	2	1.464	2	1	2	0.48
33	6	1	4	2	1	2	1.562	1	0	3	1.679
39	6	1	5	1	2	1	1.759	2	0	2	0.297
45	6	1	6	1	1	1	0.951	1	1	3	0.277
51	6	1	7	2	1	2	1.329	1	0	2	0.637
57	6	1	8	2	1	1	1.878	1	0	2	0.389
63	6	1	9	2	2	2	2.194	2	1	3	0.554
69	6	1	10	2	2	2	1.789	2	1	2	0.261
75	6	1	11	2	2	2	1.223	2	1	2	0.525
81	6	1	12	2	2	2	1.592	1	0	2	0.614
87	6	1	13	1	2	2	2.665	1	1	2	0.994
93	6	1	14	1	1	1	2.077	2	0	3	0.649
99	6	1	15	1	2	2	1.396	1	1	2	0.48
105	6	1	16	1	2	1	1.946	1	1	2	0.045
111	6	1	17	2	1	1	1.648	2	1	3	0.024
117	6	1	18	1	1	1	1.471	1	1	2	0.048
123	6	1	19	2	2	2	2.067	2	1	3	0.243
129	6	1	20	1	1	1	1.795	2	0	2	0.332
135	6	1	21	1	1	2	2.762	2	0	2	1.033
141	6	1	22	2	2	1	2.547	2	1	3	0.774
147	6	1	23	1	1	2	1.297	1	1	3	0.224
153	6	1	24	1	1	2	1.038	2	0	2	0.611
159	6	1	25	1	2	1	3.213	1	1	2	0.433
165	6	1	26	1	1	1	1.412	1	1	3	0.488
171	6	1	27	2	2	1	2.013	2	1	4	1.489
177	6	1	28	2	2	2	1.407	2	1	3	0.337
183	6	1	29	2	1	2	1.79	2	1	2	0.891
189	6	1	30	1	2	1	2.853	1	1	2	0.335
195	6	1	31	2	2	1	3.062	2	1	3	0.06
201	6	1	32	2	1	2	1.417	1	0	1	0.258
207	6	1	33	2	2	1	1.348	2	1	3	0.551
213	6	1	34	1	2	2	1.791	2	0	1	0.508
219	6	1	35	2	2	1	2.455	2	1	1	0.407
225	6	1	36	2	1	1	1.156	1	0	3	1.148
231	6	1	37	2	1	1	1.995	1	0	1	0.526
237	6	1	38	2	1	2	1.247	2	1	1	0.019
243	6	1	39	2	1	2	2.017	2	1	3	1.148
249	6	1	40	1	2	1	1.855	2	0	1	0.164
255	6	1	41	1	2	1	1.712	2	0	3	0.253
261	6	1	42	1	1	1	1.665	1	1	1	0.005
267	6	1	43	2	1	2	2.218	1	0	2	0.667
273	6	1	44	2	2	2	1.27	2	1	3	2.005
279	6	1	45	1	2	2	1.204	1	1	3	1.131
285	6	1	46	1	1	1	1.468	2	0	2	0.423
291	6	1	47	2	1	1	1.274	2	1	2	0.255
297	6	1	48	1	2	1	2.376	1	1	2	0.28
303	6	1	49	1	1	1	1.676	2	0	3	0.149
309	6	1	50	1	1	2	0.981	1	1	1	0.271
315	6	1	51	2	2	1	1.221	2	1	1	0.331
321	6	1	52	2	1	1	0.405	1	0	1	0.171
327	6	1	53	1	2	2	1.757	1	1	3	0.564
333	6	1	54	2	1	2	1.212	2	1	4	0.542
339	6	1	55	2	1	2	2.97	2	1	1	1.621
345	6	1	56	1	1	2	1.383	2	0	3	0.683
351	6	1	57	1	1	1	1.681	1	1	3	0.441
357	6	1	58	2	1	1	2.182	2	1	2	0.397
363	6	1	59	1	1	2	1.847	1	1	3	0.207
369	6	1	60	1	1	1	1.164	1	1	2	0.061
375	6	1	61	1	2	2	3.206	1	1	1	0.021
381	6	1	62	2	2	2	1.117	2	1	1	0.087
387	6	1	63	1	2	2	1.229	2	0	2	0.612
393	6	1	64	1	2	1	1.639	2	0	1	0.284
399	6	1	65	2	2	1	1.713	2	1	4	0.74
405	6	1	66	1	1	2	2.065	2	0	1	0.209
411	6	1	67	1	2	2	1.427	1	1	3	0.509
417	6	1	68	2	1	1	1.278	2	1	3	0.262
423	6	1	69	1	2	1	1.417	2	0	2	0.76
429	6	1	70	2	1	2	0.96	2	1	1	0.316
435	6	1	71	2	1	1	1.068	2	1	1	0.964
441	6	1	72	1	1	2	7	7	0	 n/a	 n/a
447	6	1	73	2	2	1	1.443	2	1	1	0.748
453	6	1	74	2	2	1	1.69	2	1	4	1.741
459	6	1	75	2	2	2	0.985	2	1	3	0.922
465	6	1	76	2	1	1	1.589	1	0	1	0.966
471	6	1	77	1	1	2	1.378	2	0	3	0.286
477	6	1	78	2	2	1	1.371	2	1	3	0.806
483	6	1	79	2	1	1	1.457	1	0	1	0.034
489	6	1	80	2	1	2	7	7	0	 n/a	 n/a
495	6	1	81	2	2	2	1.45	2	1	1	1.35
501	6	1	82	1	2	2	1.61	2	0	1	0.247
507	6	1	83	1	1	1	0.958	1	1	3	0.304
513	6	1	84	1	1	2	1.19	2	0	1	0.071
519	6	1	85	1	1	1	2.547	1	1	2	0.537
525	6	1	86	2	2	1	1.213	2	1	3	1.579
531	6	1	87	2	2	2	1.755	2	1	3	0.46
537	6	1	88	1	1	2	1.307	2	0	2	0.354
543	6	1	89	2	1	1	0.93	2	1	2	0.058
549	6	1	90	1	2	1	1.631	2	0	3	2.756
555	6	1	91	1	2	2	1.193	1	1	3	0.407
561	6	1	92	1	2	2	1.537	1	1	3	0.822
567	6	1	93	2	1	2	1.677	2	1	1	0.115
573	6	1	94	1	1	2	2.226	2	0	3	1.357
579	6	1	95	1	2	1	1.475	2	0	3	0.979
585	6	1	96	1	2	2	3.852	1	1	2	0.737
