onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	3	1	2	1.062	4
15	1	1	2	3	1	1	0.564	4
18	1	1	3	3	1	2	1.238	4
21	1	1	4	3	2	2	0.844	1
24	1	1	5	3	1	1	0.699	4
27	1	1	6	3	2	1	0.821	1
30	1	1	7	3	2	1	1.737	3
33	1	1	8	3	2	2	1.921	2
36	1	1	9	3	2	1	1.753	2
39	1	1	10	3	2	2	0.629	1
42	1	1	11	3	1	1	1.042	3
45	1	1	12	3	1	2	0.894	4
63	1	2	1	2	2	1	1.784	3
66	1	2	2	2	2	2	0.767	4
69	1	2	3	2	2	2	1.711	2
72	1	2	4	2	1	2	1.239	3
75	1	2	5	2	1	2	1.905	1
78	1	2	6	2	2	1	 NaN	 NaN
81	1	2	7	2	2	1	1.722	4
84	1	2	8	2	1	1	 NaN	 NaN
87	1	2	9	2	1	1	1.336	1
90	1	2	10	2	2	2	1.032	4
93	1	2	11	2	1	2	1.59	2
96	1	2	12	2	1	1	1.572	1
114	1	3	1	3	1	1	1.235	4
117	1	3	2	3	2	1	1.743	2
120	1	3	3	3	1	1	1.356	3
123	1	3	4	3	1	1	0.827	4
126	1	3	5	3	2	2	 NaN	 NaN
129	1	3	6	3	2	1	 NaN	 NaN
132	1	3	7	3	1	2	1.197	4
135	1	3	8	3	1	2	 NaN	 NaN
138	1	3	9	3	1	2	 NaN	 NaN
141	1	3	10	3	2	1	0.004	4
144	1	3	11	3	2	2	1.234	2
147	1	3	12	3	2	2	0.985	1
165	1	4	1	1	2	2	1.479	2
168	1	4	2	1	1	2	1.187	3
171	1	4	3	1	2	1	1.215	1
174	1	4	4	1	1	2	1.41	3
177	1	4	5	1	1	1	0.835	4
180	1	4	6	1	2	1	1.783	1
183	1	4	7	1	2	1	1.846	3
186	1	4	8	1	1	1	1.481	2
189	1	4	9	1	2	2	1.073	1
192	1	4	10	1	1	1	0.682	1
195	1	4	11	1	1	2	 NaN	 NaN
198	1	4	12	1	2	2	1.243	1
216	1	5	1	2	1	1	1.146	1
219	1	5	2	2	2	2	 NaN	 NaN
222	1	5	3	2	1	1	1.83	2
225	1	5	4	2	2	2	1.159	1
228	1	5	5	2	1	2	 NaN	 NaN
231	1	5	6	2	2	1	 NaN	 NaN
234	1	5	7	2	2	1	0.981	4
237	1	5	8	2	1	1	1.599	2
240	1	5	9	2	1	2	1.26	2
243	1	5	10	2	1	2	1.581	2
246	1	5	11	2	2	1	1.201	4
249	1	5	12	2	2	2	1.423	1
267	1	6	1	1	2	1	1.957	2
270	1	6	2	1	2	1	1.309	3
273	1	6	3	1	2	2	1.194	2
276	1	6	4	1	1	1	1.712	1
279	1	6	5	1	1	2	1.146	2
282	1	6	6	1	2	2	0.974	3
285	1	6	7	1	1	1	1.023	3
288	1	6	8	1	1	1	1.397	2
291	1	6	9	1	1	2	1.402	2
294	1	6	10	1	1	2	0.708	1
297	1	6	11	1	2	1	1.132	2
300	1	6	12	1	2	2	1.367	3
