onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	2	0.95	2
15	1	1	2	1	1	2	0.649	3
18	1	1	3	1	2	1	0.819	2
21	1	1	4	1	1	2	0.802	2
24	1	1	5	1	1	2	0.788	1
27	1	1	6	1	2	1	0.924	2
30	1	1	7	1	2	2	0.89	2
33	1	1	8	1	2	2	0.689	1
36	1	1	9	1	1	1	1.02	2
39	1	1	10	1	1	1	0.762	3
42	1	1	11	1	1	1	0.709	4
45	1	1	12	1	2	1	0.942	2
63	1	2	1	2	1	1	1.062	2
66	1	2	2	2	2	2	0.971	4
69	1	2	3	2	2	1	0.757	3
72	1	2	4	2	1	2	0.952	1
75	1	2	5	2	2	2	0.775	3
78	1	2	6	2	1	2	0.867	2
81	1	2	7	2	1	2	1.046	2
84	1	2	8	2	1	1	1.028	1
87	1	2	9	2	2	1	0.943	4
90	1	2	10	2	2	2	 n/a	 n/a
93	1	2	11	2	1	1	 n/a	 n/a
96	1	2	12	2	2	1	1.987	2
114	1	3	1	1	2	2	0.811	3
117	1	3	2	1	2	2	0.78	1
120	1	3	3	1	2	1	0.699	1
123	1	3	4	1	2	1	0.68	1
126	1	3	5	1	1	1	0.658	1
129	1	3	6	1	1	1	0.938	2
132	1	3	7	1	1	2	0.867	3
135	1	3	8	1	2	1	0.735	1
138	1	3	9	1	1	1	0.806	3
141	1	3	10	1	1	2	0.947	4
144	1	3	11	1	1	2	0.784	2
147	1	3	12	1	2	2	0.603	1
165	1	4	1	2	2	1	0.748	4
168	1	4	2	2	1	1	0.838	1
171	1	4	3	2	2	2	0.947	2
174	1	4	4	2	1	2	0.852	1
177	1	4	5	2	2	2	0.834	3
180	1	4	6	2	2	1	0.817	3
183	1	4	7	2	2	1	0.738	2
186	1	4	8	2	1	1	0.777	3
189	1	4	9	2	1	1	0.8	3
192	1	4	10	2	1	2	0.896	3
195	1	4	11	2	2	2	1.001	2
198	1	4	12	2	1	2	1.028	1
