onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	2	0.782	3
15	1	1	2	1	1	1	0.666	4
18	1	1	3	1	1	2	0.727	3
21	1	1	4	1	2	2	0.64	1
24	1	1	5	1	2	2	0.876	3
27	1	1	6	1	1	2	0.831	2
30	1	1	7	1	1	2	0.885	4
33	1	1	8	1	1	1	0.842	3
36	1	1	9	1	2	1	0.888	3
39	1	1	10	1	2	1	0.846	1
42	1	1	11	1	1	1	0.686	3
45	1	1	12	1	2	1	0.897	3
63	1	2	1	2	2	1	1.283	3
66	1	2	2	2	1	2	0.944	2
69	1	2	3	2	2	2	0.884	2
72	1	2	4	2	2	2	1.032	3
75	1	2	5	2	1	1	1.072	2
78	1	2	6	2	2	2	1.06	3
81	1	2	7	2	1	1	0.913	1
84	1	2	8	2	2	1	1.021	4
87	1	2	9	2	1	1	1.024	2
90	1	2	10	2	1	2	1.223	2
93	1	2	11	2	2	1	1.089	3
96	1	2	12	2	1	2	0.877	1
114	1	3	1	1	1	1	0.692	3
117	1	3	2	1	1	2	1.07	3
120	1	3	3	1	2	1	0.968	2
123	1	3	4	1	1	2	0.965	4
126	1	3	5	1	2	2	0.823	1
129	1	3	6	1	2	2	0.993	3
132	1	3	7	1	1	1	0.799	1
135	1	3	8	1	2	1	1.136	1
138	1	3	9	1	1	1	1.079	1
141	1	3	10	1	1	2	0.916	2
144	1	3	11	1	2	2	1.079	1
147	1	3	12	1	2	1	0.692	1
165	1	4	1	2	1	2	1.02	1
168	1	4	2	2	2	1	0.913	3
171	1	4	3	2	1	2	0.73	1
174	1	4	4	2	1	1	1.043	2
177	1	4	5	2	2	2	0.866	3
180	1	4	6	2	1	1	0.828	1
183	1	4	7	2	2	1	0.701	1
186	1	4	8	2	1	1	0.994	1
189	1	4	9	2	2	2	1.091	1
192	1	4	10	2	1	2	0.837	1
195	1	4	11	2	2	1	0.853	3
198	1	4	12	2	2	2	0.954	4
