onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	1	1	0.986	1
15	1	1	2	2	2	1	1.134	3
18	1	1	3	2	1	1	1.124	1
21	1	1	4	2	2	1	0.956	3
24	1	1	5	2	1	2	0.947	2
27	1	1	6	2	2	2	1.155	2
30	1	1	7	2	1	2	1.203	2
33	1	1	8	2	1	2	0.911	1
36	1	1	9	2	2	1	1.018	1
39	1	1	10	2	2	2	1.192	1
42	1	1	11	2	2	2	1.018	3
45	1	1	12	2	1	1	1.248	3
63	1	2	1	1	2	1	0.907	1
66	1	2	2	1	2	2	0.838	1
69	1	2	3	1	2	1	0.865	1
72	1	2	4	1	1	2	0.897	4
75	1	2	5	1	2	2	0.776	1
78	1	2	6	1	1	2	1.134	2
81	1	2	7	1	1	2	0.801	3
84	1	2	8	1	2	2	1.192	2
87	1	2	9	1	1	1	0.79	1
90	1	2	10	1	2	1	0.677	1
93	1	2	11	1	1	1	0.662	3
96	1	2	12	1	1	1	0.757	3
114	1	3	1	2	2	2	1.044	1
117	1	3	2	2	1	1	0.913	3
120	1	3	3	2	2	1	1.105	2
123	1	3	4	2	1	2	0.912	4
126	1	3	5	2	2	1	1.177	2
129	1	3	6	2	1	1	0.69	4
132	1	3	7	2	1	2	1.072	3
135	1	3	8	2	1	2	1.392	2
138	1	3	9	2	2	1	1.523	2
141	1	3	10	2	2	2	1.329	1
144	1	3	11	2	1	1	0.865	4
147	1	3	12	2	2	2	1.249	3
165	1	4	1	1	1	1	0.798	4
168	1	4	2	1	2	2	0.678	1
171	1	4	3	1	1	1	0.696	4
174	1	4	4	1	2	1	1.186	3
177	1	4	5	1	1	2	0.997	3
180	1	4	6	1	2	1	1.117	2
183	1	4	7	1	1	1	1.19	4
186	1	4	8	1	1	2	1.197	3
189	1	4	9	1	2	1	0.865	1
192	1	4	10	1	1	2	1.329	2
195	1	4	11	1	2	2	0.994	1
198	1	4	12	1	2	2	0.689	1
