onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	1	1	1	4.075	1	1	 n/a	 n/a
21	6	1	2	2	2	1	3.477	1	0	3	0.401
27	6	1	3	1	2	2	1.671	1	1	4	0.465
33	6	1	4	2	2	2	1.772	2	1	4	0.601
39	6	1	5	1	1	1	1.923	2	0	4	0.549
45	6	1	6	1	2	2	1.398	1	1	4	0.307
51	6	1	7	2	1	2	3.665	1	0	 n/a	 n/a
57	6	1	8	1	1	1	2.162	1	1	3	0.265
63	6	1	9	1	2	2	1.308	1	1	4	0.278
69	6	1	10	1	1	2	1.633	1	1	4	0.306
75	6	1	11	2	1	1	1.476	1	0	2	1.945
81	6	1	12	2	1	2	4.682	2	1	 n/a	 n/a
87	6	1	13	2	1	1	3.916	2	1	3	0.463
93	6	1	14	1	2	1	1.16	1	1	4	0.232
99	6	1	15	1	1	1	2.776	2	0	2	1.843
105	6	1	16	1	1	1	1.71	1	1	3	1.719
111	6	1	17	2	1	2	3.508	2	1	3	0.793
117	6	1	18	2	2	1	3.136	1	0	1	0.477
123	6	1	19	1	1	2	1.125	1	1	4	0.248
129	6	1	20	2	2	1	1.853	2	1	4	0.577
135	6	1	21	1	1	2	2.733	1	1	4	0.202
141	6	1	22	2	1	2	3.001	2	1	 n/a	 n/a
147	6	1	23	1	1	1	1.915	1	1	2	1.484
153	6	1	24	2	2	2	3.382	2	1	3	0.57
159	6	1	25	2	2	1	2.391	1	0	1	1.333
165	6	1	26	1	1	1	3.331	1	1	4	0.965
171	6	1	27	2	2	1	1.852	2	1	4	0.459
177	6	1	28	2	1	1	3.011	2	1	2	0.884
183	6	1	29	2	1	1	3.345	2	1	2	0.843
189	6	1	30	2	1	1	3.188	2	1	3	0.793
195	6	1	31	2	2	2	1.435	2	1	4	0.602
201	6	1	32	2	2	2	1.203	2	1	4	0.549
207	6	1	33	1	1	2	2.371	1	1	4	0.287
213	6	1	34	2	2	1	4.516	2	1	 n/a	 n/a
219	6	1	35	1	1	1	4.766	2	0	 n/a	 n/a
225	6	1	36	1	1	2	2.006	1	1	2	1.29
231	6	1	37	2	1	2	2.402	2	1	3	1.269
237	6	1	38	2	2	2	3.281	2	1	3	1.131
243	6	1	39	1	2	1	3.167	1	1	3	0.545
249	6	1	40	2	1	2	3.021	2	1	3	0.772
255	6	1	41	1	2	2	3.054	1	1	2	0.515
261	6	1	42	2	1	2	2.018	1	0	3	0.41
267	6	1	43	2	2	1	3.487	2	1	3	0.509
273	6	1	44	1	1	2	1.291	1	1	3	1.651
279	6	1	45	1	1	1	1.514	1	1	4	1.055
285	6	1	46	1	2	1	1.267	1	1	4	0.251
291	6	1	47	1	1	2	4.001	1	1	2	0.597
297	6	1	48	1	1	2	3.616	2	0	2	0.836
303	6	1	49	1	1	1	2.675	1	1	4	1.215
309	6	1	50	1	1	2	3.021	1	1	2	0.831
315	6	1	51	2	1	2	2.38	2	1	2	1.035
321	6	1	52	2	1	1	3.046	1	0	1	0.251
327	6	1	53	1	2	2	3.917	1	1	2	0.731
333	6	1	54	2	1	2	3.772	1	0	 n/a	 n/a
339	6	1	55	2	2	1	2.279	1	0	3	1.438
345	6	1	56	2	2	2	2.855	2	1	4	0.256
351	6	1	57	2	2	1	2.019	2	1	4	0.641
357	6	1	58	1	1	2	3.477	1	1	4	0.087
363	6	1	59	1	2	2	1.166	1	1	4	0.294
369	6	1	60	1	2	1	1.354	1	1	4	0.258
375	6	1	61	2	1	1	2.855	1	0	1	0.183
381	6	1	62	1	2	2	3.177	2	0	2	0.8
387	6	1	63	1	2	1	1.86	1	1	2	1.729
393	6	1	64	1	2	2	2.169	1	1	3	1.989
399	6	1	65	1	2	1	1.985	1	1	 n/a	 n/a
405	6	1	66	2	1	1	2.197	1	0	2	0.628
411	6	1	67	2	2	2	1.441	2	1	4	0.408
417	6	1	68	1	2	1	1.75	2	0	3	1.239
423	6	1	69	1	1	2	3.452	1	1	3	0.41
429	6	1	70	2	1	1	3.052	2	1	4	0.486
435	6	1	71	2	1	2	4.023	1	0	1	0.232
441	6	1	72	2	2	1	4.16	2	1	 n/a	 n/a
447	6	1	73	2	1	2	2.931	1	0	2	1.309
453	6	1	74	1	2	1	1.411	2	0	3	1.187
459	6	1	75	1	2	1	2.714	2	0	1	0.152
465	6	1	76	2	2	2	2.591	2	1	3	1.409
471	6	1	77	1	2	2	3.801	1	1	3	0.65
477	6	1	78	1	2	2	2.144	1	1	4	0.212
483	6	1	79	2	2	2	2.247	2	1	4	0.316
489	6	1	80	1	2	1	2.909	2	0	3	1.669
495	6	1	81	1	1	1	1.4	1	1	4	0.282
501	6	1	82	1	1	2	1.224	1	1	4	0.234
507	6	1	83	2	2	2	1.404	2	1	4	0.267
513	6	1	84	1	2	2	1.17	1	1	4	1.325
519	6	1	85	1	2	1	1.498	1	1	4	0.524
525	6	1	86	2	1	1	2.756	1	0	1	0.269
531	6	1	87	2	2	1	1.572	2	1	4	0.225
537	6	1	88	2	1	1	3.506	2	1	2	0.705
543	6	1	89	2	2	2	1.513	2	1	4	0.595
549	6	1	90	1	1	1	4.071	2	0	1	0.223
555	6	1	91	2	1	2	1.558	2	1	4	0.438
561	6	1	92	1	2	2	4.879	2	0	 n/a	 n/a
567	6	1	93	2	2	2	1.038	2	1	4	0.337
573	6	1	94	2	1	1	2.525	1	0	2	0.909
579	6	1	95	2	2	1	1.241	2	1	4	1.333
585	6	1	96	1	2	1	3.885	2	0	2	0.485
