onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	2	1	1	3.466	2	1	 n/a	 n/a
21	6	1	2	1	2	2	1.923	1	1	4	1.256
27	6	1	3	2	2	2	3.282	2	1	4	0.686
33	6	1	4	2	2	2	3.014	2	1	 n/a	 n/a
39	6	1	5	2	1	1	2.288	1	0	3	0.619
45	6	1	6	1	1	2	3.162	1	1	3	0.917
51	6	1	7	2	1	2	3.624	2	1	 n/a	 n/a
57	6	1	8	2	2	1	2.974	2	1	4	0.4
63	6	1	9	1	1	2	3.512	1	1	 n/a	 n/a
69	6	1	10	1	1	2	2.343	1	1	2	0.426
75	6	1	11	1	2	2	2.811	1	1	4	0.996
81	6	1	12	2	1	1	1.831	2	1	2	2.298
87	6	1	13	2	2	2	2.152	2	1	4	0.619
93	6	1	14	1	2	1	2.568	1	1	4	0.463
99	6	1	15	1	1	1	2.246	1	1	 n/a	 n/a
105	6	1	16	2	2	1	2.72	2	1	4	0.327
111	6	1	17	2	1	1	3.151	1	0	2	1.025
117	6	1	18	1	1	2	4.746	2	0	 n/a	 n/a
123	6	1	19	2	2	1	4.134	1	0	 n/a	 n/a
129	6	1	20	1	2	1	2.059	1	1	4	0.611
135	6	1	21	2	1	2	3.126	1	0	2	1.07
141	6	1	22	1	2	1	2.551	1	1	1	1.742
147	6	1	23	2	1	2	3.335	2	1	4	0.582
153	6	1	24	1	2	1	4.454	1	1	 n/a	 n/a
159	6	1	25	1	1	2	2.424	1	1	1	1.062
165	6	1	26	2	2	2	3.527	1	0	 n/a	 n/a
171	6	1	27	2	2	1	2.037	1	0	1	1.608
177	6	1	28	2	1	2	3.681	1	0	1	0.301
183	6	1	29	2	1	2	2.042	1	0	2	1.479
189	6	1	30	2	2	1	7	7	0	 n/a	 n/a
195	6	1	31	1	2	1	2.448	1	1	4	0.26
201	6	1	32	1	1	1	3.045	1	1	3	0.786
207	6	1	33	2	2	2	3.829	1	0	1	0.321
213	6	1	34	2	1	1	4.124	2	1	3	0.433
219	6	1	35	1	1	1	2.469	1	1	1	1.199
225	6	1	36	2	2	1	2.751	1	0	2	0.468
231	6	1	37	2	1	1	4.389	1	0	4	0.175
237	6	1	38	2	2	2	2.808	1	0	1	0.246
243	6	1	39	2	2	1	2.954	2	1	3	1.182
249	6	1	40	2	1	2	2.12	1	0	1	0.536
255	6	1	41	2	1	1	7	7	0	 n/a	 n/a
261	6	1	42	1	2	1	2.883	1	1	4	1.542
267	6	1	43	1	1	2	7	7	0	 n/a	 n/a
273	6	1	44	1	1	2	3.845	1	1	4	0.576
279	6	1	45	1	2	1	2.846	2	0	2	1.843
285	6	1	46	1	2	2	3.802	1	1	 n/a	 n/a
291	6	1	47	2	1	1	4.23	1	0	 n/a	 n/a
297	6	1	48	2	1	2	2.945	1	0	1	1.146
303	6	1	49	1	2	2	2.007	1	1	4	0.123
309	6	1	50	2	2	2	3.497	2	1	4	0.544
315	6	1	51	2	2	1	1.482	1	0	2	1.79
321	6	1	52	1	2	1	2.592	1	1	4	0.647
327	6	1	53	1	1	1	7	7	0	 n/a	 n/a
333	6	1	54	1	2	2	1.841	1	1	4	0.186
339	6	1	55	1	2	2	1.841	1	1	4	0.038
345	6	1	56	2	2	1	2.455	2	1	3	1.097
351	6	1	57	1	1	1	1.503	1	1	4	0.096
357	6	1	58	2	2	2	4.203	2	1	1	0.273
363	6	1	59	1	1	1	2.681	1	1	4	1.684
369	6	1	60	2	1	2	3.866	2	1	4	0.066
375	6	1	61	1	2	1	1.304	1	1	4	1.124
381	6	1	62	1	2	2	1.317	1	1	4	0.102
387	6	1	63	1	1	1	2.894	1	1	2	1.303
393	6	1	64	2	1	1	4.738	1	0	 n/a	 n/a
399	6	1	65	1	2	2	2.831	1	1	3	1.428
405	6	1	66	1	1	1	2.877	1	1	2	1.785
411	6	1	67	2	2	1	2.381	2	1	 n/a	 n/a
417	6	1	68	2	2	2	3.925	1	0	1	0.033
423	6	1	69	1	1	1	1.171	1	1	4	0.098
429	6	1	70	2	1	1	4.351	1	0	 n/a	 n/a
435	6	1	71	2	1	2	1.848	2	1	4	0.747
441	6	1	72	1	2	2	1.504	1	1	4	0.23
447	6	1	73	1	1	2	1.337	1	1	4	0.082
453	6	1	74	2	1	2	2.229	2	1	4	0.62
459	6	1	75	1	1	1	3.767	1	1	2	0.653
465	6	1	76	1	2	2	1.455	1	1	4	0.747
471	6	1	77	2	2	2	1.788	1	0	1	2.047
477	6	1	78	1	1	1	1.693	1	1	4	0.573
483	6	1	79	1	2	1	1.568	1	1	4	0.928
489	6	1	80	1	1	2	7	7	0	 n/a	 n/a
495	6	1	81	2	1	1	3.992	2	1	 n/a	 n/a
501	6	1	82	1	1	2	1.87	1	1	4	0.212
507	6	1	83	2	1	2	2.035	2	1	3	1.965
