onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence lvl	RT confidence report
15	6	1	1	2	2	2	2.035	2	1	2	1.171
21	6	1	2	2	2	1	1.707	2	1	3	0.514
27	6	1	3	2	2	1	1.824	1	0	2	0.626
33	6	1	4	1	2	1	1.528	1	1	3	0.308
39	6	1	5	2	2	2	2.209	1	0	1	0.361
45	6	1	6	1	2	2	0.701	1	1	4	0.166
51	6	1	7	1	1	1	1.144	1	1	3	0.255
57	6	1	8	1	1	2	1.245	1	1	3	0.289
63	6	1	9	2	2	1	2.01	2	1	3	0.827
69	6	1	10	1	2	2	1.373	1	1	3	0.432
75	6	1	11	1	1	2	1.215	2	0	2	0.458
81	6	1	12	2	1	1	3.04	2	1	2	0.431
87	6	1	13	1	2	1	1.02	1	1	3	0.514
93	6	1	14	1	2	1	1.017	1	1	4	0.313
99	6	1	15	2	1	2	0.904	1	0	2	0.191
105	6	1	16	2	1	1	1.147	1	0	2	0.414
111	6	1	17	1	1	2	0.771	1	1	4	0.433
117	6	1	18	1	2	2	1.853	2	0	1	0.126
123	6	1	19	1	2	2	0.883	1	1	2	0.348
129	6	1	20	2	1	2	1.68	2	1	3	0.855
135	6	1	21	2	2	2	1.359	2	1	3	0.137
141	6	1	22	1	1	2	1.682	2	0	1	0.256
147	6	1	23	1	1	1	2.067	1	1	2	0.562
153	6	1	24	1	1	2	0.719	1	1	3	0.137
159	6	1	25	2	2	1	1.334	2	1	3	0.446
165	6	1	26	2	1	2	2.114	1	0	1	0.497
171	6	1	27	1	1	1	1.586	1	1	2	0.21
177	6	1	28	2	1	1	1.135	1	0	2	0.305
183	6	1	29	1	2	1	1.031	2	0	3	0.454
189	6	1	30	2	2	2	1.897	2	1	2	0.884
195	6	1	31	2	2	2	1.303	2	1	3	0.291
201	6	1	32	2	2	1	1.013	2	1	3	0.279
207	6	1	33	2	1	2	0.932	1	0	1	0.23
213	6	1	34	1	2	1	1.405	1	1	3	0.531
219	6	1	35	2	2	1	1.27	2	1	2	0.565
225	6	1	36	2	1	1	1.304	2	1	1	0.496
231	6	1	37	1	1	2	1.37	1	1	2	0.63
237	6	1	38	2	2	1	0.932	2	1	4	0.324
243	6	1	39	1	1	1	1.38	1	1	4	0.463
249	6	1	40	1	2	1	1.187	1	1	3	0.338
255	6	1	41	1	1	1	0.679	1	1	4	0.365
261	6	1	42	2	1	1	1.199	1	0	1	0.51
267	6	1	43	1	2	2	0.838	1	1	2	0.379
273	6	1	44	2	2	2	1.08	2	1	2	0.552
279	6	1	45	2	2	1	1.365	2	1	3	0.451
285	6	1	46	1	1	1	1.202	2	0	1	0.714
291	6	1	47	2	2	1	1.195	2	1	2	0.663
297	6	1	48	2	1	2	1.507	2	1	1	0.34
303	6	1	49	2	1	1	0.995	2	1	1	0.411
309	6	1	50	1	2	1	0.899	1	1	3	0.359
315	6	1	51	2	2	2	1.443	1	0	1	0.609
321	6	1	52	1	1	2	0.706	1	1	3	0.362
327	6	1	53	2	2	2	2.178	2	1	4	0.427
333	6	1	54	1	2	1	1.595	2	0	1	0.416
339	6	1	55	2	1	1	1.33	1	0	1	0.459
345	6	1	56	2	2	2	1.165	2	1	3	0.66
351	6	1	57	1	1	1	1.062	1	1	3	0.643
357	6	1	58	1	1	1	0.902	1	1	3	0.238
363	6	1	59	2	1	1	0.713	1	0	3	0.291
369	6	1	60	1	2	1	0.957	2	0	1	0.599
375	6	1	61	2	1	1	1.426	2	1	4	0.795
381	6	1	62	2	1	1	1.792	1	0	2	0.472
387	6	1	63	1	2	2	1.318	1	1	3	0.146
393	6	1	64	1	2	2	1.148	1	1	3	0.179
399	6	1	65	2	2	2	1.252	1	0	2	0.256
405	6	1	66	2	1	1	0.732	1	0	2	0.206
411	6	1	67	1	1	1	0.708	1	1	1	0.544
417	6	1	68	2	1	2	1.767	2	1	2	0.344
423	6	1	69	2	2	1	0.902	2	1	3	0.241
429	6	1	70	1	2	2	0.913	2	0	2	0.246
435	6	1	71	2	1	2	1.323	2	1	4	0.633
441	6	1	72	1	2	2	1.146	1	1	3	0.382
447	6	1	73	2	1	2	0.68	1	0	1	0.887
453	6	1	74	2	2	1	1.557	1	0	1	0.52
459	6	1	75	1	2	1	0.734	2	0	4	0.292
465	6	1	76	1	2	2	1.417	2	0	2	0.234
471	6	1	77	1	1	2	1.055	1	1	4	0.289
477	6	1	78	1	2	1	0.885	1	1	3	0.455
483	6	1	79	2	1	2	0.641	1	0	3	0.261
489	6	1	80	2	1	2	1.764	2	1	2	0.34
495	6	1	81	1	1	2	1.2	2	0	2	0.234
501	6	1	82	2	2	2	0.903	2	1	4	0.204
507	6	1	83	2	2	1	1.052	2	1	3	0.42
513	6	1	84	2	1	2	1.093	2	1	1	0.339
519	6	1	85	1	1	2	1.236	1	1	3	0.954
525	6	1	86	2	2	2	1.849	2	1	4	0.287
531	6	1	87	1	2	2	0.79	1	1	4	0.286
537	6	1	88	1	1	2	0.893	1	1	3	0.257
543	6	1	89	2	1	2	0.598	1	0	1	0.782
549	6	1	90	1	2	1	0.819	2	0	3	0.46
555	6	1	91	1	1	1	1.053	2	0	2	0.675
561	6	1	92	1	1	2	0.927	1	1	3	0.293
567	6	1	93	1	1	1	0.702	1	1	2	0.506
573	6	1	94	1	2	2	0.906	2	0	3	0.537
579	6	1	95	2	1	1	1.009	1	0	2	0.195
585	6	1	96	1	1	1	0.848	2	0	1	0.534
