onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	2	2	1	1.079	2
15	1	1	2	2	1	2	0.956	3
18	1	1	3	2	2	2	1.087	2
21	1	1	4	2	1	2	0.954	4
24	1	1	5	2	2	1	1.066	1
27	1	1	6	2	1	1	0.899	3
30	1	1	7	2	1	2	0.861	3
33	1	1	8	2	2	1	1.241	3
36	1	1	9	2	1	1	0.912	3
39	1	1	10	2	2	2	0.983	3
42	1	1	11	2	2	2	0.977	1
45	1	1	12	2	1	1	0.991	3
63	1	2	1	3	2	2	0.936	1
66	1	2	2	3	2	1	0.71	1
69	1	2	3	3	2	1	0.821	1
72	1	2	4	3	1	2	0.77	4
75	1	2	5	3	2	1	0.669	1
78	1	2	6	3	1	1	 n/a	 n/a
81	1	2	7	3	1	2	0.701	4
84	1	2	8	3	1	1	0.548	4
87	1	2	9	3	2	2	0.628	1
90	1	2	10	3	1	2	0.662	3
93	1	2	11	3	2	2	0.873	1
96	1	2	12	3	1	1	0.619	3
114	1	3	1	1	1	2	0.821	4
117	1	3	2	1	2	2	0.958	4
120	1	3	3	1	1	1	0.884	2
123	1	3	4	1	2	2	0.898	2
126	1	3	5	1	2	1	1.022	2
129	1	3	6	1	1	1	0.79	4
132	1	3	7	1	1	1	0.816	4
135	1	3	8	1	2	1	0.899	2
138	1	3	9	1	2	1	0.809	1
141	1	3	10	1	1	2	1.18	3
144	1	3	11	1	1	2	0.954	2
147	1	3	12	1	2	2	1.182	1
165	1	4	1	2	2	1	1.296	2
168	1	4	2	2	1	1	1.098	1
171	1	4	3	2	2	2	1.192	4
174	1	4	4	2	1	1	1.303	4
177	1	4	5	2	2	2	1.212	2
180	1	4	6	2	2	1	1.545	2
183	1	4	7	2	1	1	1.119	2
186	1	4	8	2	2	2	0.936	3
189	1	4	9	2	1	2	1.105	3
192	1	4	10	2	1	2	1.119	3
195	1	4	11	2	1	2	0.885	3
198	1	4	12	2	2	1	0.98	2
216	1	5	1	3	2	2	0.681	1
219	1	5	2	3	2	2	1.017	1
222	1	5	3	3	2	1	0.849	1
225	1	5	4	3	1	2	0.637	4
228	1	5	5	3	2	1	0.614	1
231	1	5	6	3	1	1	0.726	3
234	1	5	7	3	1	2	0.716	4
237	1	5	8	3	2	1	0.744	1
240	1	5	9	3	1	1	0.913	3
243	1	5	10	3	1	1	0.613	4
246	1	5	11	3	1	2	0.861	4
249	1	5	12	3	2	2	0.616	1
267	1	6	1	1	1	2	1.037	2
270	1	6	2	1	1	2	0.817	4
273	1	6	3	1	2	2	1.07	2
276	1	6	4	1	1	1	0.938	3
279	1	6	5	1	1	1	1.017	4
282	1	6	6	1	2	1	1.179	3
285	1	6	7	1	1	2	0.901	4
288	1	6	8	1	1	1	0.905	4
291	1	6	9	1	2	2	1.19	3
294	1	6	10	1	2	1	0.723	1
297	1	6	11	1	2	1	0.916	2
300	1	6	12	1	2	2	1.017	2
