onset	duration	block	trial	task	stim cat	repetition	reaction_time	response
12	1	1	1	1	2	1	1.042	1
16.5	1	1	2	1	1	1	0.696	4
21	1	1	3	1	1	1	0.696	4
25.5	1	1	4	1	2	1	1.359	2
30	1	1	5	1	2	1	0.914	2
34.5	1	1	6	2	1	1	0.989	4
39	1	1	7	2	2	1	1.539	4
43.5	1	1	8	2	2	1	1.53	1
48	1	1	9	2	2	1	0.792	2
52.5	1	1	10	1	1	1	0.655	4
57	1	1	11	1	2	1	1.674	2
61.5	1	1	12	2	1	1	0.91	4
66	1	1	13	1	1	1	1.042	4
70.5	1	1	14	1	2	1	1.482	1
75	1	1	15	1	2	1	 n/a	 n/a
79.5	1	1	16	2	2	1	1.049	1
84	1	1	17	1	1	1	1.703	4
88.5	1	1	18	2	2	1	1.587	2
93	1	1	19	1	2	1	1.155	2
97.5	1	1	20	1	1	1	1.053	4
102	1	1	21	2	2	1	1.918	2
106.5	1	1	22	2	1	1	1.092	4
111	1	1	23	1	2	1	 n/a	 n/a
115.5	1	1	24	1	2	1	1.279	2
120	1	1	25	2	2	1	1.157	2
124.5	1	1	26	2	2	1	1.429	3
129	1	1	27	2	1	1	1.02	4
133.5	1	1	28	2	1	1	1.867	4
138	1	1	29	1	2	1	1.398	2
142.5	1	1	30	1	1	1	1.066	4
147	1	1	31	2	2	1	1.673	2
151.5	1	1	32	1	1	1	1.873	4
156	1	1	33	2	1	1	 n/a	 n/a
160.5	1	1	34	2	2	1	 n/a	 n/a
165	1	1	35	2	1	1	1.868	4
169.5	1	1	36	2	2	1	 n/a	 n/a
174	1	1	37	2	2	1	1.795	3
178.5	1	1	38	1	1	1	0.672	4
183	1	1	39	2	2	1	1.077	2
187.5	1	1	40	2	1	1	0.736	4
192	1	1	41	1	2	1	 n/a	 n/a
196.5	1	1	42	2	1	1	0.955	4
201	1	1	43	2	2	1	 n/a	 n/a
205.5	1	1	44	2	1	1	1.035	4
210	1	1	45	2	1	1	1.633	4
214.5	1	1	46	2	1	1	1.578	4
219	1	1	47	1	2	1	 n/a	 n/a
223.5	1	1	48	2	1	1	 n/a	 n/a
228	1	1	49	1	1	1	1.484	4
232.5	1	1	50	2	2	1	0.769	1
237	1	1	51	1	2	1	0.971	1
241.5	1	1	52	2	1	1	1.02	4
246	1	1	53	1	1	1	1.247	4
250.5	1	1	54	2	1	1	1.043	4
255	1	1	55	1	2	1	1.149	1
259.5	1	1	56	1	1	1	0.829	4
264	1	1	57	2	1	1	0.768	4
268.5	1	1	58	1	2	1	0.973	2
273	1	1	59	2	1	1	0.608	4
277.5	1	1	60	1	2	1	1.148	4
282	1	1	61	2	2	1	1.518	2
286.5	1	1	62	1	2	1	1.102	1
291	1	1	63	2	1	1	1.653	4
295.5	1	1	64	2	2	1	1.494	3
300	1	1	65	1	1	1	1.297	4
304.5	1	1	66	1	2	1	1.059	1
309	1	1	67	1	1	1	0.592	4
313.5	1	1	68	1	1	1	1.419	4
318	1	1	69	2	1	1	1.679	4
322.5	1	1	70	2	2	1	 n/a	 n/a
327	1	1	71	1	2	1	1.141	2
331.5	1	1	72	2	2	1	 n/a	 n/a
336	1	1	73	2	2	1	1.176	2
340.5	1	1	74	2	2	1	1.347	2
345	1	1	75	2	1	1	1.474	4
349.5	1	1	76	2	1	1	0.67	4
354	1	1	77	1	1	1	1.901	4
358.5	1	1	78	1	1	1	 n/a	 n/a
363	1	1	79	1	1	1	0.694	4
367.5	1	1	80	1	1	1	0.682	4
372	1	1	81	1	2	1	1.429	2
376.5	1	1	82	2	1	1	0.882	4
381	1	1	83	1	2	1	1.276	2
385.5	1	1	84	1	1	1	1.652	4
390	1	1	85	1	1	1	1.071	4
394.5	1	1	86	2	1	1	0.82	4
399	1	1	87	2	2	1	0.955	1
403.5	1	1	88	1	1	1	1.323	4
408	1	1	89	1	2	1	1.813	2
412.5	1	1	90	1	1	1	0.798	4
417	1	1	91	2	2	1	0.947	2
421.5	1	1	92	2	2	1	1.424	2
426	1	1	93	1	2	1	1.183	2
430.5	1	1	94	1	2	1	1.053	2
435	1	1	95	1	1	1	0.942	4
439.5	1	1	96	2	1	1	0.716	4
